Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_rate_12	prob_rate_13	prob_rate_21	prob_rate_23	prob_rate_31	prob_rate_32	rate_12	rate_13	rate_21	rate_23	rate_31	rate_32	rf[1]	rf[2]	rf[3]
108	0	-36.7743	-55.772	18.9977	1	1	0	0	0	0	0	0	0.0008140059	0.003954472	0.0004572958	0.000125963	0.0418565	0.392696	0.565448
109	1	-35.746	-53.93	18.184	0	1	0	0	1	0	0.0004063596	0	0.0008076374	0.004335518	0	0.0008494894	0.0135387	0.927919	0.0585422
110	0	-29.8054	-56.0579	26.2524	0	0	0	0	1	0	0.0006478253	0.0001517151	0.0009196396	0.002739688	0	0.0001215395	0.0336534	0.315735	0.650612
111	1	-43.3415	-54.7786	11.4371	1	1	0	0	1	0	0	0	0.0005655389	0.004986644	0	0.0009646322	0.370751	0.591906	0.0373432
112	0	-31.9921	-57.0946	25.1025	1	0	0	0	0	0	0	0.0005209872	0.0009196396	0.003559261	0.0009028262	0.0001577267	0.0217059	0.786232	0.192062
113	1	-42.4837	-55.5132	13.0295	1	1	0	0	1	0	0	0	0.0005655389	0.003125584	0	0.0007761276	0.512542	0.435834	0.0516249
114	0	-27.709	-53.7597	26.0507	0	0	0	0	1	0	6.107008e-05	0.0003137122	0.0007314386	0.003559261	0	0.0001745424	0.0247068	0.894932	0.080361
115	1	-38.8434	-57.3294	18.486	1	0	0	0	1	0	0	0.001877749	0.0004716048	0.002883528	0	0.0007774311	0.389579	0.361652	0.248769
116	0	-35.371	-55.4983	20.1272	1	0	0	0	1	0	0	0.0002833008	0.0007314386	0.002741375	0	0.0001418931	0.133268	0.433269	0.433464
117	1	-42.4875	-55.9394	13.4519	1	1	0	0	1	0	0	0	0.0004309207	0.002883528	0	0.0006092237	0.179359	0.4862	0.334441
118	0	-42.5725	-54.3083	11.7358	1	1	0	0	1	0	0	0	0.002099125	0.003924734	0	0.000108498	0.138319	0.411785	0.449895
119	1	-37.1678	-56.9281	19.7604	1	1	0	0	0	0	0	0	0.0006247846	0.002412792	0.0003535403	0.0009790922	0.261324	0.708388	0.0302885
120	0	-36.8512	-54.8887	18.0375	1	0	0	0	1	0	0	0.0004774745	0.00202414	0.003750038	0	0.0003358758	0.0243088	0.204092	0.771599
121	1	-41.7079	-54.2713	12.5634	1	1	0	0	1	0	0	0	0.0007695715	0.003502395	0	0.0007951929	0.259012	0.702123	0.0388644
122	0	-48.4273	-60.0456	11.6183	0	1	0	0	1	1	0.0003906993	0	0.002142851	0.003750038	0	0	0.179065	0.143803	0.677133
123	1	-28.328	-54.0364	25.7085	0	1	0	0	0	0	0.0004360625	0	0.0008208204	0.00352244	7.183942e-06	0.0004940405	0.259012	0.702123	0.0388644
124	0	-32.1777	-55.0372	22.8595	0	1	0	0	0	0	0.001420715	0	0.001896946	0.005304869	5.852872e-06	0.0003189356	0.322117	0.244499	0.433384
125	1	-35.5423	-54.0011	18.4587	1	0	0	0	1	0	0	0.0009238015	0.001096208	0.003631691	0	0.0003937259	0.392386	0.548737	0.058877
126	0	-44.4884	-54.6787	10.1903	1	1	0	0	1	0	0	0	0.002577875	0.00522464	0	0.0003189356	0.31326	0.247693	0.439047
