Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1460	-435.238	-427.943	-7.29568	288069.7	8.869866	0.997633	0.999394	1.0006	1.00237	2.904528
1470	-434.273	-419.896	-14.377	868681	9.108956	0.998637	0.999651	1.00035	1.00136	3.6968
1480	-429.297	-415.545	-13.7522	34602.12	9.980202	0.993175	0.998246	1.00174	1.00684	3.596053
1490	-428.581	-414.304	-14.2767	672576.8	5.915041	0.99845	0.999604	1.0004	1.00155	3.375196
1500	-433.865	-418.048	-15.8178	588821.3	7.20026	0.998344	0.999576	1.00042	1.00166	3.852208
1510	-436.525	-419.801	-16.7237	151417.7	6.512006	0.996735	0.999164	1.00083	1.00327	3.910462
1520	-440.294	-426.626	-13.6683	512697.3	11.7172	0.998225	0.999546	1.00045	1.00178	3.478055
1530	-420.749	-411.105	-9.64393	288122.7	9.383305	0.997633	0.999394	1.0006	1.00237	3.182815
1540	-429.09	-418.072	-11.0178	822127.6	10.51459	0.998598	0.999642	1.00036	1.0014	3.306775
1550	-443.495	-422.899	-20.5957	934124.9	7.224032	0.998685	0.999664	1.00034	1.00132	4.51532
1560	-446.425	-428.968	-17.4574	267823	11.55754	0.997545	0.999372	1.00063	1.00246	3.817541
1570	-435.688	-417.742	-17.9458	374916.9	6.558393	0.997925	0.999469	1.00053	1.00208	4.10345
1580	-426.616	-417.97	-8.64617	572116	11.61871	0.99832	0.99957	1.00043	1.00168	3.053013
1590	-433.893	-419.107	-14.7865	175395.7	8.301409	0.996967	0.999223	1.00077	1.00304	3.756174
1600	-433.196	-418.368	-14.8277	616270.4	6.777471	0.998381	0.999586	1.00041	1.00162	3.664268
1610	-422.461	-415.288	-7.17255	396901.8	9.05875	0.997983	0.999484	1.00051	1.00202	2.902964
1620	-433.759	-420.378	-13.381	536228.4	8.496212	0.998265	0.999556	1.00044	1.00174	3.590133
1630	-431.511	-421.77	-9.74052	750356.2	8.281	0.998533	0.999625	1.00037	1.00147	3.146772
1640	-441.687	-424.55	-17.137	89035.93	7.390653	0.995743	0.998909	1.00108	1.00426	4.042851
1650	-430.033	-416.688	-13.3448	273160.1	9.947754	0.997569	0.999378	1.00062	1.00243	3.556676
1660	-430.112	-420.242	-9.87004	443635.5	9.805522	0.998092	0.999512	1.00049	1.00191	3.208339
1670	-431.357	-419.23	-12.1271	972443.8	9.546898	0.998711	0.99967	1.00033	1.00129	3.444693
1680	-433.937	-421.36	-12.5764	759793	11.3457	0.998542	0.999627	1.00037	1.00146	3.408539
1690	-436.438	-419.079	-17.3596	464766.6	6.323523	0.998136	0.999523	1.00048	1.00187	3.980271
1700	-442.908	-437.608	-5.29979	371043	8.955629	0.997914	0.999466	1.00053	1.00209	2.68739
1710	-439.554	-423.534	-16.0201	41463.35	5.855961	0.993765	0.998399	1.00159	1.00625	3.652411
1720	-432.937	-418.709	-14.2289	314807.8	12.75812	0.997735	0.99942	1.00058	1.00227	3.442049
1730	-441.465	-424.255	-17.2101	923016.3	7.345359	0.998677	0.999662	1.00034	1.00132	4.05135
1740	-436.712	-419.426	-17.2857	402247.3	12.49393	0.997997	0.999487	1.00051	1.002	3.708459
1750	-437.255	-418.684	-18.5709	205533.5	6.302652	0.997198	0.999282	1.00071	1.00281	4.168989
1760	-445.935	-425.281	-20.6543	858805.1	5.577431	0.998629	0.999649	1.00035	1.00137	4.387343
1770	-440.863	-419.455	-21.4074	486028.9	6.706841	0.998177	0.999534	1.00047	1.00182	4.634458
1780	-431.863	-419.381	-12.4823	137974	9.803169	0.99658	0.999124	1.00087	1.00342	3.474816
1790	-442.997	-430.351	-12.6463	410115.9	9.53003	0.998016	0.999492	1.00051	1.00199	3.499503
1800	-438.822	-419.74	-19.0821	164098.7	5.023483	0.996864	0.999197	1.0008	1.00314	3.893077
1810	-431.281	-416.585	-14.696	752365.2	8.381525	0.998535	0.999625	1.00037	1.00147	3.745377
1820	-422.989	-412.504	-10.4848	452362.5	9.746625	0.998111	0.999517	1.00048	1.00189	3.271607
1830	-425.628	-413.49	-12.1372	923001.5	11.73893	0.998677	0.999662	1.00034	1.00132	3.346026
1840	-434.982	-423.122	-11.8599	480693.2	8.169187	0.998167	0.999531	1.00047	1.00183	3.397106
1850	-441.881	-428.114	-13.7668	35693.37	12.52782	0.99328	0.998274	1.00171	1.00674	3.424137
1860	-439.318	-426.681	-12.637	534848.5	9.077327	0.998262	0.999556	1.00044	1.00174	3.506053
1870	-437.914	-425.977	-11.937	398653.4	9.584801	0.997988	0.999485	1.00051	1.00201	3.424089
1880	-432.417	-417.25	-15.1669	473098.6	11.75062	0.998153	0.999527	1.00047	1.00185	3.60313
1890	-437.865	-422.111	-15.7546	776395.3	8.075958	0.998558	0.999631	1.00037	1.00144	3.873988
1900	-438.976	-418.974	-20.0017	740915.9	7.296455	0.998524	0.999622	1.00038	1.00148	4.43223
1910	-431.054	-419.439	-11.6153	619883.5	7.818692	0.998386	0.999587	1.00041	1.00161	3.341984
1920	-437.976	-420.043	-17.9328	94383.08	7.575022	0.995866	0.99894	1.00105	1.00414	4.151977
1930	-427.793	-416.103	-11.6892	72229.7	8.472168	0.995274	0.998788	1.0012	1.00473	3.390159
1940	-429.998	-422.232	-7.76665	979932.5	10.5982	0.998716	0.999672	1.00033	1.00128	2.997007
1950	-427.745	-412.252	-15.4934	923883.9	7.226144	0.998678	0.999662	1.00034	1.00132	3.809189
1960	-444.75	-427.651	-17.0994	762884.2	8.596685	0.998545	0.999628	1.00037	1.00146	4.023501
1970	-428.552	-418.527	-10.0258	429387.2	9.604273	0.998061	0.999504	1.00049	1.00194	3.224719
1980	-432.869	-417.377	-15.4918	606361.4	11.36157	0.998368	0.999583	1.00042	1.00163	3.66416
1990	-424.926	-414.514	-10.412	602222.6	11.33798	0.998363	0.999581	1.00042	1.00164	3.218116
2000	-436.157	-427.765	-8.39261	520956	9.347587	0.998239	0.99955	1.00045	1.00176	3.048411
2010	-452.893	-431.941	-20.9513	809130.9	8.009114	0.998587	0.999639	1.00036	1.00141	4.522589
2020	-436.967	-424.094	-12.8732	761073.4	9.863659	0.998543	0.999627	1.00037	1.00146	3.512491
2030	-453.769	-424.683	-29.0869	6021.5	8.023666	0.983667	0.995769	1.00414	1.01643	5.535435
2040	-434.969	-421.112	-13.8571	243927.1	8.999872	0.997428	0.999341	1.00066	1.00257	3.642093
2050	-434.446	-418.445	-16.0009	637458.7	9.852515	0.998408	0.999593	1.00041	1.00159	3.830363
2060	-427.701	-416.536	-11.1653	316666.9	9.244814	0.997742	0.999422	1.00058	1.00226	3.344974
2070	-422.946	-415.616	-7.33009	988152.4	10.64891	0.998722	0.999673	1.00033	1.00128	2.95558
2080	-433.559	-418.926	-14.6324	453341.8	8.773873	0.998113	0.999517	1.00048	1.00189	3.733763
2090	-427.05	-414.682	-12.3686	504369.8	6.481188	0.998211	0.999542	1.00046	1.00179	3.2339
2100	-432.592	-422.55	-10.042	288365.9	8.941631	0.997634	0.999394	1.0006	1.00237	3.216485
2110	-430.814	-417.304	-13.5092	380002.7	8.262814	0.997939	0.999473	1.00053	1.00206	3.601455
2120	-448.066	-427.422	-20.6447	680448.9	6.330119	0.998459	0.999606	1.00039	1.00154	4.500315
2130	-430.273	-421.081	-9.19186	741212.2	9.372667	0.998524	0.999623	1.00038	1.00148	3.134428
2140	-434.935	-418.293	-16.6427	887899.8	6.33931	0.998651	0.999655	1.00034	1.00135	3.869745
2150	-435.047	-419.206	-15.841	922985.1	9.003312	0.998677	0.999662	1.00034	1.00132	3.862381
2160	-439.078	-423.499	-15.5788	19483.69	8.707857	0.990908	0.997659	1.00231	1.00912	3.843647
2170	-435.162	-424.338	-10.824	368104	14.42706	0.997906	0.999464	1.00053	1.0021	3.065932
