Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu_morpho
262	0	-62.1112	-62.1099	-0.00130616	0.001306163
263	1	-61.5303	-61.5287	-0.00158339	0.001583394
264	0	-61.4126	-61.4109	-0.00169975	0.001699754
265	1	-61.4298	-61.4276	-0.00211377	0.002113772
266	0	-61.437	-61.4348	-0.00212362	0.002123623
267	1	-61.4298	-61.4276	-0.00211377	0.002113772
268	0	-61.4683	-61.4661	-0.00216288	0.002162884
269	1	-61.3578	-61.3558	-0.00197195	0.001971952
270	0	-61.9703	-61.9689	-0.00135601	0.001356009
271	1	-61.5299	-61.5277	-0.00222861	0.002228606
272	0	-61.4586	-61.4564	-0.00215129	0.002151286
273	1	-61.8807	-61.8782	-0.00249226	0.002492262
274	0	-61.3889	-61.3868	-0.00204807	0.002048074
275	1	-61.5671	-61.5656	-0.00155634	0.001556337
276	0	-61.4097	-61.4076	-0.00208404	0.002084042
277	1	-63.2782	-63.2771	-0.00102991	0.001029914
278	0	-61.4097	-61.4076	-0.00208404	0.002084042
279	1	-63.3704	-63.3694	-0.00101388	0.001013875
280	0	-61.6272	-61.6249	-0.00231477	0.002314772
281	1	-64.3729	-64.372	-0.000867805	0.0008678048
282	0	-61.6272	-61.6249	-0.00231477	0.002314772
283	1	-62.1547	-62.1534	-0.00129195	0.001291949
284	0	-61.9869	-61.9856	-0.00134978	0.001349785
285	1	-61.3458	-61.3439	-0.00190063	0.001900634
286	0	-61.5041	-61.5018	-0.00220243	0.002202432
287	1	-61.3458	-61.3439	-0.00190063	0.001900634
288	0	-62.1206	-62.118	-0.0026296	0.002629595
289	1	-61.3509	-61.3491	-0.00183252	0.001832522
290	0	-61.8458	-61.8433	-0.00247033	0.002470333
291	1	-61.6295	-61.6272	-0.00231667	0.002316671
292	0	-62.7065	-62.7036	-0.00290783	0.002907835
293	1	-61.3455	-61.3436	-0.00188662	0.00188662
294	0	-62.7065	-62.7036	-0.00290783	0.002907835
295	1	-62.0181	-62.0168	-0.00133836	0.001338362
296	0	-62.7065	-62.7036	-0.00290783	0.002907835
297	1	-62.5433	-62.5421	-0.00118287	0.00118287
298	0	-63.202	-63.1989	-0.00310931	0.00310931
299	1	-61.3738	-61.372	-0.00176393	0.001763934
300	0	-61.8896	-61.8871	-0.00249773	0.002497728
301	1	-61.5265	-61.5243	-0.00222521	0.002225214
302	0	-61.3811	-61.3791	-0.00203254	0.002032538
303	1	-61.8526	-61.8512	-0.00140334	0.001403339
304	0	-62.754	-62.7511	-0.0029282	0.002928195
305	1	-61.3473	-61.3454	-0.00185541	0.001855405
306	0	-62.2146	-62.2119	-0.0026786	0.002678602
307	1	-62.2321	-62.2295	-0.00268752	0.002687521
308	0	-61.3669	-61.3649	-0.0019993	0.001999298
309	1	-62.2321	-62.2295	-0.00268752	0.002687521
310	0	-61.6712	-61.6697	-0.00149167	0.001491669
311	1	-61.54	-61.5378	-0.00223836	0.002238362
312	0	-61.5395	-61.5373	-0.00223784	0.002237838
313	1	-61.54	-61.5378	-0.00223836	0.002238362
314	0	-61.4718	-61.4702	-0.0016334	0.001633401
315	1	-61.6729	-61.6714	-0.00149072	0.001490723
316	0	-61.4454	-61.4433	-0.00213475	0.002134748
317	1	-61.37	-61.3683	-0.00177224	0.001772236
318	0	-61.7404	-61.738	-0.00239996	0.002399958
319	1	-61.4086	-61.4069	-0.00170528	0.001705281
320	0	-62.2365	-62.2338	-0.00268971	0.00268971
321	1	-61.3542	-61.3524	-0.0018179	0.001817901
322	0	-61.6113	-61.609	-0.00230173	0.002301732
323	1	-61.9926	-61.9913	-0.00134767	0.001347673
324	0	-61.5613	-61.5598	-0.00156041	0.001560408
325	1	-61.3574	-61.3556	-0.00180644	0.00180644
326	0	-62.0467	-62.0454	-0.0013282	0.001328198
327	1	-62.3408	-62.3381	-0.0027413	0.002741295
328	0	-61.4156	-61.414	-0.00169569	0.00169569
329	1	-62.3408	-62.3381	-0.0027413	0.002741295
330	0	-62.1524	-62.1497	-0.00264641	0.002646406
331	1	-62.5431	-62.5402	-0.00283579	0.002835787
332	0	-62.0235	-62.0209	-0.00257639	0.002576386
333	1	-61.3486	-61.3467	-0.00184591	0.001845905
334	0	-62.9412	-62.9382	-0.00300605	0.003006049
335	1	-61.4398	-61.4377	-0.00212745	0.002127454
336	0	-61.3547	-61.3528	-0.0019604	0.001960404
337	1	-61.4585	-61.4563	-0.00215115	0.002151146
338	0	-61.8743	-61.8729	-0.00139413	0.001394127
339	1	-63.2272	-63.224	-0.00311901	0.003119011
