Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
101	1	-429.11	-416.668	-12.4416	328349.2	7.765691	0.997783	0.999433	1.00057	1.00222	3.443653
102	0	-426.595	-414.21	-12.3857	825689.2	13.12808	0.998601	0.999642	1.00036	1.0014	3.270872
103	1	-435.881	-423.249	-12.6314	979145.6	7.046172	0.998716	0.999672	1.00033	1.00128	3.3873
104	0	-436.839	-419.825	-17.0139	850354.4	5.525774	0.998622	0.999648	1.00035	1.00138	3.71586
105	1	-428.851	-413.436	-15.4156	455265.3	6.852764	0.998117	0.999518	1.00048	1.00188	3.760792
106	0	-438.845	-424.197	-14.6484	134677.7	9.2613	0.996538	0.999113	1.00088	1.00347	3.721112
107	1	-441.653	-424.973	-16.6805	168286.7	8.239607	0.996903	0.999207	1.00079	1.0031	3.985782
108	0	-418.536	-413.978	-4.55845	900556.2	10.41931	0.998661	0.999658	1.00034	1.00134	2.690071
109	1	-420.206	-408.687	-11.5186	284826.5	10.18786	0.997619	0.999391	1.00061	1.00238	3.366142
110	0	-425.654	-418.341	-7.31279	70837.46	10.70542	0.995228	0.998776	1.00122	1.00478	2.953621
111	1	-425.68	-412.695	-12.9848	841066.1	8.590478	0.998614	0.999646	1.00035	1.00139	3.544807
112	0	-418.957	-414.665	-4.29214	861462	9.906342	0.998631	0.99965	1.00035	1.00137	2.644664
113	1	-434.036	-419.645	-14.3904	530962	8.410474	0.998256	0.999554	1.00045	1.00174	3.708994
114	0	-427.171	-418.491	-8.68007	701065.3	10.03802	0.998482	0.999612	1.00039	1.00152	3.087889
115	1	-432.631	-417.648	-14.9828	130534.5	8.435738	0.996484	0.999099	1.0009	1.00352	3.779243
116	0	-415.239	-413.124	-2.11459	682467.9	13.63261	0.998462	0.999607	1.00039	1.00154	2.480281
117	1	-422.308	-414.774	-7.53463	641780.2	7.648873	0.998414	0.999594	1.0004	1.00159	2.792382
118	0	-424.936	-415.168	-9.76779	628215.1	12.17616	0.998397	0.99959	1.00041	1.0016	3.123209
119	1	-416.355	-411.748	-4.60708	555591	11.86937	0.998295	0.999564	1.00044	1.00171	2.703363
120	0	-424.085	-416.219	-7.86545	273950.9	10.84201	0.997573	0.999379	1.00062	1.00243	3.003454
121	1	-420.641	-411.595	-9.04549	698367.1	16.11769	0.998479	0.999611	1.00039	1.00152	2.839894
122	0	-424.901	-413.255	-11.6463	406965	9.142298	0.998008	0.99949	1.00051	1.00199	3.397093
123	1	-422.494	-408.312	-14.1818	996533.2	7.294195	0.998727	0.999674	1.00032	1.00127	3.634373
124	0	-433.102	-418.353	-14.7492	137709.5	8.998842	0.996577	0.999123	1.00087	1.00343	3.741247
125	1	-420.791	-412.513	-8.27765	18904.33	9.254435	0.99077	0.997624	1.00235	1.00926	3.032973
126	0	-420.281	-409.867	-10.4134	56856.54	17.17758	0.994674	0.998633	1.00136	1.00534	2.854313
127	1	-419.268	-411.869	-7.39905	223091.9	12.01537	0.99731	0.999311	1.00069	1.00269	2.934028
128	0	-426.701	-417.876	-8.82528	10225.3	14.22098	0.987458	0.996761	1.00318	1.0126	2.939325
129	1	-436.341	-418.277	-18.0641	68921.66	6.704424	0.995162	0.998759	1.00123	1.00485	4.135747
