Iteration	Posterior	Likelihood	Prior	prob_rate_12	prob_rate_13	prob_rate_21	prob_rate_23	prob_rate_31	prob_rate_32	rate_12	rate_13	rate_21	rate_23	rate_31	rate_32	rf[1]	rf[2]	rf[3]
104	-38.4525	-57.9332	19.4807	1	0	0	0	1	0	0	0.0007739896	0.001974985	0.001516434	0	0.000464708	0.425116	0.507185	0.0676993
105	-36.8048	-56.5626	19.7578	1	0	0	0	1	0	0	0.0002026682	0.001974985	0.001888166	0	0.000307734	0.33773	0.608487	0.0537831
106	-34.5503	-53.9526	19.4023	1	0	0	0	1	0	0	0.0003573717	0.001332819	0.002833104	0	0.000307734	0.0787198	0.910725	0.0105555
107	-40.5822	-53.8477	13.2656	1	1	0	0	1	0	0	0	0.0008899629	0.002939425	0	0.000334104	0.079197	0.916245	0.00455753
108	-40.9423	-54.2842	13.3419	1	1	0	0	1	0	0	0	0.0008899629	0.002869702	0	0.0003055455	0.278116	0.652928	0.0689564
109	-36.1376	-55.7031	19.5655	1	0	0	0	1	0	0	0.0003833781	0.001626088	0.002164191	0	0.0004473322	0.326662	0.592345	0.0809931
110	-34.7135	-53.247	18.5335	1	0	0	0	1	0	0	0.0001837615	0.001113072	0.004221243	0	0.000431082	0.326662	0.592345	0.0809931
111	-35.6556	-54.82	19.1644	1	0	0	0	1	0	0	0.0008203506	0.0007865039	0.003144844	0	0.0003855055	0.233157	0.474439	0.292404
112	-41.1635	-53.8334	12.6699	1	1	0	0	1	0	0	0	0.001200102	0.003348227	0	0.0003818168	0.191493	0.486636	0.321871
113	-34.6759	-53.7749	19.099	0	1	0	0	1	0	5.434181e-05	0	0.001432571	0.003348227	0	0.000386213	0.109099	0.536228	0.354673
114	-36.2636	-53.8472	17.5836	1	0	0	0	1	0	0	0.001155617	0.0009248146	0.004801066	0	0.0002902992	0.109099	0.536228	0.354673
115	-36.342	-54.522	18.18	1	0	0	0	1	0	0	0.0003522173	0.0006581285	0.004801066	0	0.0005927789	0.0706578	0.347287	0.582056
116	-44.124	-55.132	11.008	1	1	0	0	1	0	0	0	0.0006581285	0.00524321	0	0.001167704	0.0507251	0.531418	0.417857
117	-44.0755	-55.4382	11.3627	1	1	0	0	1	0	0	0	0.0006552502	0.00524321	0	0.0007140287	0.00708171	0.140822	0.852096
118	-44.4889	-56.3425	11.8536	1	1	0	0	1	0	0	0	0.0004737539	0.004468819	0	0.001038178	0.00413495	0.202793	0.793072
119	-31.9515	-56.0365	24.085	0	1	0	0	0	0	0.0003603519	0	0.0008919259	0.004468819	0.0003258803	0.001323078	0.0121255	0.708342	0.279532
120	-33.0349	-57.944	24.9091	0	1	0	0	0	0	0.0007337323	0	0.0006768046	0.003013643	0.0006819024	0.001203265	0.00792769	0.711352	0.28072
121	-39.6632	-59.5997	19.9364	0	1	0	1	0	0	0.001021692	0	0.001444225	0	0.0004743969	0.001203265	0.0180001	0.505356	0.476644
122	-34.4277	-60.2857	25.858	1	0	0	0	0	0	0	0.00245317	0.001069505	1.749653e-05	0.0002887709	0.001259077	0.0180001	0.505356	0.476644
123	-49.051	-57.742	8.69097	1	1	1	1	0	0	0	0	0	0	0.0004434687	0.001041925	0.0180001	0.505356	0.476644
124	-42.8214	-57.8243	15.0028	1	1	1	0	0	0	0	0	0	0.0001969259	0.0002690248	0.001461629	0.0467104	0.742687	0.210602
125	-42.5133	-56.5234	14.0101	0	1	1	1	0	0	0.0009408011	0	0	0	0.0005067922	0.001757601	0.161637	0.486367	0.351996
126	-36.0831	-56.9494	20.8663	1	0	0	1	0	0	0	0.0004159605	0.0003876273	0	0.0005067922	0.001636387	0.224627	0.449824	0.325549
127	-41.113	-55.8706	14.7576	1	1	1	0	0	0	0	0	0	6.711343e-05	0.0005396652	0.001636387	0.188233	0.376943	0.434824
128	-34.8612	-55.6344	20.7731	1	0	1	0	0	0	0	0.0001711623	0	8.170754e-05	0.0003587683	0.002455123	0.223379	0.172256	0.604365
129	-39.2204	-59.696	20.4757	0	0	1	1	0	0	0.00121672	0.0009278991	0	0	0.0002399494	0.001064986	0.19449	0.279306	0.526204
130	-37.4701	-58.6552	21.1851	0	1	1	0	0	0	0.0004158595	0	0	0.0007052384	0.0002399494	0.001175504	0.219947	0.171406	0.608647
131	-47.4017	-55.3601	7.95837	1	1	1	1	0	0	0	0	0	0	0.0003390601	0.002089218	0.186758	0.145542	0.6677
132	-40.7898	-55.257	14.4672	1	1	1	0	0	0	0	0	0	4.339715e-05	0.0003214295	0.002252164	0.102294	0.0797184	0.817988
133	-47.6991	-56.2059	8.50679	1	1	1	1	0	0	0	0	0	0	0.0003355153	0.001386927	0.051946	0.176628	0.771426
134	-42.8965	-60.5252	17.6287	1	0	0	0	1	0	0	0.003301683	0.001120195	0.0007028237	0	0.001988966	0.051946	0.176628	0.771426
135	-38.2629	-57.9451	19.6821	1	0	0	0	1	0	0	4.915539e-06	0.001593422	0.0008835972	0	0.001988966	0.0111005	0.184237	0.804662
136	-47.2393	-55.1063	7.86701	1	1	1	1	0	0	0	0	0	0	0.0005568966	0.001988966	0.0223662	0.382748	0.594886
137	-42.7227	-55.992	13.2693	0	1	1	1	0	0	0.0004539373	0	0	0	0.0007279186	0.002976811	0.045592	0.399738	0.55467
138	-43.5079	-56.5724	13.0645	1	1	1	0	0	0	0	0	0	0.001181343	0.0009475173	0.002293347	0.0580042	0.258661	0.683335
139	-35.1558	-55.4872	20.3314	1	0	0	1	0	0	0	6.508347e-05	0.0001997172	0	0.0008185705	0.002551908	0.0580042	0.258661	0.683335
140	-42.965	-55.9624	12.9974	0	1	1	1	0	0	0.001078644	0	0	0	0.001015924	0.002414025	0.0881762	0.0909489	0.820875
141	-37.8421	-57.4485	19.6064	1	1	0	0	0	0	0	0	0.0003361106	9.505072e-05	0.001525017	0.00261217	0.263559	0.0554744	0.680966
142	-37.9405	-58.0654	20.1249	1	0	0	1	0	0	0	0.0004860747	0.0001313356	0	0.001525017	0.001758624	0.449273	0.181529	0.369198
143	-40.2191	-60.357	20.1378	0	1	0	1	0	0	0.000917205	0	0.0003122749	0	0.001525017	0.001129876	0.304917	0.401454	0.293629
144	-52.3585	-58.8941	6.53552	1	1	1	1	0	0	0	0	0	0	0.001956106	0.002303427	0.293035	0.408316	0.298648
145	-39.7281	-59.1579	19.4298	0	0	1	1	0	0	0.000298624	0.0002375408	0	0	0.001956106	0.002303427	0.252968	0.431457	0.315574
146	-51.5493	-58.1989	6.64952	1	1	1	1	0	0	0	0	0	0	0.001809394	0.002303427	0.13327	0.500591	0.366139
147	-45.2094	-58.231	13.0216	0	1	1	1	0	0	0.0006869832	0	0	0	0.001809394	0.001981131	0.345407	0.101246	0.553347
148	-37.3281	-57.6893	20.3612	0	0	1	1	0	0	0.0002144506	0.0005478346	0	0	0.001319441	0.001515161	0.395183	0.167527	0.437291
149	-49.9046	-58.3829	8.47828	1	1	1	1	0	0	0	0	0	0	0.000812841	0.000946288	0.395183	0.167527	0.437291
150	-35.182	-56.0935	20.9115	1	0	0	1	0	0	0	0.000205088	0.0001075777	0	0.0008942839	0.001681675	0.335832	0.142367	0.521801
151	-35.9927	-55.7199	19.7272	0	0	1	1	0	0	0.0004704565	0.0003463476	0	0	0.0008942839	0.002701778	0.0961745	0.0495246	0.854301
152	-42.4114	-55.7881	13.3767	1	0	1	1	0	0	0	0.0001950616	0	0	0.001123613	0.002701778	0.0911157	0.0995198	0.809364
153	-41.6511	-55.5312	13.8801	1	1	1	0	0	0	0	0	0	0.000178854	0.0009770583	0.002216655	0.269924	0.0799408	0.650135
154	-41.2218	-55.272	14.0502	1	1	1	0	0	0	0	0	0	0.000265314	0.0007833052	0.002104996	0.234644	0.0694924	0.695863
155	-48.3835	-56.0791	7.69561	1	1	1	1	0	0	0	0	0	0	0.0008604529	0.001906003	0.147485	0.563752	0.288763
156	-41.6281	-55.6507	14.0226	1	1	0	1	0	0	0	0	0.0002002306	0	0.0008604529	0.002128464	0.0962353	0.367853	0.535912
157	-35.9823	-55.8396	19.8574	0	0	1	1	0	0	7.337219e-05	0.001081058	0	0	0.000962436	0.002128464	0.0526158	0.0875147	0.859869
158	-43.8485	-57.0786	13.2302	1	1	0	1	0	0	0	0	0.001025213	0	0.000962436	0.002221363	0.179301	0.298226	0.522473
159	-40.4012	-60.0789	19.6777	0	1	0	1	0	0	0.001589641	0	0.001017153	0	0.0006081184	0.001261697	0.061529	0.759178	0.179293
160	-42.8167	-57.6067	14.79	1	0	1	1	0	0	0	0.0003253895	0	0	0.0005030039	0.001373115	0.113028	0.717518	0.169454
161	-49.003	-56.464	7.46103	1	1	1	1	0	0	0	0	0	0	0.0008360394	0.002232336	0.113028	0.717518	0.169454
162	-49.7918	-58.0207	8.22886	1	1	1	1	0	0	0	0	0	0	0.0004589239	0.001621217	0.226073	0.72065	0.0532767
163	-46.2866	-59.1265	12.8399	1	0	1	1	0	0	0	0.001650092	0	0	0.0006686467	0.002392619	0.140929	0.825705	0.0333655
164	-37.606	-57.3635	19.7575	0	1	0	1	0	0	0.000353821	0	0.0009236236	0	0.0007038088	0.002392619	0.363618	0.344478	0.291904
165	-39.2619	-57.9051	18.6432	1	0	1	0	0	0	0	0.00150814	0	0.0006829354	0.0007038088	0.002913096	0.182428	0.489799	0.327773
166	-37.4817	-56.9827	19.5009	0	1	1	0	0	0	0.0009286264	0	0	0.0003087333	0.0005536401	0.002913096	0.0974704	0.540696	0.361834
167	-42.7749	-56.8354	14.0605	1	1	0	1	0	0	0	0	0.0006338657	0	0.0007029997	0.001803482	0.104552	0.579981	0.315467
168	-37.0485	-57.2127	20.1642	0	1	0	1	0	0	0.0009824019	0	0.0003118986	0	0.0008282403	0.001727905	0.0826178	0.594188	0.323195
169	-37.5631	-57.1108	19.5477	0	0	1	1	0	0	0.0008011133	0.0008501846	0	0	0.001023665	0.001968885	0.525751	0.0808804	0.393368
170	-44.3964	-58.0749	13.6785	0	1	1	1	0	0	9.811687e-05	0	0	0	0.001741638	0.001792259	0.259574	0.307738	0.432688
171	-44.9649	-57.8196	12.8547	0	1	1	1	0	0	0.001455394	0	0	0	0.001412927	0.001823919	0.300861	0.247133	0.452005
172	-31.4221	-57.1755	25.7534	0	1	0	0	0	0	0.001455394	0	8.005108e-05	0.0001566756	0.001039199	0.002491324	0.300861	0.247133	0.452005
173	-43.5817	-56.9052	13.3235	1	1	0	1	0	0	0	0	3.955627e-05	0	0.000585823	0.003463538	0.313997	0.357272	0.328731
174	-48.3812	-56.0176	7.63636	1	1	1	1	0	0	0	0	0	0	0.0005584383	0.002284279	0.356692	0.417286	0.226022
175	-38.9197	-57.8745	18.9548	0	0	1	1	0	0	0.00078404	0.001649678	0	0	0.000689026	0.002284279	0.643387	0.160316	0.196297
176	-36.7298	-56.9345	20.2047	1	0	0	1	0	0	0	0.0004853888	0.0003263646	0	0.0007023097	0.002284279	0.674934	0.119144	0.205922
177	-49.8879	-56.4763	6.58842	1	1	1	1	0	0	0	0	0	0	0.0008684641	0.003322996	0.173629	0.351988	0.474383
178	-50.7909	-57.2927	6.50179	1	1	1	1	0	0	0	0	0	0	0.0008684641	0.003434482	0.561286	0.186868	0.251846
179	-48.6816	-56.0784	7.3968	1	1	1	1	0	0	0	0	0	0	0.0008684641	0.002282579	0.450885	0.28701	0.262104
