Iteration	Posterior	Likelihood	Prior	mu_morpho
287	-61.3542	-61.3523	-0.00195836	0.001958361
288	-62.2448	-62.2421	-0.0026939	0.002693902
289	-62.2448	-62.2421	-0.0026939	0.002693902
290	-62.2448	-62.2421	-0.0026939	0.002693902
291	-61.8109	-61.8085	-0.00244782	0.002447824
292	-61.376	-61.3739	-0.00202145	0.002021453
293	-62.6526	-62.6497	-0.00288445	0.00288445
294	-62.6526	-62.6497	-0.00288445	0.00288445
295	-62.6526	-62.6497	-0.00288445	0.00288445
296	-61.3613	-61.3593	-0.00198328	0.001983278
297	-61.4763	-61.4741	-0.00217216	0.002172156
298	-61.4763	-61.4741	-0.00217216	0.002172156
299	-61.7401	-61.7377	-0.00239973	0.002399734
300	-61.3995	-61.3977	-0.00171849	0.001718486
301	-61.3995	-61.3977	-0.00171849	0.001718486
302	-61.3483	-61.3465	-0.00184754	0.001847539
303	-61.4317	-61.43	-0.00167576	0.00167576
304	-62.619	-62.6161	-0.0028697	0.002869695
305	-61.3515	-61.3495	-0.00194611	0.00194611
306	-61.3861	-61.3844	-0.00174022	0.001740221
307	-61.819	-61.8176	-0.00141805	0.001418052
308	-61.4005	-61.3988	-0.00171685	0.001716847
309	-61.6178	-61.6163	-0.00152307	0.00152307
310	-63.1958	-63.1947	-0.00104473	0.001044731
311	-62.0102	-62.0089	-0.00134123	0.001341228
312	-62.3151	-62.3124	-0.0027288	0.002728797
313	-63.8237	-63.8203	-0.00333734	0.003337337
314	-63.8237	-63.8203	-0.00333734	0.003337337
315	-61.4952	-61.4931	-0.0021931	0.002193102
316	-61.392	-61.3899	-0.00205388	0.00205388
317	-61.7785	-61.7761	-0.00242625	0.002426245
318	-61.8591	-61.8566	-0.00247877	0.002478766
319	-63.0016	-62.9986	-0.00303046	0.003030463
320	-61.5346	-61.5324	-0.00223317	0.002233173
321	-61.5346	-61.5324	-0.00223317	0.002233173
322	-61.5346	-61.5324	-0.00223317	0.002233173
323	-61.4699	-61.4683	-0.00163522	0.001635221
324	-62.0886	-62.0873	-0.00131373	0.001313725
325	-61.9267	-61.9242	-0.00252029	0.002520293
326	-62.1468	-62.1442	-0.00264349	0.002643486
327	-62.1468	-62.1442	-0.00264349	0.002643486
328	-61.5205	-61.5189	-0.00159108	0.00159108
329	-61.5205	-61.5189	-0.00159108	0.00159108
330	-61.695	-61.6935	-0.00147864	0.001478642
331	-61.695	-61.6935	-0.00147864	0.001478642
332	-61.695	-61.6935	-0.00147864	0.001478642
333	-61.7321	-61.7297	-0.0023941	0.002394096
334	-61.9306	-61.9292	-0.0013713	0.001371302
335	-61.4336	-61.432	-0.00167348	0.001673478
336	-61.3921	-61.39	-0.00205402	0.002054016
337	-62.2741	-62.2714	-0.00270857	0.002708569
