Iteration	Posterior	Likelihood	Prior	alpha_morpho	alpha_ofbeta	beta_ofbeta	br_len_lambda	cats[1]	cats[2]	cats[3]	cats[4]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
700	-410.882	-402.589	-8.29267	104655.6	20.28298	24.00974	13.58796	0.367876	0.435371	0.483125	0.55262	0.38918	0.165596	0.416931	0.0282929	0.996074	0.998994	1.001	1.00393	2.402771
710	-416.281	-406.789	-9.49245	206272.3	20.02157	20.0895	14.28017	0.402109	0.474052	0.524312	0.5963	0.27477	0.339671	0.367227	0.0183321	0.997203	0.999284	1.00071	1.0028	2.50473
720	-417.112	-405.711	-11.4009	890574.8	14.00856	11.52762	10.71847	0.425086	0.514972	0.577014	0.663124	0.466374	0.396809	0.0723051	0.064512	0.998653	0.999656	1.00034	1.00135	2.834215
730	-422.1	-411.395	-10.7051	855999.4	6.355543	7.451061	11.9139	0.31081	0.422851	0.505297	0.622427	0.366649	0.092032	0.240115	0.301203	0.998626	0.999649	1.00035	1.00137	2.862692
740	-423.662	-407.048	-16.6139	739918	21.08409	29.46618	11.99335	0.335188	0.397195	0.441555	0.50705	0.240616	0.0720081	0.332418	0.354958	0.998523	0.999622	1.00038	1.00148	3.046995
750	-423.19	-409.759	-13.4306	851443.2	18.5164	26.51045	9.975188	0.325448	0.390554	0.437379	0.50664	0.339567	0.0436626	0.358852	0.257918	0.998623	0.999648	1.00035	1.00138	2.83063
760	-435.258	-413.652	-21.6051	778842.5	30.6693	46.48036	6.786727	0.331184	0.38148	0.417311	0.470501	0.27573	0.181659	0.485041	0.0575698	0.99856	0.999632	1.00037	1.00144	3.112934
770	-424.104	-409.477	-14.6275	546082.7	14.98549	19.28049	8.779298	0.337998	0.412944	0.466747	0.54545	0.289887	0.178111	0.504285	0.0277173	0.99828	0.99956	1.00044	1.00172	3.022333
780	-430.196	-414.779	-15.4177	954498.7	13.47337	15.29271	10.52785	0.357959	0.440481	0.499276	0.584015	0.0724256	0.215675	0.680821	0.0310781	0.998699	0.999667	1.00033	1.0013	3.183764
790	-430.131	-413.165	-16.9669	879751.4	32.79706	34.60069	9.317281	0.411246	0.467362	0.506432	0.56298	0.20753	0.373207	0.36406	0.055203	0.998645	0.999654	1.00035	1.00136	2.942412
800	-424.064	-406.779	-17.2843	226321.1	17.62193	21.7813	11.27056	0.353068	0.423858	0.474285	0.547868	0.21101	0.606467	0.104924	0.0776	0.997329	0.999316	1.00068	1.00267	3.231622
810	-419.184	-404.926	-14.2577	770761	18.65824	19.82563	7.969937	0.386836	0.459752	0.511003	0.584737	0.221454	0.618552	0.0848031	0.0751901	0.998553	0.99963	1.00037	1.00145	2.849778
820	-428.84	-407.58	-21.2595	594042.9	30.048	31.97275	10.81667	0.406157	0.464493	0.505174	0.564047	0.609779	0.207473	0.179706	0.00304233	0.998351	0.999578	1.00042	1.00165	3.408615
830	-430.586	-411.082	-19.5048	943672.6	18.42533	22.4916	9.710971	0.35751	0.427215	0.476768	0.549012	0.159448	0.409649	0.339937	0.0909664	0.998692	0.999665	1.00033	1.00131	3.489684
840	-423.08	-409.471	-13.6094	507339.9	10.58298	16.73121	12.52647	0.283927	0.363596	0.422546	0.51046	0.0991473	0.0554957	0.522	0.323357	0.998216	0.999544	1.00046	1.00179	2.969028
850	-433.311	-412.662	-20.6488	235665.9	5.630631	6.185359	7.37769	0.314387	0.434833	0.523326	0.647151	0.175432	0.551618	0.0288844	0.244065	0.997383	0.99933	1.00067	1.00262	3.97696
860	-427.646	-417.82	-9.82678	946660	4.333912	4.679085	11.11162	0.299996	0.433749	0.533246	0.670324	0.313063	0.0275401	0.0174864	0.64191	0.998694	0.999666	1.00033	1.00131	2.840878
870	-433.704	-418.749	-14.9545	806122.5	6.347164	10.98695	10.42744	0.246125	0.340312	0.41253	0.521074	0.224216	0.0285346	0.0798915	0.667358	0.998585	0.999638	1.00036	1.00142	3.251228
880	-422.67	-412.466	-10.2043	944446.5	10.51457	12.55047	11.0474	0.33564	0.425892	0.491013	0.585005	0.237314	0.510335	0.214365	0.0379867	0.998692	0.999666	1.00033	1.00131	2.74822
890	-433.176	-416.379	-16.7968	839093.3	13.6713	15.5193	13.42771	0.358649	0.440635	0.499021	0.583197	0.381239	0.323313	0.146962	0.148487	0.998613	0.999645	1.00035	1.00139	3.150471
900	-417.777	-405.97	-11.8075	744433.2	16.87487	16.99509	17.27536	0.393306	0.471047	0.525548	0.603396	0.636179	0.0178414	0.245305	0.100675	0.998527	0.999623	1.00038	1.00147	2.569646
910	-420.949	-408.558	-12.3909	31116.45	12.62823	18.97871	13.02665	0.300701	0.376265	0.431534	0.513573	0.425534	0.00896132	0.194533	0.370972	0.992803	0.99815	1.00183	1.00722	2.82004
920	-418.732	-410.517	-8.21474	450381.3	10.46807	13.91788	15.53166	0.315115	0.401653	0.464744	0.556999	0.148376	0.396378	0.0520383	0.403208	0.998107	0.999516	1.00048	1.00189	2.484264
930	-415.931	-405.143	-10.7884	493654.4	8.533566	5.512128	13.59574	0.438605	0.557346	0.637762	0.742891	0.679807	0.132406	0.149096	0.0386907	0.998191	0.999537	1.00046	1.00181	2.808716
940	-428.587	-414.75	-13.8375	986633.9	8.569453	5.543581	8.583391	0.438659	0.557147	0.637402	0.742373	0.283515	0.258093	0.371925	0.0864679	0.998721	0.999673	1.00033	1.00128	3.151872
950	-420.552	-405.833	-14.7196	958369.1	6.523537	6.622619	9.124219	0.337442	0.454358	0.538849	0.656268	0.588291	0.166961	0.217874	0.0268734	0.998702	0.999668	1.00033	1.0013	3.281461
