Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
2280	-427.07	-418.851	-8.21971	456248.3	9.795364	0.998119	0.999519	1.00048	1.00188	3.039901
2290	-430.694	-422.931	-7.76336	655004.5	10.30021	0.99843	0.999598	1.0004	1.00157	2.997806
2300	-425.94	-417.695	-8.24561	945460.3	8.201611	0.998693	0.999666	1.00033	1.00131	2.958138
2310	-423.134	-408.462	-14.6724	545025.4	12.3697	0.998279	0.99956	1.00044	1.00172	3.50979
2320	-428.208	-418.624	-9.58316	617840.7	10.34106	0.998383	0.999586	1.00041	1.00162	3.173783
2330	-417.459	-413.21	-4.24973	932659.4	13.53037	0.998684	0.999664	1.00034	1.00132	2.639977
2340	-415.819	-409.554	-6.26475	964620.2	7.877328	0.998706	0.999669	1.00033	1.00129	2.667682
2350	-408.35	-405.126	-3.22378	353559.1	14.03645	0.997863	0.999453	1.00055	1.00214	2.550822
2360	-423.598	-412.724	-10.8746	132102.7	14.86959	0.996505	0.999105	1.00089	1.0035	3.039188
2370	-416.225	-407.626	-8.59918	680942.1	10.06625	0.99846	0.999606	1.00039	1.00154	3.079839
2380	-416.999	-408.339	-8.6603	250631.7	10.97171	0.997462	0.99935	1.00065	1.00254	3.073798
2390	-428.569	-416.632	-11.9378	22712.49	8.015319	0.991578	0.997833	1.00214	1.00845	3.397588
2400	-425.223	-415.961	-9.2615	267377.2	8.276199	0.997543	0.999371	1.00063	1.00246	3.088521
2410	-413.487	-404.422	-9.06451	399452.7	9.299848	0.99799	0.999486	1.00051	1.00201	3.119166
2420	-427.628	-410.992	-16.6361	833813.7	9.389298	0.998608	0.999644	1.00036	1.00139	3.927591
2430	-429.22	-415.18	-14.0397	833452.7	8.023526	0.998608	0.999644	1.00036	1.00139	3.660087
2440	-424.89	-414.72	-10.1695	36437.42	10.61978	0.993349	0.998291	1.00169	1.00667	3.223097
2450	-419.31	-414.118	-5.19268	541697.9	12.89651	0.998273	0.999558	1.00044	1.00173	2.729905
2460	-424.701	-416.704	-7.99628	538371.8	14.29689	0.998268	0.999557	1.00044	1.00173	2.87696
2470	-427.597	-414.588	-13.0091	765204.8	10.90592	0.998547	0.999628	1.00037	1.00145	3.474107
2480	-429.8	-422.307	-7.49341	855359.1	9.760033	0.998626	0.999649	1.00035	1.00137	2.964996
