Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	alpha_ofbeta	beta_ofbeta	br_len_lambda	cats[1]	cats[2]	cats[3]	cats[4]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
55	1	-439.297	-418.434	-20.8635	24531.27	22.67018	46.75845	9.858645	0.262366	0.311922	0.348135	0.403106	0.153163	0.0541344	0.410623	0.382079	0.991896	0.997915	1.00206	1.00813	3.333554
56	0	-433.474	-415.361	-18.1128	218127.5	8.76767	11.13815	10.00858	0.314592	0.409695	0.479239	0.58005	0.485496	0.0642455	0.0327152	0.417543	0.99728	0.999304	1.00069	1.00272	3.55035
57	1	-450.707	-426.502	-24.205	10583.64	32.7262	47.02078	9.535434	0.344292	0.39424	0.429669	0.482071	0.205692	0.0298801	0.476219	0.288209	0.987672	0.996817	1.00313	1.01238	3.580177
58	0	-427.679	-412.284	-15.3954	87729.78	11.29323	9.153682	8.72577	0.415076	0.514493	0.583277	0.677786	0.409623	0.0260102	0.0948544	0.469512	0.995712	0.998901	1.00109	1.00429	3.265352
59	1	-437.013	-415.341	-21.6723	836605.4	15.07068	22.2206	8.132488	0.31161	0.382108	0.433256	0.509082	0.0735519	0.0162619	0.844609	0.0655777	0.998611	0.999645	1.00035	1.00139	3.797136
60	0	-422.66	-409.168	-13.4917	745619.4	13.56952	15.68014	9.90488	0.354744	0.436457	0.494757	0.578962	0.271975	0.10912	0.29136	0.327545	0.998528	0.999624	1.00038	1.00147	2.994037
61	1	-435.458	-415.7	-19.7584	864159.8	12.47445	11.83355	9.767323	0.389746	0.480574	0.544321	0.634081	0.690306	0.0146867	0.141942	0.153065	0.998633	0.99965	1.00035	1.00137	3.683957
62	0	-422.889	-414.062	-8.82755	600322.3	12.83392	17.2789	12.771	0.322246	0.401021	0.458079	0.541819	0.102827	0.0554235	0.689313	0.152436	0.99836	0.99958	1.00042	1.00164	2.56196
63	1	-421.961	-413.49	-8.47069	54621.57	11.30501	14.11988	10.06695	0.330657	0.416558	0.478643	0.568863	0.534705	0.0389973	0.278802	0.147496	0.994566	0.998606	1.00138	1.00544	2.535048
64	0	-429.288	-416.661	-12.6272	508026	4.719244	4.870754	7.802211	0.312918	0.444659	0.54161	0.674669	0.0911012	0.12613	0.306034	0.476735	0.998217	0.999544	1.00045	1.00178	2.986733
