Iteration	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	extinction[1]	extinction[2]	rate_12	rate_21	root_state_freq[1]	root_state_freq[2]	speciation[1]	speciation[2]
515	-1580.33	-1591.61	11.2813	0.146124	0.0457152	0.103142	0.0788868	0.001818742	0.01078375	0.877157	0.122843	0.249267	0.124602
520	-1577.63	-1590.18	12.544	0.135105	0.0599692	0.114161	0.0553186	0.001301849	0.005639531	0.877157	0.122843	0.249267	0.115288
525	-1577.62	-1590.31	12.6943	0.129981	0.0961729	0.119286	0.019115	0.002223551	0.00607815	0.44969	0.55031	0.249267	0.115288
530	-1576.65	-1590.54	13.8939	0.167178	0.0908496	0.0820889	0.019115	0.001558416	0.002919166	0.309049	0.690951	0.249267	0.109965
535	-1576.35	-1589.59	13.2383	0.160222	0.0454867	0.0890444	0.0644779	0.001283141	0.00320697	0.151279	0.848721	0.249267	0.109965
540	-1576.26	-1589.98	13.7154	0.154882	0.0889622	0.0799247	0.0210024	0.002089134	0.00446186	0.0536893	0.946311	0.234806	0.109965
545	-1582.87	-1596.31	13.4442	0.123409	0.0819336	0.111398	0.028031	0.004508799	0.000843678	0.912733	0.0872668	0.234806	0.109965
550	-1576.56	-1589.24	12.6808	0.150048	0.0720432	0.104986	0.058056	0.002794396	0.002354713	0.180176	0.819824	0.255034	0.130099
555	-1577.66	-1590.49	12.8339	0.146471	0.100856	0.0955501	0.0130912	0.002507695	0.007734672	0.180176	0.819824	0.242021	0.113947
560	-1575.73	-1588.93	13.2025	0.149668	0.0824107	0.0923533	0.0289232	0.001311281	0.006107025	0.290635	0.709365	0.242021	0.111334
565	-1576.31	-1589.54	13.225	0.164619	0.0824107	0.0923533	0.0289232	0.002139102	0.004082542	0.253068	0.746932	0.256972	0.111334
570	-1576.49	-1589.66	13.1749	0.143821	0.0624461	0.0910613	0.0467597	0.001434122	0.00562235	0.487782	0.512218	0.234882	0.109206
575	-1576.39	-1590.38	13.9933	0.158538	0.0746549	0.0534953	0.0446123	0.001467663	0.004657802	0.25333	0.74667	0.212033	0.119267
580	-1576.98	-1591.15	14.1725	0.1762	0.0795041	0.0291366	0.046333	0.001535235	0.005191047	0.271866	0.728134	0.205337	0.125837
585	-1579.09	-1592.02	12.9282	0.170723	0.0639594	0.0346142	0.0746597	0.000724726	0.009791575	0.354077	0.645923	0.205337	0.138619
590	-1576.12	-1587.94	11.8223	0.141063	0.0846888	0.112101	0.0539303	0.001180489	0.008190238	0.145548	0.854452	0.253164	0.138619
595	-1578.9	-1589.41	10.5084	0.120891	0.0387229	0.132273	0.11759	0.0009406986	0.008693299	0.396602	0.603398	0.253164	0.156313
600	-1578.39	-1589.82	11.4294	0.163114	0.0476829	0.0696005	0.11622	0.002013363	0.007845886	0.502135	0.497865	0.232715	0.163903
605	-1577.86	-1591.17	13.3095	0.161224	0.0470925	0.0785622	0.0631789	0.001679745	0.003899911	0.809656	0.190344	0.239786	0.110271
610	-1577.53	-1591.22	13.6921	0.189591	0.0841027	0.0588009	0.020615	0.002381995	0.005243666	0.0912408	0.908759	0.248392	0.104718
615	-1577.53	-1590.32	12.7903	0.141393	0.0745068	0.0983831	0.030211	0.002661763	0.007224383	0.453129	0.546871	0.239776	0.104718
620	-1580.4	-1592.65	12.252	0.163652	0.0745068	0.0724752	0.030211	0.002837592	0.01223897	0.809008	0.190992	0.236127	0.104718
625	-1578.48	-1593.41	14.9328	0.165933	0.102485	0.0509647	0.00223273	0.001790398	0.002860766	0.534749	0.465251	0.216898	0.104718
630	-1577.22	-1590.87	13.6504	0.167591	0.0774246	0.0551724	0.0428817	0.003343222	0.003906401	0.233812	0.766188	0.222763	0.120306
635	-1578.25	-1593.7	15.4525	0.190139	0.0779336	0.00417961	0.0226983	0.001810939	0.003652733	0.275576	0.724424	0.194318	0.100632
640	-1578.73	-1591.35	12.6214	0.201825	0.0363686	0.0277309	0.112796	0.00243029	0.005124522	0.17741	0.82259	0.229556	0.149164
645	-1577.63	-1589.54	11.9071	0.151274	0.0585224	0.0822117	0.0895508	0.004260313	0.004946474	0.237853	0.762147	0.233486	0.148073
650	-1576.07	-1588.33	12.2609	0.138863	0.0594107	0.0946231	0.0886624	0.001004124	0.005355909	0.292867	0.707133	0.233486	0.148073
655	-1576.16	-1588.59	12.4217	0.182726	0.0648523	0.0738956	0.0886624	0.001270286	0.00360941	0.155591	0.844409	0.256622	0.153515
660	-1578.37	-1589.67	11.2956	0.132237	0.0447443	0.103619	0.140337	0.0002613675	0.0044731	0.506073	0.493927	0.235856	0.185081
665	-1576.46	-1588.52	12.0585	0.158635	0.0472961	0.0772205	0.12586	0.00117822	0.002964453	0.467632	0.532368	0.235856	0.173156
670	-1576.35	-1588.63	12.2792	0.166425	0.0663984	0.0694305	0.10911	0.001369204	0.00309589	0.301588	0.698412	0.235856	0.175508
675	-1575.48	-1589.18	13.6968	0.177511	0.0713223	0.0532761	0.0522567	0.0008733635	0.004769736	0.0622044	0.937796	0.230788	0.123579
680	-1576.65	-1589.18	12.5311	0.167183	0.0461387	0.0861543	0.0774403	0.001624208	0.00492845	0.515174	0.484826	0.253337	0.123579
685	-1578.8	-1593.07	14.2651	0.186678	0.0962112	0.0334501	0.0273678	0.003266471	0.003081641	0.191461	0.808539	0.220128	0.123579
690	-1580.13	-1592.91	12.7722	0.153603	0.0913102	0.0533626	0.0322688	0.002135141	0.01191992	0.250203	0.749797	0.206966	0.123579
695	-1577.21	-1590.75	13.5415	0.153376	0.0821725	0.0535898	0.0605222	0.000511804	0.005743092	0.0331292	0.966871	0.206966	0.142695
700	-1577.86	-1589.64	11.7861	0.157341	0.0731151	0.0857941	0.0630678	0.0006028842	0.01109182	0.51755	0.48245	0.243135	0.136183
705	-1577.42	-1591.02	13.5938	0.135308	0.0735209	0.0837151	0.0445265	0.0002551634	0.005590293	0.418009	0.581991	0.219023	0.118047
710	-1576.73	-1590.98	14.2466	0.192675	0.0733381	0.0263477	0.0445265	0.000790899	0.005431566	0.247886	0.752114	0.219023	0.117865
715	-1579.98	-1594.15	14.1706	0.162455	0.119201	0.054675	0.0242344	0.0006190447	0.003773157	0.577344	0.422656	0.21713	0.143435
720	-1577.64	-1590.99	13.3474	0.143155	0.102798	0.0868167	0.0242344	0.001992173	0.005066944	0.259116	0.740884	0.229971	0.127032
725	-1577.39	-1591.04	13.6478	0.158809	0.059006	0.071162	0.0604657	0.002491773	0.001919192	0.502566	0.497434	0.229971	0.119472
730	-1578.64	-1592.56	13.9192	0.190554	0.038787	0.0394176	0.0628114	0.00209416	0.004141474	0.124637	0.875363	0.229971	0.101598
735	-1577.5	-1591.68	14.1773	0.166453	0.0779291	0.0515355	0.0431644	0.0008721257	0.003888205	0.84762	0.15238	0.217989	0.121093
740	-1579.6	-1593.07	13.4659	0.138963	0.0746955	0.0790253	0.0279082	0.002515623	0.006760636	0.830442	0.169558	0.217989	0.102604
745	-1576.63	-1590.01	13.3776	0.168194	0.0687159	0.0541802	0.0524628	0.002180883	0.005981205	0.366277	0.633723	0.222374	0.121179
750	-1576.46	-1589.94	13.4866	0.16104	0.0687159	0.0710047	0.0524628	0.001408666	0.004237453	0.724994	0.275006	0.232045	0.121179
755	-1579.71	-1592.89	13.1795	0.154866	0.0491806	0.0771789	0.071998	0.003451343	0.002114862	0.904391	0.0956087	0.232045	0.121179
