Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	lambda[6]	lambda[7]	lambda[8]	lambda[9]	lambda[10]	lambda[11]	lambda[12]	lambda[13]	lambda[14]	lambda[15]	lambda[16]	lambda[17]	lambda[18]	lambda[19]	lambda[20]	lambda[21]	lambda[22]	lambda[23]	lambda[24]	lambda[25]	lambda[26]	lambda[27]	lambda[28]	lambda[29]	lambda[30]	lambda[31]	lambda[32]	lambda[33]	lambda[34]	lambda[35]	lambda[36]	lambda[37]	lambda[38]	lambda[39]	lambda[40]	lambda[41]	lambda[42]	lambda[43]	lambda[44]	lambda[45]	lambda[46]	lambda[47]	lambda[48]	lambda[49]	lambda[50]	lambda[51]	lambda[52]	lambda[53]	lambda[54]	lambda[55]	lambda[56]	lambda[57]	lambda[58]	lambda[59]	lambda[60]	lambda[61]	lambda[62]	lambda[63]	lambda[64]	lambda[65]	lambda[66]	lambda[67]	lambda[68]	lambda[69]	lambda[70]	lambda[71]	lambda[72]	lambda[73]	lambda[74]	lambda[75]	lambda[76]	lambda[77]	lambda[78]	lambda[79]	lambda[80]	lambda[81]	lambda[82]	lambda[83]	lambda[84]	lambda[85]	lambda[86]	lambda[87]	lambda[88]	lambda[89]	lambda[90]	lambda[91]	lambda[92]	lambda[93]	lambda[94]	lambda[95]	lambda[96]	lambda[97]	lambda[98]	m_w[1][1]	m_w[1][2]	m_w[1][3]	m_w[1][4]	m_w[1][5]	m_w[1][6]	m_w[1][7]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]	mu[11]	mu[12]	mu[13]	mu[14]	mu[15]	mu[16]	mu[17]	mu[18]	mu[19]	mu[20]	mu[21]	mu[22]	mu[23]	mu[24]	mu[25]	mu[26]	mu[27]	mu[28]	mu[29]	mu[30]	mu[31]	mu[32]	mu[33]	mu[34]	mu[35]	mu[36]	mu[37]	mu[38]	mu[39]	mu[40]	mu[41]	mu[42]	mu[43]	mu[44]	mu[45]	mu[46]	mu[47]	mu[48]	mu[49]	mu[50]	mu[51]	mu[52]	mu[53]	mu[54]	mu[55]	mu[56]	mu[57]	mu[58]	mu[59]	mu[60]	mu[61]	mu[62]	mu[63]	mu[64]	mu[65]	mu[66]	mu[67]	mu[68]	mu[69]	mu[70]	mu[71]	mu[72]	mu[73]	mu[74]	mu[75]	mu[76]	mu[77]	mu[78]	mu[79]	mu[80]	mu[81]	mu[82]	mu[83]	mu[84]	mu[85]	mu[86]	mu[87]	mu[88]	mu[89]	mu[90]	mu[91]	mu[92]	mu[93]	mu[94]	mu[95]	mu[96]	mu[97]	mu[98]	phi_b[1]	phi_b[2]	phi_d[1]	phi_d[2]	phi_e[1]	phi_e[2]	phi_w[1]	phi_w[2]	r_e[1]	r_e[2]	r_e[3]	r_e[4]	r_e[5]	r_e[6]	r_e[7]	r_w[1]	r_w[2]	r_w[3]	r_w[4]	r_w[5]	r_w[6]	r_w[7]	rho_b	rho_d	rho_e	rho_w	sigma_b[1]	sigma_b[2]	sigma_d[1]	sigma_d[2]	sigma_e[1]	sigma_e[2]	sigma_w[1]	sigma_w[2]	speciation_rates[1]	speciation_rates[2]	total_speciation	use_phi_b[1]	use_phi_b[2]	use_phi_d[1]	use_phi_d[2]	use_phi_e[1]	use_phi_e[2]	use_phi_w[1]	use_phi_w[2]	use_sigma_b[1]	use_sigma_b[2]	use_sigma_d[1]	use_sigma_d[2]	use_sigma_e[1]	use_sigma_e[2]	use_sigma_w[1]	use_sigma_w[2]
4260	-168.3082	-154.9123	-13.39587	0.0409599	0.0409599	0.271655	0.271655	0.271655	0.048376	0.0409599	0.103406	0.340575	0.33449	0.344176	0.335917	0.561133	0.348999	0.337048	0.562038	0.560344	0.127687	0.115226	0.340621	0.338758	0.337272	0.201898	0.201898	0.432594	0.432594	0.432594	0.209315	0.38867	0.39077	0.621211	0.615323	0.392958	0.623493	0.616349	0.62368	0.615926	0.841593	0.171086	0.402238	0.39476	0.402471	0.394347	0.620038	0.403096	0.393868	0.619716	0.618019	0.219169	0.4587	0.450418	0.463285	0.452424	0.675186	0.469091	0.453986	0.67654	0.67399	0.248079	0.232683	0.455991	0.45326	0.451027	0.673435	0.675208	0.675663	0.90411	0.897767	0.453685	0.454211	0.682894	0.676278	0.454745	0.683576	0.67632	0.682834	0.675342	0.90117	0.495671	0.498819	0.729036	0.720129	0.502032	0.732403	0.721731	0.73254	0.721047	0.943795	0.280794	0.512126	0.501069	0.512343	0.500416	0.723284	0.513058	0.499647	0.722767	0.720037	1	1	6.63223	6.63223	6.63223	1.18106	1	0.041465	0.0413042	0.0364306	0.0362708	0.0341463	0.0790302	0.0391796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54703	0	-1.56568	-0.64418	-0.101161	-0.289838	0	0	0.041465	0.0413042	0.0364306	0.0362708	0.0341463	0.0790302	0.0391796	0.0409599	0.0409599	0.271655	0.271655	0.271655	0.048376	0.0409599	0.02634967	0.01295219	0.03434778	0.04095986	0.403151	-0.249562	0	1.33611	-0.0753409	1.11235	1.89194	-1.72553	0.0409599	0.0263497	0.06730953	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1
4280	-167.2378	-153.5192	-13.71859	0.123273	0.123281	0.265156	0.265157	0.265161	0.265169	0.123289	0.254103	0.406758	0.396457	0.415993	0.398359	0.534335	0.432933	0.400081	0.535069	0.533771	0.441578	0.402597	0.536864	0.535077	0.533927	0.883349	0.883357	1.02523	1.02523	1.02524	1.02524	0.526524	0.52922	0.671402	0.663569	0.531975	0.674639	0.664705	0.676884	0.664179	0.80151	0.534428	0.677868	0.666798	0.680162	0.666208	0.802903	0.684517	0.665612	0.802606	0.801295	0.703159	0.865744	0.845959	0.882952	0.849659	0.979989	0.913302	0.852985	0.981433	0.978869	0.928212	0.857811	0.984953	0.981441	0.979165	0.795939	0.797848	0.797836	0.938422	0.931213	0.80041	0.800511	0.940971	0.933101	0.800387	0.941984	0.93305	0.942461	0.931993	1.0697	0.876542	0.881785	1.02411	1.00893	0.887103	1.03032	1.01116	1.03433	1.01011	1.14304	0.891798	1.03658	1.01527	1.04063	1.0141	1.14579	1.04828	1.0129	1.1452	1.1426	0.970146	0.970214	2.08676	2.08677	2.0868	2.08686	0.970275	0.0196758	0.0207548	0.0372256	0.0397622	0.0983348	2.23605	0.045673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.84247	0	-1.07744	0	1.51957	-0.125582	0	0.0628882	0.0196758	0.0207548	0.0372256	0.0397622	0.0983348	2.23605	0.045673	0.123273	0.123281	0.265156	0.265157	0.265161	0.265169	0.123289	0.0101205	0.01635807	0.03844768	0.1270659	0	0	0	1.77604	-0.165635	-0.977342	0.765791	0	0.127066	0.0101205	0.1371864	1	0	1	0	1	1	0	1	0	0	0	1	1	1	1	0
4300	-167.1039	-150.2943	-16.80962	0.356592	0.339771	0.31725	0.299496	0.135822	0.00378352	0.170419	0.83744	0.840198	0.799687	0.835549	0.787691	0.742242	0.68858	0.628486	0.582517	0.557306	0.563116	0.502094	0.458392	0.432725	0.262522	1.40885	1.39203	1.36951	1.35175	1.18808	1.05604	1.215	1.20529	1.18248	1.14273	1.0501	1.02743	0.982937	1.01082	0.963934	0.921167	0.923132	0.902207	0.857095	0.885652	0.838067	0.796094	0.724698	0.672965	0.631258	0.606596	1.52871	1.53699	1.49136	1.53448	1.48077	1.42911	1.38959	1.32258	1.27058	1.24306	1.26475	1.19738	1.14869	1.12078	0.948576	1.57339	1.41623	1.40033	1.3713	1.33012	1.29009	1.27429	1.24611	1.20442	1.11289	1.08501	1.04088	1.06551	1.02012	0.979003	1.81483	1.80814	1.78547	1.73628	1.65594	1.63351	1.57816	1.61725	1.55862	1.50645	1.53076	1.51089	1.45496	1.49475	1.43543	1.38458	1.33464	1.26969	1.21926	1.19125	3.7826	3.60417	3.36527	3.17695	1.44075	0.0401341	1.80775	0.0625724	0.0625724	0.0617415	0.0617415	0.0617415	0.0873958	0.0625724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.342386	0	-1.90055	-0.83914	0	0	-1.32638	-1.4376	0.0625724	0.0625724	0.0617415	0.0617415	0.0617415	0.0873958	0.0625724	0.356592	0.339771	0.31725	0.299496	0.135822	0.00378352	0.170419	0.06472051	0.03037459	0.06257241	0.09427178	1.00856	1.28192	-1.26781	0	-0.0133687	0.347492	0.587465	0	0.0942718	0.0647205	0.1589923	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0
4320	-167.2406	-152.1093	-15.13139	0.115603	0.115609	0.339247	0.339248	0.339252	0.33926	0.115615	0.373927	0.611237	0.598464	0.617946	0.601656	0.812162	0.626189	0.604099	0.814522	0.810006	0.629351	0.607139	0.819116	0.81453	0.810601	1.83384	1.83384	2.05748	2.05748	2.05749	2.0575	0.753869	0.758135	0.981664	0.969495	0.762673	0.986256	0.971578	0.986777	0.970949	1.18345	0.765225	0.98959	0.974802	0.990152	0.974193	1.18737	0.991408	0.973499	1.18677	1.18287	1.37747	1.61906	1.6023	1.62769	1.60653	1.81259	1.63814	1.60974	1.81578	1.80965	1.6421	1.61372	1.82195	1.81579	1.81046	1.13263	1.136	1.13692	1.35765	1.34502	1.13883	1.13979	1.36096	1.34823	1.14096	1.36222	1.34829	1.3615	1.34689	1.56083	1.53464	1.54082	1.76471	1.7465	1.54734	1.77133	1.74958	1.77225	1.74872	1.95537	1.55101	1.77618	1.75435	1.77718	1.75353	1.96123	1.77919	1.75255	1.96039	1.95441	0.975675	0.975731	2.86321	2.86321	2.86325	2.86332	0.975781	0.0269229	0.0269229	0.0269229	0.0269229	0.0269229	0.091464	0.0269229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188993	0.752196	-1.73171	-1.72439	0	0	0	0.0510962	0.0269229	0.0269229	0.0269229	0.0269229	0.0269229	0.091464	0.0269229	0.115603	0.115609	0.339247	0.339248	0.339252	0.33926	0.115615	0.06511721	0.01678732	0.02692288	0.118485	1.96233	1.83737	0	0.127351	0	1.22297	1.07646	0	0.118485	0.0651172	0.1836022	1	1	1	1	0	0	0	1	1	1	0	1	0	1	1	0
4340	-161.9667	-148.6826	-13.28412	0.313882	0.307771	0.238734	0.233483	0.172052	0.0189126	0.235623	0.758235	0.864288	0.690968	1.0029	0.71735	0.548249	1.19715	0.684112	0.499575	0.471508	1.1716	0.57163	0.377141	0.341184	0.25949	9.00063	8.99451	8.92548	8.92023	8.8588	8.70566	1.09547	1.13287	1.07879	0.943032	1.11605	1.06699	0.898271	1.10154	0.888674	0.743948	1.00108	0.958814	0.775307	0.995623	0.764208	0.612745	1.00418	0.69735	0.54715	0.520796	5.34604	5.58877	5.28551	5.82157	5.33835	5.0823	6.15012	5.32792	5.04525	4.99627	6.17811	5.24711	4.95014	4.88686	4.78662	1.37484	1.33989	1.34064	1.26489	1.14009	1.21995	1.22074	1.14561	1.01211	1.16488	1.10278	0.950756	1.11051	0.934172	0.799204	4.36724	4.44016	4.39732	4.15132	4.45877	4.42543	4.12163	4.48447	4.10787	3.89351	4.37249	4.35472	4.02548	4.41686	4.00923	3.78271	4.46356	3.93711	3.71338	3.66714	2.60235	2.55168	1.97931	1.93577	1.42646	0.156801	1.95351	0.000142838	0.000142838	0.000142838	0.000142838	0.000142838	0.000142838	0.000142838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71376	0	-1.88216	0	0	0	-0.511705	-1.47413	0.000142838	0.000142838	0.000142838	0.000142838	0.000142838	0.000142838	0.000142838	0.313882	0.307771	0.238734	0.233483	0.172052	0.0189126	0.235623	0.06447271	0.03055753	0.000142838	0.1206149	0	1.51833	0	0.0228888	0	0	0	-0.826164	0.120615	0.0644727	0.1850877	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1
4360	-168.9719	-153.4368	-15.53506	0.334588	0.326333	0.360206	0.349294	0.228918	0.0337642	0.225834	0.803847	0.83772	0.829465	0.826807	0.818553	0.852426	0.706431	0.698177	0.73205	0.721137	0.511278	0.503023	0.536896	0.525984	0.405608	0.703347	0.695093	0.728966	0.718053	0.597677	0.402524	1.20734	1.19643	1.2303	1.22205	1.07605	1.10992	1.10167	1.09901	1.09076	1.12463	0.880897	0.914771	0.906516	0.903858	0.895603	0.929477	0.783482	0.775228	0.809101	0.798188	1.07297	1.10684	1.09859	1.09593	1.08767	1.12155	0.975552	0.967297	1.00117	0.990258	0.780398	0.772144	0.806017	0.795104	0.674728	1.60745	1.48707	1.47616	1.51003	1.50178	1.29192	1.28101	1.31488	1.30663	1.16063	1.1945	1.18625	1.18359	1.17534	1.20921	1.48399	1.47308	1.50695	1.4987	1.3527	1.38657	1.37832	1.37566	1.36741	1.40128	1.15755	1.19142	1.18317	1.18051	1.17225	1.20613	1.06013	1.05188	1.08575	1.07484	1.40615	1.37146	1.51382	1.46796	0.962061	0.141899	0.949099	0.00448555	0.00440301	0.00339422	0.00331747	0.00242306	0.0005839	0.00334874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.26183	-1.99062	-0.52723	0	-0.709106	0	0.00448555	0.00440301	0.00339422	0.00331747	0.00242306	0.0005839	0.00334874	0.334588	0.326333	0.360206	0.349294	0.228918	0.0337642	0.225834	0.05318036	0.01211173	0.003481378	0.2379453	0	1.47594	-1.75013	0	0	0	0.448735	0	0.237945	0.0531804	0.2911257	0	0	1	1	1	0	1	0	0	1	1	0	0	0	1	0
4380	-167.3073	-150.9106	-16.39675	0.165457	0.159537	0.354286	0.339592	0.189844	0.00560864	0.0959849	0.51597	0.920014	0.714655	1.06763	0.738992	0.806806	1.19424	0.623418	0.673913	0.628868	1.14382	0.487633	0.529295	0.474985	0.298327	7.98569	7.97977	8.17452	8.15982	8.01008	7.82584	1.00464	1.04334	1.25054	1.08688	0.949459	1.16188	0.958685	1.18598	0.937563	1.03412	0.810663	1.0338	0.81291	1.05985	0.790235	0.879243	0.979381	0.632608	0.723943	0.680925	4.64633	5.20219	4.85297	5.44575	4.90797	4.87109	5.69987	4.8182	4.75295	4.68115	5.69739	4.71739	4.64195	4.55402	4.35369	1.41593	1.30104	1.29368	1.47055	1.31871	1.15907	1.15221	1.33034	1.16776	1.00957	1.20183	1.01803	1.19487	0.987619	1.09585	3.97193	4.0528	4.26806	3.97656	4.00071	4.22577	3.86713	4.26997	3.84006	3.84919	3.89394	4.142	3.75417	4.18879	3.72472	3.72081	4.14024	3.55973	3.56071	3.49173	3.9454	3.80425	8.44813	8.09775	4.52692	0.133741	2.28881	0.0113522	0.0113522	0.00846941	0.00846941	0.00846941	0.00527184	0.0113522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53713	0	-1.9607	-0.178979	0	0	-0.975097	-1.8754	0.0113522	0.0113522	0.00846941	0.00846941	0.00846941	0.00527184	0.0113522	0.165457	0.159537	0.354286	0.339592	0.189844	0.00560864	0.0959849	0.09687396	0.05679737	0.01135225	0.04193664	0	1.39497	0	-0.937884	-0.292955	-0.47408	1.28093	-0.88916	0.0419366	0.096874	0.1388106	1	0	1	1	0	0	1	1	0	1	0	1	1	1	1	1
4400	-165.4794	-148.2516	-17.22789	0.285566	0.271528	0.360616	0.339555	0.148605	0.00352322	0.132034	0.638911	0.831789	0.718649	0.895633	0.716386	0.74587	0.8551	0.542166	0.56255	0.52782	0.784909	0.42118	0.435784	0.396408	0.193324	27.5747	27.5606	27.6497	27.6287	27.4377	27.2926	1.05538	1.0594	1.15805	1.06736	0.894772	0.996195	0.886121	0.999158	0.862769	0.907203	0.772081	0.877042	0.758554	0.881369	0.734294	0.775008	0.732263	0.540451	0.58166	0.548184	14.4299	14.721	14.5142	14.8621	14.53	14.5017	14.952	14.3717	14.3259	14.2777	14.9438	14.2735	14.2169	14.1597	13.9447	1.4188	1.24308	1.22594	1.31261	1.22853	1.11686	1.09963	1.18674	1.09777	0.912464	1.00695	0.906929	0.994409	0.87972	0.930349	10.3753	10.4033	10.5111	10.3464	10.2636	10.377	10.1747	10.4018	10.1491	10.1497	10.1619	10.2827	10.0642	10.3101	10.0368	10.0301	10.1982	9.8401	9.83445	9.78872	3.86281	3.67292	4.878	4.59311	2.01015	0.0476581	1.78601	0.0531152	0.0507226	0.0265918	0.0251244	0.0115209	6.1651e-05	0.0257163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69998	1.12555	-0.972568	-0.583383	-1.30843	0	-1.38611	-1.42155	0.0531152	0.0507226	0.0265918	0.0251244	0.0115209	6.1651e-05	0.0257163	0.285566	0.271528	0.360616	0.339555	0.148605	0.00352322	0.132034	0.06730665	0.02352909	0.02831869	0.07392701	1.711	1.70609	-0.568543	0.796428	0	-1.69883	0.969263	0	0.073927	0.0673067	0.1412337	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0
4420	-169.5046	-151.9323	-17.57235	0.181812	0.181422	0.246782	0.246768	0.246643	0.0484601	0.181071	0.367963	0.439652	0.433215	0.444923	0.434334	0.496138	0.454306	0.435223	0.49646	0.495646	0.260909	0.238511	0.299364	0.298264	0.297427	0.974982	0.974592	1.03995	1.03994	1.03981	0.84163	0.619135	0.620727	0.686248	0.681212	0.622244	0.68803	0.681762	0.689233	0.681442	0.74404	0.425493	0.491741	0.484816	0.492977	0.484461	0.546702	0.495208	0.483983	0.546396	0.545579	0.859736	0.937413	0.925259	0.947485	0.927468	0.985822	0.965061	0.929326	0.986584	0.984984	0.775579	0.734005	0.790546	0.788387	0.786852	0.868529	0.869539	0.869549	0.934085	0.929405	0.672852	0.672929	0.737414	0.732344	0.672766	0.737878	0.73219	0.738058	0.73155	0.79438	1.01321	1.01635	1.08197	1.07248	1.01943	1.08556	1.07369	1.08781	1.07307	1.13296	0.824029	0.891089	0.877955	0.893383	0.877263	0.936459	0.897591	0.876434	0.935974	0.934367	2.53697	2.53154	3.44356	3.44337	3.44161	0.676205	2.52663	0.099155	0.0992045	0.0226228	0.0226231	0.0226258	0.0051241	0.0992493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76386	0.305143	-1.60607	0	0	0.449484	0	-1.93171	0.099155	0.0992045	0.0226228	0.0226231	0.0226258	0.0051241	0.0992493	0.181812	0.181422	0.246782	0.246768	0.246643	0.0484601	0.181071	0.00626698	0.01795128	0.1231386	0.07166486	0.616888	0.354084	0	1.66355	-1.47867	-1.48534	0.309586	-1.62634	0.0716649	0.00626698	0.07793184	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1
4440	-164.3188	-153.5857	-10.73312	0.138407	0.138169	0.277652	0.27764	0.277527	0.277337	0.137955	0.279784	0.424208	0.41924	0.428559	0.420084	0.556947	0.436634	0.420752	0.557151	0.556576	0.440687	0.421713	0.557748	0.556949	0.556335	1.46007	1.45983	1.59932	1.5993	1.59919	1.599	0.560593	0.561788	0.701471	0.697669	0.562907	0.702821	0.698057	0.703958	0.697815	0.835302	0.56384	0.704083	0.698799	0.705247	0.698523	0.835713	0.707345	0.698148	0.835468	0.834888	1.01278	1.16206	1.15245	1.17062	1.15414	1.28841	1.18643	1.15558	1.28893	1.28779	1.19441	1.15767	1.2903	1.28872	1.28761	0.840009	0.840737	0.840707	0.979713	0.97621	0.841698	0.841714	0.980649	0.97685	0.841527	0.981009	0.97671	0.981322	0.976234	1.11389	1.09945	1.10184	1.2417	1.23439	1.10416	1.24448	1.23527	1.24671	1.2348	1.3703	1.1062	1.24717	1.23694	1.24945	1.2364	1.37131	1.25362	1.23576	1.37094	1.36979	2.10427	2.10066	4.2213	4.22111	4.21939	4.2165	2.09741	0.0567704	0.0567704	0.0370286	0.0370286	0.0370286	0.0342074	0.0567704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93631	0.177662	-1.21868	-1.49573	0	0	0	-1.54368	0.0567704	0.0567704	0.0370286	0.0370286	0.0370286	0.0342074	0.0567704	0.138407	0.138169	0.277652	0.27764	0.277527	0.277337	0.137955	0.004885944	0.00725388	0.05677039	0.06577413	1.24963	0	0	1.1083	-0.427325	-0.0792467	0.699413	0	0.0657741	0.00488594	0.07066008	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	0
4460	-165.842	-147.1061	-18.73588	0.259408	0.258922	0.258492	0.258479	0.258364	0.0583766	0.258484	0.627268	0.761099	0.632467	0.869773	0.656911	0.578566	1.0607	0.678494	0.588489	0.570491	0.955317	0.50966	0.412517	0.388489	0.372408	15.6977	15.6972	15.6968	15.6968	15.6967	15.4967	0.986118	1.02107	1.02175	0.921793	1.05674	1.06284	0.936658	1.08513	0.929553	0.867801	0.887071	0.904139	0.763896	0.926916	0.756168	0.686891	0.971056	0.74792	0.682703	0.664538	8.58305	8.84502	8.59418	9.05411	8.64227	8.48806	9.41453	8.68471	8.50784	8.47215	9.38985	8.5456	8.35536	8.30784	8.27606	1.30791	1.33317	1.33369	1.31158	1.21854	1.166	1.1682	1.14522	1.04367	1.16738	1.15722	1.04294	1.15812	1.02866	0.971599	6.51092	6.57971	6.58051	6.38466	6.64975	6.66099	6.41421	6.70274	6.40005	6.27813	6.50897	6.54214	6.26807	6.58457	6.25273	6.11604	6.66691	6.23639	6.10783	6.07175	2.25414	2.24992	2.24618	2.24607	2.24507	0.507267	2.24611	0.00122887	0.00120957	0.000726903	0.000713031	0.000547237	0.000406149	0.000960394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66822	0	-1.99438	-0.693204	-0.444039	-0.163233	0	-1.68644	0.00122887	0.00120957	0.000726903	0.000713031	0.000547237	0.000406149	0.000960394	0.259408	0.258922	0.258492	0.258479	0.258364	0.0583766	0.258484	0.1420428	0.02472602	0.0009175744	0.1150808	0.921429	0	-1.31696	0	-0.289914	0.900423	0	-1.48671	0.115081	0.142043	0.2571236	1	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1
4480	-163.9209	-148.2857	-15.63515	0.322528	0.305435	0.215866	0.201864	0.0803594	0.00131446	0.136906	0.720122	0.77911	0.619678	0.898771	0.631169	0.464341	1.03163	0.533032	0.352057	0.32174	1.08569	0.488615	0.296064	0.25901	0.122974	27.9845	27.9674	27.8778	27.8638	27.7423	27.6633	1.01301	1.0334	0.959517	0.834491	0.947592	0.879548	0.726179	0.907468	0.70854	0.561353	0.901783	0.838486	0.671665	0.86904	0.652694	0.498531	0.822898	0.526717	0.373763	0.344291	14.7106	14.9114	14.6162	15.1538	14.6524	14.4101	15.5082	14.5767	14.3069	14.2605	15.6721	14.5654	14.2735	14.2138	14.0635	1.24953	1.14902	1.13846	1.0481	0.932968	1.09825	1.08778	0.997041	0.874146	0.968726	0.891779	0.752538	0.894997	0.729077	0.588942	10.492	10.5457	10.4864	10.2569	10.4941	10.4462	10.1615	10.5122	10.1403	9.93627	10.4797	10.4419	10.1311	10.5126	10.1072	9.88949	10.5329	9.97674	9.76151	9.71671	2.10226	1.99085	1.40703	1.31577	0.523788	0.00856773	0.892366	0.00058896	0.00058896	0.00058896	0.00058896	0.00058896	0.000251085	0.00058896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99435	0	-1.88934	0	0	0	-1.54573	0	0.00058896	0.00058896	0.00058896	0.00058896	0.00058896	0.000251085	0.00058896	0.322528	0.305435	0.215866	0.201864	0.0803594	0.00131446	0.136906	0.05574776	0.01282128	0.0005889602	0.1534196	0.898811	1.26428	-0.793076	1.67628	0	-0.852568	0.415811	0.0590334	0.15342	0.0557478	0.2091673	1	0	1	0	0	0	1	0	1	1	1	1	0	1	1	1
