Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation[12]	speciation[13]	speciation[14]	speciation[15]	speciation[16]	speciation[17]	speciation[18]	speciation[19]	speciation[20]	speciation[21]	speciation[22]	speciation[23]	speciation[24]	speciation[25]	speciation[26]	speciation[27]	speciation[28]	speciation[29]	speciation[30]	speciation[31]	speciation[32]	speciation[33]	speciation[34]	speciation[35]	speciation[36]	speciation[37]	speciation[38]	speciation[39]	speciation[40]	speciation[41]	speciation[42]	speciation[43]	speciation[44]	speciation[45]	speciation[46]	speciation[47]	speciation[48]	speciation[49]	speciation[50]	speciation[51]
330	-1377.56	-1570.82	193.252	0.365161	0.362329	0.353915	0.345898	0.355505	0.372005	0.371128	0.34819	0.339336	0.339021	0.338811	0.33137	0.340277	0.328334	0.324257	0.316121	0.336623	0.347078	0.331584	0.327232	0.319868	0.319854	0.29819	0.296751	0.295421	0.279589	0.267883	0.249291	0.234296	0.226749	0.212383	0.217879	0.225334	0.233161	0.242746	0.249825	0.249509	0.262148	0.259674	0.255833	0.277015	0.306322	0.304054	0.285199	0.287065	0.292033	0.279797	0.281092	0.276671	0.267335	0.276595
340	-1318.67	-1567.85	249.177	0.3126	0.323479	0.333928	0.317833	0.318904	0.316978	0.325084	0.301924	0.295827	0.298922	0.287303	0.290929	0.281414	0.285709	0.27431	0.275102	0.296414	0.305108	0.303436	0.296255	0.286365	0.278024	0.2682	0.255204	0.253846	0.237775	0.216683	0.202409	0.192765	0.190533	0.180957	0.192539	0.184043	0.191566	0.201048	0.199694	0.207717	0.215235	0.218901	0.21769	0.229996	0.257491	0.267033	0.260514	0.246174	0.248035	0.249975	0.241762	0.234832	0.225453	0.236472
350	-1292.71	-1568.43	275.717	0.328734	0.339058	0.33882	0.339953	0.345489	0.361103	0.359706	0.35075	0.332243	0.32536	0.339415	0.350202	0.320371	0.318167	0.320334	0.322706	0.338969	0.3333	0.328775	0.333287	0.338032	0.317555	0.32326	0.310019	0.297191	0.283364	0.270461	0.262114	0.250351	0.243307	0.229335	0.217283	0.239699	0.243067	0.251814	0.245841	0.256696	0.267548	0.273745	0.278161	0.28529	0.296805	0.292956	0.285519	0.297437	0.299128	0.297001	0.291906	0.279766	0.269972	0.264491
360	-1293.97	-1570.13	276.155	0.263149	0.259442	0.261344	0.25252	0.262855	0.266157	0.263297	0.260642	0.259131	0.255892	0.251888	0.251853	0.249789	0.246465	0.242646	0.248487	0.251405	0.246709	0.246339	0.250906	0.250012	0.25519	0.252699	0.240953	0.24061	0.234611	0.232245	0.230145	0.219837	0.215184	0.219576	0.212177	0.211686	0.209316	0.22232	0.225561	0.220697	0.219023	0.221733	0.225079	0.225437	0.229827	0.236461	0.23783	0.236423	0.232284	0.229079	0.230954	0.227582	0.238846	0.234222
370	-1335.48	-1568.45	232.972	0.30985	0.312454	0.312261	0.320437	0.321768	0.323601	0.330792	0.33334	0.322742	0.307412	0.306886	0.304309	0.303991	0.292049	0.282625	0.290672	0.290706	0.293303	0.289611	0.290491	0.279012	0.299455	0.302431	0.290324	0.289874	0.287416	0.276795	0.270899	0.262623	0.254516	0.252436	0.254618	0.255983	0.259864	0.264093	0.265865	0.265888	0.257865	0.258483	0.25591	0.253893	0.259039	0.272474	0.272076	0.268977	0.269215	0.270279	0.2662	0.274489	0.271304	0.266247
380	-1342.66	-1564.27	221.607	0.232493	0.272	0.276975	0.28022	0.255589	0.289381	0.291001	0.258319	0.255623	0.248685	0.20972	0.192819	0.200429	0.194604	0.167679	0.167286	0.160851	0.169467	0.190126	0.192617	0.198604	0.166192	0.183994	0.159472	0.147075	0.136483	0.12808	0.12242	0.117424	0.102423	0.0940841	0.0939092	0.0947963	0.103536	0.111261	0.11298	0.113023	0.0997953	0.101423	0.0946058	0.0804666	0.080136	0.0974162	0.112017	0.100616	0.108719	0.128913	0.136813	0.120841	0.123824	0.147628
390	-1374.11	-1566.43	192.315	0.272362	0.257306	0.266344	0.286213	0.266443	0.266605	0.267361	0.260928	0.254042	0.240347	0.243153	0.244696	0.23185	0.219963	0.211849	0.21778	0.215473	0.214554	0.22576	0.222977	0.221721	0.225585	0.223217	0.219517	0.216406	0.216248	0.198225	0.179155	0.181967	0.176962	0.167327	0.162451	0.171513	0.173822	0.182862	0.182136	0.178118	0.161641	0.161608	0.160336	0.160797	0.16406	0.167106	0.180706	0.174523	0.183308	0.175376	0.172281	0.181624	0.185298	0.179314
400	-1366.57	-1567.01	200.432	0.241682	0.229617	0.287865	0.265651	0.259309	0.23426	0.260781	0.254486	0.240598	0.24837	0.224464	0.197856	0.213412	0.221692	0.207028	0.18189	0.194417	0.198858	0.184867	0.166544	0.159762	0.164958	0.183418	0.179901	0.162556	0.152924	0.153133	0.137756	0.119995	0.114497	0.102832	0.0918051	0.0906018	0.0995249	0.101508	0.0985874	0.094265	0.0840661	0.0886812	0.0876732	0.098263	0.108469	0.0966507	0.100208	0.110285	0.108987	0.104087	0.11021	0.106549	0.103732	0.10643
410	-1282.66	-1566.75	284.089	0.264276	0.260132	0.268365	0.266305	0.253259	0.254284	0.250499	0.256313	0.252522	0.247437	0.245369	0.242892	0.242755	0.230744	0.226129	0.211621	0.204758	0.203173	0.226056	0.226532	0.221123	0.221157	0.215831	0.203476	0.203875	0.192031	0.170211	0.154841	0.148742	0.144958	0.140746	0.132924	0.136176	0.140686	0.137952	0.136326	0.137721	0.140707	0.137403	0.140961	0.141736	0.149528	0.153791	0.159512	0.153118	0.151417	0.147124	0.145621	0.143715	0.142776	0.146215
420	-1379.32	-1568.81	189.493	0.220903	0.220514	0.231067	0.221039	0.214276	0.22695	0.24426	0.228909	0.213489	0.211256	0.221344	0.213012	0.21612	0.204226	0.180479	0.182318	0.18304	0.201932	0.199876	0.201665	0.202117	0.196513	0.196644	0.191766	0.18303	0.180527	0.159263	0.153449	0.144931	0.137406	0.134704	0.137662	0.135215	0.136762	0.138355	0.138143	0.13263	0.131319	0.141295	0.140793	0.149753	0.147688	0.143611	0.137461	0.12979	0.127936	0.131166	0.130744	0.135069	0.137084	0.137045
