Iteration	Posterior	Likelihood	Prior	birth_rate
2280	-1588.74	-1589.24	0.495781	0.1736363
2290	-1587.98	-1588.64	0.660802	0.1648223
2300	-1588.11	-1588.96	0.854649	0.1545041
2310	-1588.27	-1588.85	0.577399	0.1692721
2320	-1587.92	-1588.61	0.69696	0.1628957
2330	-1588.11	-1588.73	0.615841	0.16722
2340	-1587.95	-1588.63	0.672537	0.1641969
2350	-1588.72	-1589.68	0.96483	0.1486426
2360	-1589.93	-1590.29	0.359349	0.1809586
2370	-1588.61	-1589.55	0.949032	0.1494833
2380	-1588.59	-1589.11	0.518211	0.1724359
2390	-1588.11	-1588.73	0.616591	0.16718
2400	-1588.05	-1588.68	0.634707	0.1662136
2410	-1588.1	-1588.72	0.619259	0.1670377
2420	-1588.06	-1588.91	0.842772	0.1551359
2430	-1588.37	-1588.93	0.556692	0.1703783
2440	-1588.1	-1588.95	0.85278	0.1546035
2450	-1588.13	-1588.99	0.861269	0.154152
2460	-1588.49	-1589.42	0.930999	0.1504428
2470	-1587.91	-1588.61	0.700971	0.162682
2480	-1588.35	-1588.91	0.561658	0.170113
2490	-1588.5	-1589.43	0.932614	0.1503569
2500	-1587.94	-1588.62	0.682796	0.1636503
2510	-1588.44	-1588.98	0.544565	0.1710265
2520	-1588.19	-1589.06	0.874876	0.1534283
2530	-1588.65	-1589.16	0.509492	0.1729024
2540	-1587.96	-1588.63	0.668658	0.1644036
2550	-1592.39	-1593.64	1.24943	0.1334319
2560	-1587.9	-1588.66	0.762725	0.1593944
2570	-1587.91	-1588.69	0.775834	0.1586968
2580	-1587.89	-1588.62	0.72994	0.1611394
2590	-1587.9	-1588.62	0.719238	0.1617092
2600	-1587.93	-1588.71	0.78498	0.1582102
2610	-1587.92	-1588.61	0.691507	0.1631862
2620	-1587.91	-1588.61	0.706271	0.1623998
2630	-1588.33	-1589.23	0.903466	0.1519076
2640	-1588.4	-1588.95	0.550671	0.1707002
2650	-1588.78	-1589.27	0.489685	0.1739627
2660	-1587.9	-1588.65	0.751989	0.1599657
2670	-1588.12	-1588.73	0.61378	0.16733
2680	-1589.48	-1589.88	0.405131	0.1784973
2690	-1588.66	-1589.61	0.956261	0.1490986
2700	-1589.82	-1590.9	1.07982	0.1425155
2710	-1588.01	-1588.84	0.825595	0.1560495
2720	-1588.07	-1588.7	0.628746	0.1665316
2730	-1587.94	-1588.62	0.679442	0.163829
2740	-1587.9	-1588.66	0.761485	0.1594604
2750	-1587.92	-1588.61	0.693283	0.1630915
2760	-1587.89	-1588.63	0.735068	0.1608664
2770	-1587.91	-1588.67	0.767252	0.1591535
2780	-1588.22	-1588.81	0.588294	0.1686903
2790	-1588.07	-1588.69	0.629362	0.1664987
2800	-1588.88	-1589.36	0.475874	0.1747025
2810	-1588.14	-1589.01	0.864577	0.153976
2820	-1588.3	-1589.2	0.898256	0.1521847
2830	-1588.27	-1588.84	0.578193	0.1692297
2840	-1587.89	-1588.63	0.740828	0.1605598
2850	-1589.07	-1590.08	1.00766	0.1463622
2860	-1588.52	-1589.05	0.5298	0.171816
2870	-1587.93	-1588.71	0.783863	0.1582696
2880	-1589.26	-1589.69	0.429277	0.177201
2890	-1589.89	-1590.98	1.08625	0.1421721
2900	-1587.95	-1588.62	0.676144	0.1640047
2910	-1587.93	-1588.72	0.788562	0.1580195
2920	-1587.96	-1588.63	0.671906	0.1642305
2930	-1587.95	-1588.75	0.799159	0.1574558
2940	-1588.98	-1589.97	0.997049	0.1469273
2950	-1587.92	-1588.61	0.692889	0.1631126
2960	-1587.9	-1588.66	0.76212	0.1594266
2970	-1588.36	-1588.92	0.558853	0.1702629
2980	-1588.09	-1588.93	0.848815	0.1548144
2990	-1587.9	-1588.65	0.756107	0.1597466
3000	-1588.34	-1589.25	0.906023	0.1517715
3010	-1587.95	-1588.63	0.673209	0.1641611
3020	-1588.02	-1588.84	0.826966	0.1559766
3030	-1588.03	-1588.86	0.831284	0.1557469
3040	-1587.94	-1588.74	0.794227	0.1577182
3050	-1590.25	-1591.36	1.11435	0.1406716
3060	-1589.62	-1590.69	1.06271	0.1434282
3070	-1588.56	-1589.08	0.523849	0.1721343
3080	-1588.03	-1588.86	0.830456	0.1557909
3090	-1587.89	-1588.63	0.733839	0.1609318
3100	-1587.89	-1588.62	0.723767	0.1614681
3110	-1587.96	-1588.76	0.803939	0.1572015
3120	-1588.01	-1588.84	0.82547	0.1560562
3130	-1588.15	-1588.76	0.605241	0.1677857
3140	-1588.25	-1589.14	0.888844	0.1526854
3150	-1587.99	-1588.65	0.655545	0.1651025
3160	-1588.08	-1588.7	0.625829	0.1666872
3170	-1587.89	-1588.62	0.72338	0.1614887
3180	-1588.42	-1589.34	0.9202	0.1510173
3190	-1587.9	-1588.65	0.756972	0.1597006
3200	-1589.33	-1589.75	0.421309	0.1776286
3210	-1587.89	-1588.63	0.741177	0.1605413
3220	-1587.91	-1588.68	0.770076	0.1590032
3230	-1587.99	-1588.81	0.818984	0.1564011
3240	-1588.49	-1589.02	0.535474	0.1715126
3250	-1588.4	-1589.32	0.917334	0.1511698
3260	-1587.96	-1588.63	0.668804	0.1643958
3270	-1587.92	-1588.61	0.697044	0.1628912
3280	-1587.95	-1588.74	0.797106	0.157565
3290	-1588.44	-1589.36	0.923148	0.1508605
3300	-1588.89	-1589.88	0.986793	0.1474734
