Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
300	-1547	-1570.11	23.1091	0.217092	0.198228	0.193211	0.19327	0.184278	0.197159	0.20484	0.212237	0.190722	0.195289	0.181046	-1.52743	-1.61834	-1.64397	-1.64367	-1.69131	-1.62374	-1.58552	-1.55005	-1.65694	-1.63327	-1.709	-1.1471	-1.19081	-1.22353	-1.28516	-1.31263	-1.40193	-1.41217	-1.38469	-1.32504	-1.30177	-1.2186	0.317558	0.303976	0.294191	0.276606	0.26911	0.246121	0.243615	0.250403	0.265791	0.272051	0.295643
310	-1549.01	-1567.2	18.1876	0.140681	0.14195	0.142223	0.13349	0.138112	0.144556	0.150338	0.143001	0.147299	0.129949	0.128522	-1.96126	-1.95228	-1.95036	-2.01373	-1.97969	-1.93409	-1.89487	-1.9449	-1.91529	-2.04061	-2.05166	-1.28885	-1.40635	-1.40274	-1.53153	-1.68325	-1.76815	-1.69633	-1.65144	-1.63282	-1.61508	-1.5836	0.275587	0.245035	0.245922	0.216205	0.185769	0.170649	0.183355	0.191773	0.195379	0.198874	0.205235
320	-1546.1	-1567.34	21.2415	0.122314	0.137582	0.142091	0.144204	0.143372	0.148036	0.152391	0.164031	0.160157	0.166278	0.148525	-2.10116	-1.98354	-1.95129	-1.93653	-1.94231	-1.9103	-1.8813	-1.8077	-1.8316	-1.79409	-1.907	-1.36341	-1.43301	-1.50712	-1.57816	-1.64947	-1.64349	-1.51218	-1.49652	-1.51585	-1.51152	-1.48076	0.255786	0.23859	0.221548	0.206355	0.192152	0.193304	0.220429	0.223909	0.219622	0.220574	0.227465
330	-1547.54	-1568.33	20.7855	0.184366	0.177382	0.176331	0.183793	0.19911	0.187369	0.187553	0.19862	0.217154	0.220238	0.231854	-1.69083	-1.72945	-1.73539	-1.69395	-1.6139	-1.67467	-1.67369	-1.61636	-1.52715	-1.51305	-1.46165	-1.18877	-1.31777	-1.32289	-1.42482	-1.49079	-1.46942	-1.43323	-1.39083	-1.50522	-1.45297	-1.41567	0.304597	0.267732	0.266363	0.240551	0.225194	0.230058	0.238537	0.248869	0.221968	0.233874	0.242762
340	-1544.34	-1569.94	25.6079	0.18541	0.19234	0.188803	0.20158	0.207587	0.203302	0.192146	0.208215	0.207731	0.215255	0.223368	-1.68519	-1.64849	-1.66705	-1.60157	-1.57221	-1.59306	-1.6495	-1.56918	-1.57151	-1.53593	-1.49894	-1.25342	-1.3057	-1.26034	-1.28987	-1.24374	-1.29592	-1.40822	-1.40475	-1.44522	-1.46607	-1.5057	0.285527	0.270982	0.283559	0.275306	0.288305	0.273646	0.244578	0.245429	0.235695	0.230831	0.221861
350	-1548.3	-1569.1	20.7984	0.0918227	0.0995675	0.101492	0.106288	0.113055	0.116597	0.116033	0.122952	0.123418	0.132893	0.138685	-2.3879	-2.30692	-2.28777	-2.2416	-2.17988	-2.14903	-2.15388	-2.09596	-2.09218	-2.01821	-1.97555	-1.46072	-1.47078	-1.56467	-1.71263	-1.64821	-1.72141	-1.68725	-1.5961	-1.60223	-1.61574	-1.68655	0.232068	0.229747	0.209157	0.180391	0.192394	0.178815	0.185027	0.202685	0.201447	0.198743	0.185158
360	-1552.63	-1569.12	16.4978	0.18132	0.196076	0.192734	0.222991	0.22462	0.239114	0.280634	0.247024	0.238323	0.232873	0.218478	-1.70749	-1.62925	-1.64645	-1.50062	-1.49335	-1.43082	-1.27071	-1.39827	-1.43413	-1.45726	-1.52107	-1.17534	-1.19399	-1.1849	-1.25982	-1.1939	-1.20023	-1.31914	-1.3316	-1.32212	-1.25958	-1.22742	0.308713	0.303009	0.305778	0.283704	0.303037	0.301125	0.267366	0.264054	0.266571	0.283773	0.293048
370	-1552.98	-1568.04	15.0573	0.106077	0.105049	0.113164	0.119158	0.140656	0.145061	0.147923	0.151744	0.157338	0.152566	0.168459	-2.24359	-2.25332	-2.17892	-2.12731	-1.96144	-1.9306	-1.91107	-1.88556	-1.84936	-1.88015	-1.78106	-1.45466	-1.4975	-1.60975	-1.58658	-1.61595	-1.70438	-1.65279	-1.62747	-1.79131	-1.77017	-1.6476	0.23348	0.223688	0.199937	0.204625	0.198702	0.181884	0.191515	0.196425	0.166741	0.170304	0.192512
380	-1548.98	-1569.27	20.294	0.180392	0.182194	0.189171	0.189784	0.181988	0.188337	0.199513	0.212826	0.202525	0.196692	0.19045	-1.71263	-1.70268	-1.66511	-1.66187	-1.70381	-1.66952	-1.61188	-1.54728	-1.59689	-1.62612	-1.65836	-1.24962	-1.30379	-1.40572	-1.32275	-1.33842	-1.34608	-1.3929	-1.41934	-1.51351	-1.64775	-1.77583	0.286614	0.2715	0.245189	0.266402	0.26226	0.260258	0.248353	0.241874	0.220136	0.192482	0.169342
390	-1544.99	-1568.65	23.6606	0.193173	0.201262	0.18749	0.21214	0.224955	0.235772	0.253585	0.248874	0.226635	0.229438	0.236563	-1.64417	-1.60315	-1.67403	-1.55051	-1.49186	-1.44489	-1.37206	-1.39081	-1.48441	-1.47212	-1.44154	-1.14083	-1.1989	-1.2302	-1.22306	-1.31477	-1.3484	-1.3254	-1.29142	-1.32062	-1.32471	-1.31211	0.319555	0.301524	0.292235	0.294328	0.268535	0.259655	0.265696	0.27488	0.26697	0.265881	0.269252
