Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
179	0	-1570.7	-1572.63	1.92566	0.3271595	0.23615	0.09100959	0.23615
180	0	-1572.18	-1574.41	2.22746	0.2882463	0.2370894	0.05115692	0.2370894
181	0	-1570.06	-1572.57	2.50925	0.2597484	0.1732409	0.08650748	0.1732409
182	0	-1571.3	-1573.38	2.07822	0.2912883	0.1834015	0.1078867	0.1834015
183	0	-1569.7	-1572.06	2.35687	0.2772208	0.1908524	0.08636839	0.1908524
184	0	-1573.53	-1575.15	1.62113	0.3481939	0.3065725	0.04162148	0.3065725
185	0	-1570.99	-1573.52	2.52731	0.2466353	0.1430977	0.1035376	0.1430977
186	0	-1570.47	-1572.41	1.94354	0.328795	0.2419993	0.0867957	0.2419993
187	0	-1571.58	-1574.35	2.77473	0.2319762	0.1464491	0.08552715	0.1464491
188	0	-1573.19	-1574.8	1.60635	0.365751	0.3200693	0.04568172	0.3200693
189	0	-1570.25	-1572.42	2.16514	0.2909276	0.1933341	0.09759353	0.1933341
190	0	-1570.27	-1572.24	1.96043	0.3327862	0.2538094	0.07897683	0.2538094
191	0	-1571.72	-1573.46	1.73956	0.3573429	0.2707389	0.08660405	0.2707389
192	0	-1571.5	-1574.26	2.76364	0.2335634	0.1491338	0.08442958	0.1491338
193	0	-1570.41	-1572.52	2.10222	0.2980299	0.2000121	0.09801784	0.2000121
194	0	-1572.3	-1573.95	1.65245	0.378307	0.3001914	0.07811564	0.3001914
195	0	-1572.27	-1574.48	2.20954	0.2676157	0.1495101	0.1181056	0.1495101
196	0	-1570.17	-1572.55	2.38508	0.2665242	0.1697104	0.09681386	0.1697104
197	0	-1570.33	-1572.91	2.57728	0.2536248	0.1697498	0.08387497	0.1697498
198	0	-1569.91	-1571.99	2.08008	0.3193187	0.2457447	0.073574	0.2457447
199	0	-1570.83	-1573.4	2.56692	0.2453353	0.1457662	0.09956904	0.1457662
200	0	-1570.75	-1572.7	1.94725	0.3210744	0.2268305	0.09424388	0.2268305
201	0	-1569.93	-1572.24	2.30455	0.277877	0.184045	0.09383203	0.184045
202	0	-1570.78	-1573.39	2.6163	0.2432908	0.1484042	0.09488667	0.1484042
203	0	-1570.01	-1572.04	2.02914	0.324864	0.2483509	0.07651313	0.2483509
204	0	-1569.97	-1572.11	2.13974	0.2994194	0.2079587	0.09146066	0.2079587
205	0	-1570.42	-1572.43	2.017	0.3292787	0.2648357	0.06444305	0.2648357
206	0	-1570.28	-1572.64	2.3638	0.2672167	0.1682775	0.09893929	0.1682775
207	0	-1570.58	-1572.74	2.1678	0.2865719	0.1845402	0.1020318	0.1845402
208	0	-1570.4	-1572.34	1.94493	0.3386361	0.2664468	0.07218931	0.2664468
209	0	-1571.09	-1573.24	2.14792	0.2838972	0.1765471	0.1073501	0.1765471
210	0	-1570.71	-1572.64	1.93393	0.3250061	0.2329321	0.09207408	0.2329321
211	0	-1569.69	-1572.03	2.33713	0.2790841	0.192036	0.08704807	0.192036
212	0	-1569.8	-1572.11	2.31612	0.288761	0.2160174	0.07274361	0.2160174
213	0	-1571.11	-1572.92	1.81137	0.3525082	0.2717759	0.08073232	0.2717759
214	0	-1570.21	-1572.44	2.23682	0.2820615	0.1838719	0.09818959	0.1838719
215	0	-1569.84	-1571.92	2.08314	0.3160506	0.2368949	0.07915571	0.2368949
216	0	-1569.64	-1571.96	2.31697	0.2867118	0.2085891	0.0781227	0.2085891
217	0	-1569.83	-1572.27	2.43389	0.2685647	0.1826055	0.08595922	0.1826055
218	0	-1569.7	-1571.85	2.14731	0.3081867	0.2300123	0.07817435	0.2300123
219	0	-1569.84	-1571.93	2.09252	0.311956	0.2286061	0.0833498	0.2286061
220	0	-1569.7	-1571.86	2.15387	0.3042757	0.2212214	0.08305429	0.2212214
221	0	-1571.28	-1573.26	1.97252	0.328802	0.2742893	0.05451271	0.2742893
222	0	-1571.67	-1573.8	2.13441	0.2806473	0.1682091	0.1124382	0.1682091
223	0	-1569.84	-1571.99	2.14939	0.310665	0.2391606	0.07150439	0.2391606
224	0	-1570.44	-1572.7	2.2635	0.2951349	0.2324346	0.06270026	0.2324346
225	0	-1569.93	-1572.34	2.40978	0.2678023	0.1764934	0.0913089	0.1764934
226	0	-1570.15	-1572.35	2.19307	0.2884357	0.1917362	0.09669953	0.1917362
227	0	-1579.74	-1580.8	1.0542	0.478299	0.3993449	0.0789541	0.3993449
228	0	-1569.76	-1572.04	2.27204	0.2845674	0.1944727	0.09009466	0.1944727
229	0	-1570.67	-1572.61	1.93406	0.3412407	0.2765717	0.06466898	0.2765717
230	0	-1570.2	-1572.5	2.30446	0.2743046	0.1760112	0.09829336	0.1760112
231	0	-1570.59	-1573.21	2.61894	0.2463549	0.1571673	0.08918763	0.1571673
232	0	-1570.59	-1573.2	2.60776	0.2525247	0.1741379	0.07838678	0.1741379
233	0	-1572.8	-1575.53	2.72574	0.2398315	0.1750633	0.06476822	0.1750633
234	0	-1570.2	-1572.75	2.54715	0.2578744	0.1759142	0.08196016	0.1759142
235	0	-1573.58	-1576.31	2.73032	0.2178914	0.09865031	0.1192411	0.09865031
236	0	-1571.55	-1573.31	1.7611	0.3672115	0.3014583	0.06575321	0.3014583
237	0	-1570.87	-1573.13	2.2566	0.2939152	0.2349857	0.05892941	0.2349857
238	0	-1569.65	-1571.84	2.19379	0.2989117	0.2153996	0.08351213	0.2153996
239	0	-1571.28	-1573.56	2.27462	0.2894331	0.2328926	0.05654056	0.2328926
240	0	-1571.25	-1573.52	2.26584	0.268598	0.1585257	0.1100723	0.1585257
241	0	-1571.24	-1573.53	2.28897	0.2881113	0.2310048	0.0571065	0.2310048
242	0	-1569.89	-1572.27	2.3813	0.2709061	0.1794459	0.09146017	0.1794459
243	0	-1570.55	-1572.68	2.13356	0.3115203	0.2510277	0.06049266	0.2510277
244	0	-1573.17	-1575.46	2.28512	0.2758008	0.2271225	0.04867835	0.2271225
245	0	-1569.82	-1572.24	2.41283	0.2754093	0.1980625	0.07734681	0.1980625
