Iteration	Posterior	Likelihood	Prior	birth_rate
3550	-1589.86	-1590.22	0.366149	0.1805927
3560	-1597.92	-1599.4	1.47521	0.1211595
3570	-1642.19	-1644.34	2.14834	0.07923027
3580	-1684.26	-1686.56	2.3059	0.05996259
3590	-1604.19	-1605.84	1.64785	0.1115093
3600	-1633.71	-1635.79	2.07974	0.08451279
3610	-1642.19	-1644.34	2.14832	0.07923177
3620	-1802.43	-1804.26	1.82847	0.0318557
3630	-1876.54	-1877.6	1.05866	0.02238739
3640	-1966.01	-1965.74	-0.275657	0.01490984
3650	-1899.53	-1900.28	0.756881	0.02013594
3660	-1734	-1736.23	2.23589	0.04520175
3670	-1703.95	-1706.26	2.30516	0.05339258
3680	-1587.92	-1588.7	0.778865	0.1585355
3690	-1656.92	-1659.15	2.23343	0.07140824
3700	-1609.02	-1610.77	1.75063	0.1055779
3710	-1680.64	-1682.94	2.30163	0.06130029
3720	-1588.56	-1589.5	0.942421	0.1498351
3730	-1589.9	-1590.99	1.08677	0.1421445
3740	-1599.38	-1600.9	1.5207	0.1186457
3750	-1595.95	-1597.35	1.40629	0.1249369
3760	-1616.44	-1618.32	1.87688	0.09799223
3770	-1644.15	-1646.31	2.16192	0.07810343
3780	-1743.8	-1745.99	2.19761	0.0429015
3790	-1791.18	-1793.1	1.91678	0.03367397
3800	-1631.75	-1633.82	2.06145	0.08583407
3810	-1650.81	-1653.01	2.20276	0.07447664
3820	-1643.52	-1645.68	2.15768	0.07845912
3830	-1614.9	-1616.75	1.85317	0.09944957
3840	-1613.15	-1614.98	1.82482	0.1011698
3850	-1596.84	-1598.28	1.43881	0.123159
3860	-1676.62	-1678.91	2.29512	0.06284472
3870	-1590.56	-1591.7	1.13775	0.1394212
3880	-1594.94	-1596.3	1.36678	0.1270884
3890	-1620.04	-1619.16	-0.884072	0.2503021
3900	-1635.03	-1637.12	2.09148	0.08364785
3910	-1727.25	-1729.51	2.25795	0.04688257
3920	-1629.07	-1631.11	2.03472	0.08771593
3930	-1626.94	-1628.95	2.01193	0.08927936
3940	-1588.84	-1589.82	0.980957	0.1477841
3950	-1587.97	-1588.64	0.663886	0.164658
3960	-1651.58	-1653.79	2.20701	0.07407313
3970	-1592.69	-1593.96	1.26491	0.1325985
3980	-1588.17	-1588.77	0.600946	0.1680149
3990	-1588.87	-1589.35	0.477489	0.174616
4000	-1621.29	-1623.24	1.94454	0.09372819
4010	-1692.26	-1694.57	2.31033	0.05715653
4020	-1684.94	-1687.24	2.30655	0.05971552
4030	-1630.42	-1632.47	2.04842	0.08675814
4040	-1594.72	-1594.75	0.0275359	0.1989522
4050	-1588.72	-1589.68	0.964772	0.1486457
4060	-1646.05	-1648.23	2.17445	0.07703295
4070	-1874.09	-1875.18	1.08908	0.02264324
4080	-1769.74	-1771.8	2.0627	0.03750466
4090	-1619.71	-1621.63	1.92348	0.09507439
4100	-1646.21	-1648.38	2.17544	0.07694671
4110	-1676.99	-1679.28	2.2958	0.06269999
4120	-1705.18	-1707.49	2.30386	0.05301782
4130	-1705.84	-1708.14	2.30311	0.05282018
4140	-1637.29	-1639.4	2.11071	0.08219984
4150	-1658.17	-1660.41	2.23898	0.07080679
4160	-1592.29	-1592.47	0.173483	0.1910014
4170	-1602.64	-1602.31	-0.329119	0.2186678
4180	-1594.56	-1594.6	0.0365852	0.1984574
4190	-1592.07	-1593.3	1.2316	0.1343906
4200	-1609.74	-1611.51	1.76436	0.1047713
4210	-1709.41	-1711.7	2.29834	0.0517602
4220	-1650.32	-1648.73	-1.58999	0.2925209
4230	-1603.04	-1604.66	1.62012	0.113082
4240	-1611.86	-1613.66	1.80276	0.1024942
4250	-1622.84	-1624.8	1.9641	0.0924606
4260	-1690.47	-1692.78	2.30992	0.05776651
4270	-1675.32	-1677.61	2.29261	0.06335578
4280	-1635.1	-1637.19	2.0921	0.08360194
4290	-1594.41	-1595.75	1.34473	0.1282854
4300	-1618.83	-1620.75	1.91149	0.09583289
4310	-1636.95	-1639.06	2.10788	0.08241596
4320	-1596.13	-1597.54	1.41314	0.1245632
4330	-1640.52	-1642.65	2.13607	0.08022049
4340	-1777.51	-1779.52	2.0133	0.0360573
4350	-1632.53	-1634.6	2.06886	0.08530231
4360	-1592.39	-1593.64	1.24916	0.1334465
4370	-1588.26	-1589.15	0.89024	0.1526111
4380	-1634.31	-1636.39	2.0851	0.08411942
4390	-1688.76	-1691.07	2.30923	0.05835691
4400	-1787.57	-1789.52	1.94341	0.0342834
4410	-1635.55	-1637.64	2.096	0.08331154
4420	-1604.36	-1603.96	-0.393801	0.2222917
4430	-1590.87	-1592.03	1.15887	0.1382912
4440	-1593.6	-1594.91	1.30915	0.1302118
4450	-1588.11	-1588.72	0.617378	0.167138
4460	-1646	-1648.17	2.1741	0.07706374
4470	-1595.51	-1596.9	1.3897	0.1258416
4480	-1594.18	-1595.51	1.33483	0.1288223
4490	-1609.65	-1611.42	1.76269	0.1048697
4500	-1669.67	-1671.95	2.27927	0.06566215
4510	-1743.65	-1745.85	2.19824	0.04293504
4520	-1767.88	-1769.95	2.07392	0.03786153
4530	-1808.69	-1810.46	1.77599	0.03089608
4540	-1751.97	-1754.13	2.16025	0.04110004
4550	-1811.57	-1813.32	1.75097	0.03046497
4560	-1605.68	-1607.37	1.6818	0.109569
4570	-1588.21	-1589.09	0.880595	0.1531241
4580	-1617.74	-1619.64	1.89599	0.09680486
4590	-1685.1	-1687.41	2.30669	0.0596575
4600	-1654.83	-1657.06	2.22366	0.07242872
4610	-1591.07	-1592.24	1.17227	0.1375734
4620	-1616.27	-1618.14	1.87422	0.09815655
4630	-1632.91	-1631.7	-1.20937	0.2694637
4640	-1594.49	-1594.53	0.0401714	0.1982614
4650	-1689.64	-1691.95	2.30962	0.05805161
4660	-1612.84	-1614.66	1.81961	0.1014837
4670	-1714.55	-1716.84	2.28947	0.05028482
4680	-1599.23	-1600.74	1.51615	0.1188978
4690	-1589.21	-1590.23	1.02242	0.145576
4700	-1596.87	-1598.31	1.43957	0.1231173
4710	-1620.23	-1622.16	1.93056	0.09462371
4720	-1647.01	-1649.19	2.1805	0.0765041
4730	-1589.02	-1590.03	1.00233	0.1466461
4740	-1621.38	-1623.33	1.94568	0.09365508
4750	-1595.37	-1596.76	1.38433	0.1261338
4760	-1596.78	-1598.22	1.43663	0.1232784
4770	-1637.55	-1639.67	2.11286	0.08203501
4780	-1612.92	-1612.24	-0.678854	0.2384563
4790	-1702.86	-1700.34	-2.51755	0.3518558
4800	-1706.27	-1703.7	-2.57033	0.355374
4810	-1588.13	-1588.74	0.610519	0.167504
4820	-1603.59	-1605.22	1.63347	0.1123261
4830	-1612.88	-1614.7	1.82027	0.1014442
4840	-1622.22	-1624.17	1.95634	0.0929658
4850	-1738.97	-1741.19	2.21737	0.04401466
4860	-1925.53	-1925.91	0.381057	0.01788643
4870	-1936.39	-1936.6	0.213358	0.01702938
4880	-1715.6	-1717.89	2.28738	0.04999015
4890	-1718.73	-1721.01	2.28058	0.04912767
4900	-1783.68	-1785.65	1.9712	0.03495608
4910	-1629.07	-1631.1	2.03467	0.08771916
4920	-1665.93	-1668.19	2.26817	0.06726628
4930	-1766.61	-1768.69	2.08146	0.03810805
4940	-1752.69	-1754.85	2.15671	0.04094516
4950	-1699.78	-1702.09	2.30852	0.05469139
4960	-1686.15	-1688.46	2.30757	0.05927865
4970	-1770.14	-1772.2	2.06024	0.03742788
4980	-1759.45	-1761.58	2.12182	0.0395338
4990	-1727.52	-1729.78	2.25712	0.04681239
5000	-1810.23	-1811.99	1.7627	0.03066499
5010	-1622.24	-1624.2	1.95667	0.09294416
5020	-1648.54	-1650.73	2.18976	0.07567714
5030	-1599.46	-1600.99	1.52329	0.1185022
5040	-1588.6	-1589.55	0.948166	0.1495294
5050	-1623.32	-1622.35	-0.971801	0.2554222
5060	-1593.5	-1593.59	0.0975575	0.1951299
5070	-1637.73	-1636.41	-1.32051	0.2761231
5080	-1590.66	-1590.95	0.294588	0.1844482
5090	-1711.64	-1713.93	2.29478	0.05111233
5100	-1889.11	-1890	0.897258	0.02112366
5110	-1860.82	-1862.07	1.24828	0.02408966
5120	-1733.35	-1735.59	2.23816	0.0453595
5130	-1763.52	-1765.62	2.09932	0.03871564
5140	-1588.8	-1589.77	0.974982	0.1481022
5150	-1588.78	-1589.27	0.489732	0.1739602
5160	-1614.06	-1615.9	1.83977	0.1002652
5170	-1596.69	-1598.12	1.4333	0.1234605
5180	-1601.23	-1600.95	-0.273572	0.2155682
5190	-1628.23	-1627.13	-1.09652	0.2627611
5200	-1604.43	-1606.08	1.65343	0.1111914
5210	-1696.32	-1698.63	2.31004	0.05580604
5220	-1646.77	-1648.95	2.17902	0.07663448
5230	-1844.22	-1845.66	1.43338	0.02604829
5240	-1905.86	-1906.53	0.668685	0.01956068
5250	-1914.52	-1915.06	0.544613	0.01880333
5260	-1805.51	-1807.32	1.80292	0.03137858
5270	-1667.09	-1669.36	2.27182	0.06676118
5280	-1682.38	-1684.69	2.30387	0.06065023
5290	-1624.47	-1626.46	1.98384	0.09116251
5300	-1689.37	-1691.68	2.30951	0.05814417
5310	-1632.95	-1635.02	2.07271	0.08502419
5320	-1643.28	-1645.44	2.156	0.07859836
5330	-1636.08	-1638.18	2.10058	0.08296765
