Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
353	1	-1587.892	-1588.636	0.7435776	0.1604135
354	0	-1587.979	-1588.64	0.6611708	0.1648027
355	1	-1588.015	-1588.841	0.8264387	0.1560046
356	0	-1587.909	-1588.613	0.7035388	0.1625453
357	1	-1588.776	-1589.749	0.9723879	0.1482403
358	0	-1588.11	-1588.965	0.8555596	0.1544557
359	1	-1588.029	-1588.861	0.8315289	0.1557339
360	0	-1587.944	-1588.739	0.7954353	0.1576539
361	1	-1590.767	-1591.919	1.15196	0.138661
362	0	-1588.066	-1588.695	0.629222	0.1665062
363	1	-1588.544	-1589.484	0.9398928	0.1499696
364	0	-1587.894	-1588.642	0.7484742	0.1601528
365	1	-1588.12	-1588.978	0.8581942	0.1543156
366	0	-1588.895	-1589.882	0.9872001	0.1474517
367	1	-1587.997	-1588.816	0.8196514	0.1563657
368	0	-1588.176	-1589.048	0.8721057	0.1535756
369	1	-1587.893	-1588.639	0.7458263	0.1602938
370	0	-1589.009	-1590.009	1.000616	0.1467374
371	1	-1587.923	-1588.615	0.6918402	0.1631684
372	0	-1587.964	-1588.77	0.8056661	0.1571096
373	1	-1588.102	-1588.72	0.6185519	0.1670754
374	0	-1588.53	-1589.467	0.9377236	0.150085
375	1	-1590.304	-1590.629	0.3246197	0.1828287
376	0	-1588.725	-1589.223	0.4981646	0.1735087
377	1	-1588.165	-1589.034	0.8694064	0.1537192
378	0	-1588.17	-1588.77	0.6004986	0.1680388
379	1	-1589.141	-1590.157	1.015348	0.1459527
380	0	-1588.116	-1588.73	0.6146747	0.1672823
381	1	-1587.935	-1588.725	0.7901231	0.1579365
382	0	-1587.985	-1588.644	0.6583309	0.1649541
383	1	-1587.986	-1588.644	0.6581518	0.1649636
384	0	-1587.958	-1588.629	0.671101	0.1642734
385	1	-1588.528	-1589.057	0.5289516	0.1718614
386	0	-1587.893	-1588.62	0.7270749	0.161292
387	1	-1587.894	-1588.645	0.750282	0.1600566
388	0	-1587.994	-1588.812	0.818415	0.1564314
389	1	-1587.99	-1588.646	0.6564606	0.1650538
390	0	-1588.385	-1588.939	0.5542472	0.170509
391	1	-1588.281	-1588.856	0.5750835	0.1693958
392	0	-1588.571	-1589.093	0.5218382	0.1722419
393	1	-1587.978	-1588.64	0.661383	0.1647914
394	0	-1588.516	-1589.452	0.9356571	0.150195
395	1	-1587.892	-1588.624	0.731991	0.1610303
396	0	-1587.893	-1588.623	0.729958	0.1611385
397	1	-1588.758	-1589.251	0.4934476	0.1737613
398	0	-1587.897	-1588.616	0.7182826	0.1617601
399	1	-1587.983	-1588.642	0.6592107	0.1649072
400	0	-1593.215	-1594.506	1.290851	0.1311999
401	1	-1587.897	-1588.654	0.7566843	0.1597158
402	0	-1588.043	-1588.68	0.6367418	0.1661051
403	1	-1588.797	-1589.772	0.9750919	0.1480963
404	0	-1587.926	-1588.616	0.6893431	0.1633015
