Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]	interval_times[10]
1020	-1551.8	-1570.83	19.0328	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1030	-1545.47	-1567.74	22.2689	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1040	-1551.98	-1571.08	19.1009	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1050	-1550.91	-1568.29	17.3804	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1060	-1545.98	-1571.72	25.7383	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1070	-1554.59	-1577.28	22.6852	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1080	-1554.66	-1571.71	17.0495	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1090	-1557.8	-1568.87	11.0678	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1100	-1549.81	-1569.59	19.7894	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1110	-1547.2	-1568.12	20.9259	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1120	-1548.39	-1568.84	20.4494	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1130	-1546.75	-1566.63	19.8752	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1140	-1545.02	-1567.93	22.9131	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1150	-1548.24	-1570.76	22.5183	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1160	-1548.18	-1569.43	21.2434	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1170	-1546.34	-1571.62	25.283	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1180	-1547.57	-1569.74	22.1623	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1190	-1546.33	-1570.39	24.0618	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1200	-1552.23	-1569.5	17.2683	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1210	-1550.38	-1569.51	19.1278	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1220	-1546.29	-1569.98	23.6951	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1230	-1547.93	-1570.48	22.555	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1240	-1549.89	-1571.28	21.3927	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1250	-1550.59	-1570.53	19.9354	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1260	-1551.66	-1570.28	18.6249	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1270	-1559.61	-1575.01	15.402	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1280	-1547.34	-1568.21	20.8658	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1290	-1543.6	-1568.42	24.8212	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1300	-1544.2	-1568.52	24.3217	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1310	-1547.99	-1568.87	20.8834	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1320	-1545.84	-1571.23	25.3903	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1330	-1547.03	-1569	21.9706	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1340	-1546.26	-1567.68	21.427	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1350	-1543.11	-1567.37	24.2539	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1360	-1547.12	-1569.18	22.054	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1370	-1553.73	-1569.69	15.9612	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1380	-1546.65	-1568.08	21.4271	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1390	-1550.43	-1570.16	19.7319	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1400	-1547.36	-1571.3	23.9373	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1410	-1544.16	-1570.11	25.9454	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1420	-1546.92	-1567.93	21.0108	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1430	-1542.7	-1569.05	26.346	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1440	-1549.58	-1567.68	18.1077	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1450	-1542.01	-1568.91	26.9005	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1460	-1551.17	-1568.01	16.8435	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1470	-1546.97	-1568.66	21.6879	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1480	-1550.26	-1568.92	18.6604	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1490	-1546.74	-1570.07	23.3252	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1500	-1541.68	-1567.98	26.3	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1510	-1550.37	-1571.73	21.3593	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1520	-1552.12	-1571.74	19.6157	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1530	-1555.47	-1570.65	15.1726	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1540	-1555.51	-1567.72	12.2174	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1550	-1543.36	-1570.01	26.6439	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1560	-1549.8	-1569.94	20.1387	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1570	-1553.53	-1570.39	16.8604	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1580	-1544.73	-1566.96	22.2278	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
1590	-1544.73	-1569.69	24.9623	6.50917	13.0183	19.5275	26.0367	32.5458	39.055	45.5642	52.0733	58.5825	65.0917
