Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	extinction[27]	extinction[28]	extinction[29]	extinction[30]	extinction[31]	extinction[32]	extinction[33]	extinction[34]	extinction[35]	extinction[36]	extinction[37]	extinction[38]	extinction[39]	extinction[40]	extinction[41]	extinction[42]	extinction[43]	extinction[44]	extinction[45]	extinction[46]	extinction[47]	extinction[48]	extinction[49]	extinction[50]	extinction[51]
300	-1358.48	-1571.49	213.016	0.201913	0.208596	0.197173	0.20173	0.206106	0.20017	0.193606	0.183495	0.189915	0.189524	0.190486	0.181739	0.181954	0.199929	0.19209	0.198814	0.201176	0.18795	0.207046	0.203815	0.181554	0.167929	0.169378	0.158334	0.154503	0.153053	0.146618	0.149846	0.152488	0.157653	0.163156	0.167356	0.176233	0.187312	0.193526	0.20713	0.213947	0.207544	0.200003	0.208126	0.211167	0.209872	0.205246	0.203209	0.18754	0.189599	0.192021	0.181594	0.174001	0.186552	0.194009
310	-1293.57	-1571.41	277.838	0.145898	0.148182	0.14668	0.147694	0.146802	0.146046	0.141738	0.143012	0.141459	0.143261	0.143517	0.14116	0.144644	0.145983	0.148353	0.145621	0.148365	0.142841	0.14419	0.146977	0.140068	0.138337	0.137701	0.135821	0.133313	0.135443	0.134681	0.133806	0.132698	0.134581	0.135897	0.137162	0.139638	0.14044	0.144319	0.147814	0.148708	0.14688	0.148897	0.14729	0.148823	0.150424	0.14913	0.146532	0.143471	0.143536	0.1436	0.141637	0.142274	0.140406	0.142041
320	-1371.07	-1568.22	197.15	0.170217	0.175269	0.172844	0.170112	0.16429	0.17166	0.170209	0.16399	0.16469	0.162829	0.160612	0.158722	0.172556	0.167313	0.169897	0.168412	0.177132	0.162807	0.158432	0.165037	0.158606	0.153827	0.147378	0.150505	0.145912	0.144146	0.141577	0.146809	0.146954	0.148226	0.147951	0.152985	0.151125	0.160541	0.1654	0.17325	0.174995	0.175624	0.178789	0.172579	0.174997	0.178367	0.175822	0.174497	0.164865	0.160907	0.165113	0.161376	0.156624	0.15024	0.152067
330	-1377.56	-1570.82	193.252	0.251916	0.249144	0.260142	0.261093	0.256393	0.259081	0.257112	0.25532	0.261848	0.259807	0.241646	0.233288	0.23128	0.25195	0.250696	0.248085	0.245784	0.246696	0.249786	0.234077	0.225486	0.217202	0.228156	0.224847	0.232101	0.225802	0.214115	0.220719	0.217533	0.227029	0.234357	0.243047	0.246346	0.251157	0.257942	0.255442	0.263485	0.259644	0.264595	0.260703	0.262017	0.258633	0.254825	0.254779	0.254803	0.248001	0.235808	0.237417	0.227598	0.220808	0.229818
340	-1318.67	-1567.85	249.177	0.19958	0.198244	0.201302	0.201563	0.199757	0.201011	0.199709	0.201609	0.200603	0.197219	0.19477	0.19639	0.196878	0.197882	0.19868	0.197945	0.197744	0.196482	0.195	0.192526	0.194544	0.193006	0.194924	0.191713	0.191733	0.191451	0.188106	0.190942	0.188936	0.191205	0.192947	0.195277	0.195744	0.198118	0.200504	0.202051	0.200614	0.203585	0.203002	0.20542	0.20294	0.199453	0.199834	0.201521	0.19806	0.197426	0.197016	0.194885	0.194706	0.191313	0.194104
350	-1292.71	-1568.43	275.717	0.232633	0.232563	0.232867	0.23494	0.235232	0.235183	0.234662	0.2367	0.234332	0.233094	0.231028	0.230415	0.230708	0.232755	0.232596	0.233708	0.231579	0.232475	0.232987	0.233005	0.230978	0.228915	0.227802	0.228781	0.22865	0.228075	0.225672	0.224587	0.225074	0.228576	0.230797	0.231457	0.229626	0.231239	0.231639	0.233389	0.235952	0.238439	0.237476	0.236629	0.236778	0.235492	0.232925	0.234881	0.234764	0.233271	0.232289	0.231966	0.233084	0.232866	0.232226
360	-1293.97	-1570.13	276.155	0.157763	0.160564	0.162582	0.16496	0.166527	0.163779	0.164959	0.163221	0.163121	0.165273	0.163369	0.162555	0.162942	0.161544	0.16135	0.161636	0.159145	0.158374	0.155595	0.156129	0.156702	0.158579	0.157174	0.154953	0.156358	0.155216	0.155962	0.155738	0.155595	0.155558	0.156592	0.15887	0.159951	0.158694	0.160883	0.162362	0.163437	0.167001	0.168913	0.166258	0.165414	0.164691	0.166426	0.164752	0.163821	0.162039	0.158776	0.159459	0.159141	0.159688	0.16079
370	-1335.48	-1568.45	232.972	0.221456	0.21569	0.212737	0.220558	0.220107	0.218568	0.214346	0.21087	0.213484	0.211435	0.220395	0.215801	0.209996	0.212737	0.213982	0.215416	0.206314	0.205401	0.202576	0.20691	0.200823	0.202906	0.19876	0.196798	0.201237	0.2008	0.207262	0.198672	0.201199	0.19827	0.202299	0.203975	0.200492	0.209552	0.21442	0.21407	0.215352	0.218207	0.225659	0.22311	0.225912	0.222933	0.223982	0.221881	0.219421	0.217157	0.211301	0.207025	0.207018	0.199421	0.196624
380	-1342.66	-1564.27	221.607	0.097704	0.0971272	0.0966197	0.0975332	0.0973748	0.0965275	0.0969954	0.0969283	0.0968512	0.096507	0.0972188	0.0963415	0.096264	0.0961308	0.0969344	0.09673	0.0963671	0.095481	0.0957629	0.0945257	0.0943071	0.094487	0.0943299	0.0946984	0.094762	0.0941453	0.0943841	0.0945097	0.0943802	0.0937947	0.0941552	0.0942662	0.0946323	0.0958752	0.0967404	0.0974096	0.0971631	0.0976365	0.0974252	0.0984407	0.0988953	0.0990622	0.0985826	0.098299	0.0978367	0.0974629	0.0964845	0.0960001	0.0957579	0.0944454	0.0939543
390	-1374.11	-1566.43	192.315	0.148453	0.143572	0.138159	0.134029	0.135193	0.132789	0.129394	0.129443	0.127347	0.127891	0.133097	0.125119	0.127711	0.124862	0.1261	0.121193	0.117554	0.11682	0.114133	0.114701	0.113406	0.112259	0.11225	0.109693	0.109738	0.111797	0.111542	0.111928	0.109422	0.113587	0.116946	0.113227	0.117084	0.120156	0.128046	0.135032	0.136585	0.135845	0.134206	0.137719	0.136454	0.137063	0.139706	0.138145	0.134585	0.131317	0.126162	0.126038	0.120466	0.12039	0.114698
