Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
1380	-1546.65	-1568.08	21.4271	0.146801	0.158395	0.155912	0.147719	0.159485	0.187495	0.186455	0.196042	0.197452	0.206081	0.214355
1390	-1550.43	-1570.16	19.7319	0.130439	0.140027	0.154963	0.167341	0.173738	0.156297	0.152463	0.16295	0.141822	0.146297	0.146699
1400	-1547.36	-1571.3	23.9373	0.23252	0.232302	0.238766	0.257189	0.2565	0.264602	0.277049	0.273476	0.277833	0.253808	0.261472
1410	-1544.16	-1570.11	25.9454	0.144401	0.139729	0.138105	0.13738	0.141354	0.154522	0.144858	0.14976	0.154619	0.159238	0.154249
1420	-1546.92	-1567.93	21.0108	0.144002	0.146112	0.14674	0.151708	0.15916	0.154158	0.170181	0.158347	0.159357	0.181596	0.190281
1430	-1542.7	-1569.05	26.346	0.12506	0.125061	0.132096	0.133337	0.132106	0.141581	0.141955	0.151191	0.155179	0.165883	0.164968
1440	-1549.58	-1567.68	18.1077	0.158307	0.157491	0.150503	0.169932	0.172975	0.170566	0.183558	0.185667	0.202429	0.202672	0.240028
1450	-1542.01	-1568.91	26.9005	0.181354	0.185237	0.192379	0.202932	0.195856	0.195053	0.196741	0.196324	0.197413	0.201851	0.203475
1460	-1551.17	-1568.01	16.8435	0.127698	0.13848	0.136541	0.142909	0.145222	0.149374	0.158386	0.172078	0.173505	0.181556	0.197605
1470	-1546.97	-1568.66	21.6879	0.159419	0.166685	0.160385	0.152812	0.163143	0.175839	0.163333	0.169681	0.172263	0.188402	0.204805
1480	-1550.26	-1568.92	18.6604	0.140463	0.146499	0.141354	0.143075	0.151533	0.151004	0.151254	0.150172	0.138648	0.132189	0.130193
1490	-1546.74	-1570.07	23.3252	0.250315	0.241704	0.259638	0.275099	0.271348	0.24775	0.239651	0.243101	0.260803	0.245067	0.229156
1500	-1541.68	-1567.98	26.3	0.155548	0.160751	0.169991	0.174867	0.186118	0.177933	0.1759	0.181607	0.17732	0.170444	0.173725
1510	-1550.37	-1571.73	21.3593	0.172402	0.189042	0.190268	0.215907	0.223366	0.209065	0.201944	0.192644	0.170127	0.165477	0.184891
1520	-1552.12	-1571.74	19.6157	0.188723	0.181398	0.191283	0.189885	0.191424	0.197563	0.183683	0.154218	0.15346	0.152922	0.160339
1530	-1555.47	-1570.65	15.1726	0.176545	0.153539	0.148763	0.149335	0.150922	0.155605	0.146415	0.15857	0.156213	0.133643	0.117738
1540	-1555.51	-1567.72	12.2174	0.123707	0.128195	0.131312	0.132793	0.149019	0.144398	0.140619	0.130375	0.127535	0.127618	0.128059
1550	-1543.36	-1570.01	26.6439	0.129089	0.131899	0.142965	0.137423	0.152125	0.153988	0.153132	0.150025	0.141446	0.147539	0.142957
1560	-1549.8	-1569.94	20.1387	0.23187	0.233047	0.264486	0.270244	0.229216	0.23567	0.243364	0.23898	0.227756	0.232487	0.217071
1570	-1553.53	-1570.39	16.8604	0.150328	0.160257	0.160461	0.15107	0.153727	0.1437	0.162677	0.160464	0.166414	0.170961	0.191415
1580	-1544.73	-1566.96	22.2278	0.145086	0.15817	0.175054	0.175456	0.192504	0.2025	0.206594	0.189882	0.184701	0.188983	0.180446
1590	-1544.73	-1569.69	24.9623	0.148523	0.170182	0.180713	0.178113	0.181423	0.182913	0.18744	0.194303	0.179124	0.191417	0.197827
1600	-1557.8	-1572.13	14.3319	0.285273	0.254341	0.24602	0.250609	0.269058	0.277285	0.263321	0.260526	0.278096	0.297167	0.28663
1610	-1543.96	-1569.48	25.5171	0.21326	0.209845	0.21272	0.21563	0.230401	0.205288	0.21719	0.226736	0.236513	0.232086	0.218268
1620	-1550.25	-1569.11	18.8613	0.16819	0.192045	0.17826	0.176809	0.19069	0.210972	0.201363	0.207343	0.190849	0.188015	0.172158
1630	-1550.12	-1568.43	18.304	0.204906	0.234444	0.229182	0.231328	0.22381	0.212072	0.209493	0.208902	0.188673	0.166361	0.158078
1640	-1551.04	-1570.33	19.2907	0.199397	0.213695	0.212442	0.239593	0.233596	0.224099	0.196002	0.187688	0.205126	0.185865	0.187223
1650	-1553.88	-1569.85	15.9664	0.167054	0.161682	0.163345	0.146166	0.161764	0.165354	0.184638	0.210542	0.223849	0.230792	0.22989
1660	-1553.64	-1568.85	15.2124	0.206609	0.196254	0.215532	0.255415	0.246006	0.263983	0.293429	0.321566	0.336617	0.347197	0.339043
