Iteration	Posterior	Likelihood	Prior	event_rate	extinction_mean	rate_sd	speciation_mean
249	-1564.02	-1569.68	5.65069	0.00500584	0.004067748	0.8123381	0.1008015
250	-1563.61	-1569.79	6.17304	0.00500584	0.00241269	0.8123381	0.1008015
251	-1561.49	-1567.32	5.83819	0.01217039	0.003372286	0.8123381	0.1008015
252	-1561.72	-1566.73	5.01693	0.0236529	0.007666403	0.8123381	0.1008015
253	-1561.2	-1566.84	5.64095	0.0236529	0.004107566	0.8123381	0.1008015
254	-1561.26	-1567.7	6.43489	0.01092673	0.001800375	0.8304873	0.1008015
255	-1563.34	-1568.91	5.56909	0.02892309	0.003383596	0.8304873	0.1274854
256	-1561.73	-1567.96	6.22741	0.03285828	0.002541349	0.5612244	0.1389789
257	-1560.39	-1568.23	7.83978	0.01586298	0.0004337391	0.5612244	0.1623826
258	-1559.55	-1567.46	7.9084	0.01765906	0.0004337391	0.5632349	0.1510959
259	-1562.16	-1569.45	7.28572	0.03497956	0.0007680396	0.5632349	0.1590462
260	-1562.4	-1568.97	6.56752	0.02332865	0.002156951	0.5454953	0.1197002
261	-1563.99	-1569.73	5.74299	0.04503587	0.003012576	0.8581126	0.1148032
262	-1562.95	-1568.78	5.82503	0.01858571	0.002703766	0.9659493	0.09807655
263	-1560.51	-1567.42	6.91267	0.03182263	0.001081305	0.8937878	0.09345082
264	-1565.45	-1571.24	5.79278	0.03804915	0.002432689	1.075328	0.09345082
265	-1564.56	-1570.84	6.27822	0.01485386	0.001529662	1.075328	0.09146432
266	-1561.95	-1568.41	6.45689	0.03105477	0.001504894	0.8119794	0.1217452
267	-1559.99	-1567.2	7.20502	0.02610481	0.0009037003	0.8119794	0.0959451
268	-1560.76	-1567.18	6.41338	0.02610481	0.001994494	0.8119794	0.0959451
269	-1560.94	-1567.38	6.43536	0.02610481	0.001994494	0.8119794	0.09385862
270	-1561.77	-1568	6.22749	0.03079171	0.001994494	0.7291672	0.1330383
271	-1561.47	-1567.81	6.34281	0.02641379	0.002433099	0.5446701	0.1330383
272	-1560.94	-1566.84	5.90378	0.02127893	0.003045251	0.8874584	0.09199034
273	-1564.46	-1569.71	5.25164	0.022323	0.003907339	0.8489964	0.1469403
274	-1561.75	-1567.34	5.59349	0.022323	0.003907339	0.8180219	0.1100467
275	-1560.92	-1567.1	6.18375	0.01433578	0.002437156	0.8180219	0.09777511
276	-1561.7	-1567.57	5.86582	0.01073463	0.003349357	0.8180219	0.09777511
277	-1560.49	-1566.93	6.44447	0.01755085	0.001877833	0.8180219	0.09777511
278	-1561.97	-1568.2	6.23183	0.008515598	0.002223835	0.8435866	0.09777511
279	-1560.77	-1568.3	7.52696	0.008515598	0.0006090256	0.8435866	0.09777511
280	-1559.08	-1566.94	7.86414	0.01932395	0.000434711	0.8435866	0.09777511
281	-1560.6	-1568.87	8.27575	0.008489548	0.0002697173	0.8435866	0.104414
282	-1559.77	-1567.35	7.5816	0.0142418	0.000566286	0.7559732	0.1155777
283	-1558.67	-1566.98	8.31675	0.0216948	0.0002854193	0.7559732	0.1099399
284	-1559.34	-1567.73	8.39827	0.01795168	0.0002201511	0.7559732	0.1313746
285	-1560.91	-1569.19	8.28431	0.01255932	0.0002213348	0.6828386	0.1658625
286	-1560.38	-1568.81	8.43	0.0341158	0.0002213348	0.675234	0.1452444
287	-1560.61	-1568.29	7.67984	0.0341158	0.0005484926	0.5828105	0.1452444
288	-1563.32	-1570.35	7.03868	0.05283245	0.0009851043	0.6154648	0.1452444
289	-1562.29	-1570.22	7.92927	0.04182241	0.0005455489	0.593083	0.1118199
290	-1562.66	-1570.21	7.55804	0.04182241	0.0007907743	0.593083	0.1118199
291	-1562.67	-1569.72	7.04589	0.03583203	0.001319716	0.593083	0.1118199
292	-1561.37	-1568.21	6.84648	0.0417459	0.001319716	0.6769933	0.1183264
293	-1560.81	-1567.16	6.34576	0.01386441	0.002177418	0.6769933	0.1183264
294	-1560.88	-1566.85	5.96626	0.02094895	0.002970986	0.7173715	0.1183264
295	-1562.45	-1569.26	6.81033	0.05354079	0.001374238	0.7173715	0.1099878
296	-1563.78	-1569.78	6.00535	0.05354079	0.002601795	0.7173715	0.129937
297	-1561.69	-1567.63	5.94294	0.02099924	0.002601795	0.7173715	0.1383046
298	-1562.07	-1567.94	5.86073	0.02286395	0.002723353	0.958774	0.0951107
299	-1562.41	-1567.86	5.44983	0.02355155	0.004107305	0.958774	0.0951107
300	-1561.64	-1567.17	5.52253	0.02355155	0.004107305	0.9160722	0.0951107
301	-1561.1	-1567.28	6.17711	0.02355155	0.002241364	0.9943513	0.07927102
302	-1561.68	-1567.73	6.05522	0.02355155	0.002241364	0.9943513	0.08954681
303	-1561.78	-1568.87	7.08327	0.03566544	0.00110229	0.8073515	0.08954681
304	-1560.63	-1568.01	7.37738	0.03566544	0.0006560656	0.9961788	0.08129445
305	-1559.47	-1567.23	7.75864	0.02429373	0.0004480901	0.9961788	0.08129445
306	-1558.36	-1567.61	9.25438	0.02429373	0.0001063357	0.9961788	0.07676419
307	-1559.62	-1568.32	8.69631	0.03593748	0.0001614279	1.037887	0.08229782
308	-1560.58	-1568.31	7.73401	0.03593748	0.000422569	1.037887	0.08229782
309	-1559.88	-1568.02	8.14045	0.02026079	0.0003059662	1.097059	0.06844622
310	-1559.86	-1568.03	8.17373	0.02093563	0.0002959513	1.097059	0.06844622
311	-1560.19	-1568.38	8.19005	0.01193132	0.0002911623	1.097059	0.06844622
312	-1564.16	-1573.22	9.05819	0.03736339	0.0001617685	0.9323339	0.06844622
313	-1561.7	-1570.28	8.57947	0.01735347	0.0001584506	0.9738462	0.1050905
314	-1560.93	-1568.36	7.42405	0.01735347	0.000541787	0.7948619	0.132359
315	-1560.32	-1566.97	6.65024	0.021797	0.001568998	0.7948619	0.09908725
316	-1558.99	-1567.01	8.01506	0.021797	0.0004007644	0.7948619	0.09908725
317	-1559	-1568.23	9.22956	0.03935739	0.0001212992	0.7948619	0.0971849
318	-1559.79	-1568.23	8.43487	0.03935739	0.0002685273	0.7948619	0.0971849
319	-1559.29	-1568.67	9.38316	0.04289734	0.0001060325	0.7836536	0.0971849
320	-1561.32	-1570.87	9.55162	0.04272825	0.0001060325	0.6899587	0.09631872
321	-1560.26	-1568.85	8.59387	0.04272825	0.0002081466	0.9575954	0.08106774
