Iteration	Posterior	Likelihood	Prior	num_events
425	-1564.19	-1569.383	5.192924	2
426	-1564.864	-1568.232	3.367496	1
427	-1565.673	-1567.434	1.76024	1
428	-1567.662	-1570.395	2.73252	1
429	-1569.34	-1567.231	-2.109483	1
430	-1566.922	-1566.39	-0.5321939	1
431	-1565.939	-1566.292	0.3528305	1
432	-1568.002	-1568.614	0.6127275	1
433	-1568.555	-1567.989	-0.5658169	1
434	-1568.708	-1569.396	0.6872493	1
435	-1570.239	-1569.027	-1.211925	1
436	-1569.468	-1566.959	-2.5083	1
437	-1569.352	-1568.761	-0.5912805	1
438	-1570.98	-1570.032	-0.9484911	1
439	-1572.12	-1570.426	-1.693762	1
440	-1572.249	-1568.823	-3.425675	1
441	-1570.04	-1566.445	-3.595184	1
442	-1570.435	-1566.667	-3.768932	1
443	-1570.619	-1565.629	-4.98948	1
444	-1571.523	-1566.632	-4.890511	1
445	-1575.456	-1570	-5.456314	1
446	-1577.835	-1574.907	-2.928148	0
447	-1575.555	-1572.502	-3.05301	0
448	-1574.936	-1572.383	-2.553619	0
449	-1574.936	-1572.383	-2.553619	0
450	-1572.704	-1566.496	-6.207371	1
451	-1574.06	-1567.883	-6.177123	1
452	-1573.869	-1567.13	-6.739239	1
453	-1573.483	-1566.848	-6.634928	1
454	-1571.128	-1566.133	-4.995117	1
455	-1570.63	-1565.91	-4.719962	1
456	-1578.194	-1571.185	-7.008998	1
457	-1573.295	-1566.635	-6.660641	1
458	-1577.708	-1567.776	-9.931908	2
459	-1569.748	-1565.793	-3.955256	1
460	-1571.109	-1566.435	-4.673654	1
461	-1569.854	-1566.028	-3.825626	1
462	-1569.626	-1565.641	-3.984853	1
463	-1569.042	-1564.107	-4.935102	1
464	-1569.599	-1565.011	-4.588625	1
465	-1570.286	-1566	-4.285141	1
466	-1570.784	-1567.061	-3.722945	1
467	-1570.18	-1566.034	-4.145787	1
468	-1570.967	-1567.546	-3.421292	1
469	-1570.936	-1566.994	-3.941942	1
470	-1570.066	-1565.334	-4.73267	1
471	-1570.772	-1566.57	-4.202464	1
472	-1570.277	-1565.924	-4.353305	1
473	-1569.688	-1565.11	-4.578243	1
474	-1569.161	-1564.342	-4.818621	1
475	-1570.399	-1567.326	-3.072879	1
476	-1569.489	-1569.443	-0.0463695	1
477	-1567.327	-1566.873	-0.4535168	1
478	-1568.81	-1569.446	0.6357462	1
479	-1566.378	-1567.402	1.023945	1
480	-1566.049	-1565.751	-0.2976109	1
481	-1565.677	-1565.877	0.1992418	1
482	-1568.6	-1567.153	-1.447157	1
483	-1569.245	-1566.352	-2.892917	1
484	-1567.427	-1564.804	-2.622717	1
485	-1570.352	-1567.791	-2.560744	1
486	-1569.457	-1566.807	-2.650003	1
487	-1568.628	-1566.59	-2.03849	1
488	-1568.622	-1565.923	-2.698849	1
489	-1568.947	-1566.525	-2.421741	1
490	-1568.482	-1565.654	-2.827655	1
491	-1567.459	-1565.284	-2.174365	1
492	-1566.207	-1564.546	-1.660672	1
493	-1564.491	-1566.574	2.08322	2
494	-1568.079	-1566.233	-1.845928	1
495	-1570.317	-1567.237	-3.079777	1
496	-1571.57	-1567.984	-3.585849	1
497	-1570.566	-1568.043	-2.523781	1
498	-1567.462	-1566.241	-1.221414	1
