Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
1250	-1546.1	-1571.1	24.9946	0.267432	0.276993	0.278676	0.250866	0.238912	0.241917	0.26106	0.25218	0.255787	0.268607	0.272774
1260	-1550.87	-1570.28	19.4071	0.329311	0.327531	0.290548	0.30694	0.288878	0.256003	0.256378	0.259743	0.231953	0.256263	0.278279
1270	-1544.11	-1568.68	24.5695	0.272828	0.260596	0.258986	0.229099	0.221729	0.226653	0.250723	0.245071	0.250919	0.267575	0.272043
1280	-1542.41	-1567.75	25.3398	0.285177	0.279866	0.252799	0.236235	0.239887	0.230574	0.237845	0.215278	0.209026	0.215373	0.214107
1290	-1548.8	-1572.49	23.6848	0.291516	0.280519	0.263299	0.250726	0.25437	0.258131	0.269383	0.282921	0.294244	0.263693	0.270517
1300	-1547.75	-1572.63	24.8807	0.291796	0.297435	0.283497	0.280582	0.275268	0.306655	0.314287	0.300429	0.295108	0.280039	0.273689
1310	-1543.28	-1569.14	25.8596	0.280363	0.281434	0.2603	0.264203	0.261228	0.27463	0.246946	0.253551	0.242027	0.248257	0.251917
1320	-1547.08	-1567.58	20.4935	0.286791	0.276278	0.267758	0.246607	0.257635	0.240192	0.243248	0.238869	0.255689	0.27998	0.266684
1330	-1544.03	-1567.77	23.7419	0.242264	0.236928	0.220432	0.201978	0.186155	0.165165	0.161825	0.167767	0.173969	0.17806	0.165339
1340	-1549.79	-1566.69	16.8964	0.2567	0.242576	0.206755	0.20397	0.202428	0.191625	0.180106	0.184199	0.178189	0.179882	0.195321
1350	-1553.54	-1573.32	19.7795	0.215466	0.210852	0.196042	0.186673	0.216176	0.209504	0.202317	0.194989	0.186353	0.167827	0.168939
1360	-1545.11	-1569.85	24.743	0.282683	0.269887	0.263528	0.247884	0.229138	0.219993	0.216494	0.221243	0.205213	0.208369	0.202321
1370	-1543.41	-1568.97	25.5568	0.250699	0.264274	0.251313	0.243595	0.228087	0.226063	0.229065	0.221606	0.23605	0.243624	0.25601
1380	-1546.26	-1570.59	24.3248	0.297197	0.288882	0.274328	0.263604	0.249969	0.247061	0.242385	0.226388	0.253569	0.233982	0.224188
1390	-1550.07	-1571.6	21.5305	0.235356	0.239808	0.205789	0.207855	0.188585	0.188016	0.189141	0.194876	0.194149	0.199923	0.183552
1400	-1547.25	-1568.33	21.0801	0.288811	0.275919	0.284342	0.244962	0.248894	0.244652	0.2364	0.250902	0.246365	0.219076	0.239604
1410	-1544.2	-1568.89	24.6928	0.313628	0.325787	0.308147	0.278498	0.276055	0.265096	0.265879	0.27332	0.284524	0.253997	0.256766
1420	-1545.43	-1568.7	23.2725	0.304772	0.319136	0.315324	0.274071	0.270851	0.270248	0.249205	0.253997	0.235323	0.244157	0.237529
1430	-1551.6	-1569.63	18.0262	0.238114	0.242097	0.225114	0.215058	0.20252	0.190795	0.215951	0.219036	0.204916	0.19585	0.190012
1440	-1553.78	-1571.23	17.4525	0.286638	0.279736	0.249701	0.248774	0.247845	0.250293	0.239517	0.240001	0.243461	0.236318	0.229025
1450	-1550.52	-1569.81	19.2892	0.316281	0.306876	0.302767	0.292953	0.279791	0.273376	0.239351	0.231284	0.204579	0.227543	0.225937
1460	-1551.23	-1569.92	18.6915	0.257027	0.243957	0.237429	0.24813	0.246971	0.207772	0.193057	0.192186	0.198975	0.172306	0.183022
1470	-1546.75	-1572.7	25.9573	0.211557	0.205817	0.200513	0.183697	0.175243	0.160719	0.159806	0.153456	0.163316	0.157418	0.156727
1480	-1554.11	-1570.98	16.8733	0.286329	0.303647	0.261896	0.260515	0.235176	0.248104	0.217091	0.19078	0.211012	0.199924	0.200261
1490	-1545.69	-1568.03	22.3465	0.248169	0.249398	0.239483	0.223018	0.209174	0.193804	0.201517	0.20061	0.197446	0.203924	0.186489
1500	-1552.74	-1572.67	19.9261	0.245303	0.267641	0.265909	0.28169	0.261961	0.254053	0.239774	0.223782	0.220658	0.215005	0.253431
1510	-1544.06	-1569.51	25.4517	0.304823	0.274355	0.251524	0.2364	0.24243	0.244591	0.247766	0.236621	0.228591	0.236172	0.21969
1520	-1546.89	-1568.71	21.8238	0.266507	0.279072	0.245026	0.233037	0.248551	0.241579	0.225305	0.211292	0.212897	0.203437	0.204933
1530	-1541.54	-1569.53	27.9938	0.296645	0.300227	0.289185	0.280054	0.267982	0.25272	0.249159	0.250726	0.273409	0.25721	0.250802
1540	-1548.15	-1568.39	20.2398	0.27719	0.263626	0.263447	0.268326	0.249359	0.233508	0.218109	0.233622	0.217734	0.223588	0.216777
1550	-1546.53	-1573.24	26.7104	0.256452	0.247906	0.228056	0.240471	0.219421	0.216245	0.222792	0.222707	0.20442	0.207857	0.206391
1560	-1548.23	-1569.76	21.5268	0.276831	0.257711	0.259923	0.246045	0.225259	0.212847	0.218358	0.212182	0.199421	0.183954	0.154732
1570	-1546.97	-1567.14	20.178	0.295425	0.272902	0.257754	0.237517	0.226011	0.213798	0.211309	0.204653	0.198971	0.21007	0.190324
1580	-1545.6	-1569.73	24.1272	0.288779	0.279411	0.271285	0.278975	0.280513	0.294171	0.285941	0.269667	0.253228	0.249393	0.254708
1590	-1554.62	-1570.69	16.0714	0.322599	0.305594	0.283668	0.270399	0.275027	0.273695	0.242015	0.202112	0.207136	0.207031	0.192606
1600	-1549.87	-1569.45	19.5795	0.326299	0.309447	0.322828	0.318343	0.291792	0.302079	0.296127	0.273197	0.277395	0.269601	0.25294
1610	-1547.52	-1570	22.4839	0.343985	0.338155	0.320893	0.313844	0.31849	0.319952	0.368496	0.342965	0.34021	0.351714	0.346971
1620	-1545.68	-1570.51	24.8245	0.260841	0.233783	0.241653	0.22388	0.230335	0.242391	0.233448	0.231854	0.233108	0.237285	0.237328
1630	-1543.8	-1570.88	27.0786	0.280236	0.286091	0.295747	0.318435	0.29386	0.276424	0.287138	0.298233	0.298263	0.282023	0.286539
1640	-1546.67	-1571.42	24.7463	0.3126	0.328315	0.333689	0.340496	0.341105	0.359123	0.33408	0.347706	0.338565	0.326202	0.329613
1650	-1552.06	-1570.42	18.3596	0.33914	0.319468	0.31889	0.325754	0.332155	0.32673	0.279623	0.299091	0.335932	0.338063	0.343674
1660	-1546.86	-1569.22	22.3595	0.249028	0.251549	0.23577	0.247353	0.228813	0.23743	0.222372	0.217228	0.209998	0.199426	0.223291
1670	-1553.13	-1571.15	18.0202	0.223563	0.204217	0.187418	0.182276	0.180888	0.182055	0.190225	0.162844	0.170814	0.165327	0.17635
1680	-1550.91	-1575.69	24.7811	0.171915	0.16678	0.145663	0.13164	0.120264	0.116726	0.114079	0.112086	0.11276	0.113154	0.119912
1690	-1541.06	-1568.06	26.9956	0.281382	0.250764	0.245729	0.245375	0.236273	0.217177	0.213574	0.212589	0.203542	0.209701	0.206537
1700	-1549.77	-1569.21	19.4347	0.250209	0.252993	0.238647	0.215988	0.20734	0.201009	0.210593	0.19713	0.203944	0.190929	0.188797
1710	-1547.43	-1567.91	20.4748	0.256166	0.233065	0.234455	0.231228	0.218587	0.206128	0.220411	0.210623	0.212657	0.203174	0.198147
1720	-1546.05	-1568.73	22.6779	0.24607	0.228932	0.220393	0.219332	0.207123	0.193602	0.184355	0.177678	0.196529	0.187182	0.178363
1730	-1552.79	-1569.63	16.8399	0.305846	0.270461	0.248927	0.24279	0.233163	0.223066	0.237658	0.212971	0.214218	0.199548	0.213162
1740	-1544.06	-1568.68	24.6237	0.2388	0.244723	0.222089	0.203662	0.184253	0.180839	0.185154	0.177865	0.17638	0.172469	0.171441
1750	-1554.26	-1571.73	17.4716	0.22435	0.195239	0.186455	0.171835	0.164681	0.163726	0.162118	0.16683	0.172344	0.176797	0.149982
1760	-1551.29	-1567.61	16.3144	0.276955	0.277123	0.228658	0.202231	0.193268	0.200648	0.206279	0.188624	0.171811	0.155784	0.145018
1770	-1550.27	-1569.19	18.9179	0.222695	0.215665	0.205597	0.177003	0.172779	0.158968	0.169581	0.142186	0.14232	0.137524	0.146204
1780	-1547.48	-1567.99	20.5095	0.275447	0.280928	0.288815	0.275737	0.284549	0.256896	0.238961	0.242412	0.225894	0.238958	0.218002
1790	-1549.62	-1567.76	18.1401	0.317093	0.302317	0.272326	0.264967	0.244406	0.2444	0.257141	0.26361	0.248003	0.237344	0.210991
1800	-1545.31	-1568.86	23.552	0.245972	0.247959	0.23074	0.204742	0.186655	0.173689	0.164312	0.165102	0.161561	0.17488	0.183904
1810	-1544.77	-1569.81	25.0418	0.328004	0.307705	0.275632	0.272743	0.260983	0.244624	0.266437	0.255613	0.25495	0.254907	0.263259
