Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
1420	-1569.6	-1571.84	2.23351	0.2950372	0.2131989	0.08183832	0.2131989
1430	-1569.95	-1572.16	2.2102	0.3030756	0.2347896	0.06828601	0.2347896
1440	-1570.38	-1572.48	2.10384	0.3166192	0.2539802	0.06263898	0.2539802
1450	-1571.51	-1574.02	2.51424	0.2633772	0.2011449	0.0622323	0.2011449
1460	-1569.63	-1571.89	2.25722	0.2899179	0.2047282	0.08518973	0.2047282
1470	-1569.85	-1572.03	2.17716	0.3072085	0.2367923	0.07041613	0.2367923
1480	-1569.67	-1572.04	2.36484	0.2796843	0.1990992	0.08058511	0.1990992
1490	-1570.53	-1572.45	1.91997	0.342461	0.270961	0.07150004	0.270961
1500	-1570.18	-1572.31	2.12315	0.3146118	0.2494342	0.06517757	0.2494342
1510	-1569.67	-1571.85	2.17821	0.3048793	0.2280766	0.07680262	0.2280766
1520	-1569.63	-1571.93	2.29432	0.2853929	0.2001554	0.08523752	0.2001554
1530	-1569.73	-1572.12	2.39287	0.274244	0.1898522	0.08439182	0.1898522
1540	-1569.74	-1572.15	2.40544	0.2733383	0.1899141	0.08342414	0.1899141
1550	-1570.44	-1573.04	2.59572	0.2526128	0.1709643	0.08164849	0.1709643
1560	-1570.62	-1572.6	1.98521	0.3332887	0.2708304	0.06245831	0.2708304
1570	-1569.65	-1572	2.34694	0.2823123	0.2026553	0.07965702	0.2026553
1580	-1570.3	-1572.77	2.46404	0.2581526	0.1616053	0.09654737	0.1616053
1590	-1571.96	-1574.77	2.81309	0.2292854	0.1469709	0.08231452	0.1469709
1600	-1570.88	-1573.53	2.64294	0.2409081	0.1465869	0.09432125	0.1465869
1610	-1570.38	-1572.63	2.25191	0.2781888	0.1774913	0.1006975	0.1774913
1620	-1570.34	-1572.8	2.45823	0.2716616	0.2016578	0.07000381	0.2016578
1630	-1569.6	-1571.84	2.23758	0.2942995	0.2120923	0.08220721	0.2120923
1640	-1569.77	-1572.07	2.29283	0.2819495	0.1916351	0.09031442	0.1916351
1650	-1572.02	-1573.81	1.78766	0.3519477	0.3003055	0.0516422	0.3003055
1660	-1570.74	-1572.71	1.96136	0.3363329	0.2748753	0.06145769	0.2748753
1670	-1570.16	-1572.22	2.05958	0.3096786	0.2185139	0.09116468	0.2185139
1680	-1570.33	-1572.51	2.17455	0.3070597	0.2441307	0.06292904	0.2441307
1690	-1570.1	-1572.34	2.24092	0.2989696	0.232695	0.06627465	0.232695
1700	-1571.99	-1574.56	2.57727	0.2557495	0.193728	0.06202154	0.193728
1710	-1570.04	-1572.08	2.04245	0.3165812	0.2308109	0.08577027	0.2308109
1720	-1573.35	-1575.97	2.61336	0.2479625	0.1908413	0.05712124	0.1908413
1730	-1570.45	-1572.72	2.2737	0.2938365	0.2310424	0.06279416	0.2310424
1740	-1571.73	-1574.19	2.45653	0.2470434	0.1342557	0.1127876	0.1342557
1750	-1569.83	-1572.22	2.39478	0.278205	0.2025701	0.07563497	0.2025701
1760	-1571.33	-1573.13	1.80402	0.3605255	0.2963992	0.06412637	0.2963992
1770	-1570.15	-1572.59	2.44205	0.2734221	0.2015634	0.07185879	0.2015634
1780	-1570.78	-1572.82	2.04483	0.3226673	0.2640156	0.05865169	0.2640156
1790	-1569.86	-1571.94	2.07943	0.3143914	0.2320386	0.08235282	0.2320386
1800	-1570.26	-1572.34	2.07708	0.3045537	0.2102088	0.09434492	0.2102088
1810	-1570.22	-1572.21	1.99286	0.3233464	0.2378493	0.08549706	0.2378493
1820	-1572.04	-1573.79	1.74544	0.3460913	0.2501599	0.09593137	0.2501599
1830	-1570.21	-1572.19	1.98175	0.3273786	0.2449969	0.08238169	0.2449969
1840	-1570.18	-1572.61	2.42768	0.2753204	0.2046868	0.07063356	0.2046868
1850	-1570.05	-1572.09	2.04701	0.3152452	0.228584	0.08666116	0.228584
1860	-1570.73	-1572.6	1.87389	0.3434517	0.2625481	0.0809036	0.2625481
1870	-1570.23	-1572.2	1.97099	0.3307151	0.2508506	0.07986447	0.2508506
1880	-1570.61	-1573.18	2.56942	0.2476229	0.1519335	0.0956894	0.1519335
1890	-1570.47	-1573.03	2.56249	0.2498201	0.1564394	0.09338069	0.1564394
1900	-1571.34	-1573.41	2.06721	0.3141678	0.2604795	0.05368835	0.2604795
1910	-1570.05	-1572.39	2.34606	0.2718507	0.1763326	0.09551809	0.1763326
1920	-1569.63	-1571.91	2.27205	0.292887	0.2160599	0.0768271	0.2160599
1930	-1569.96	-1572.03	2.06827	0.3130679	0.2271068	0.08596111	0.2271068
1940	-1571.89	-1573.61	1.72433	0.3722317	0.3104209	0.06181077	0.3104209
1950	-1570.31	-1572.3	1.99025	0.3212445	0.2329681	0.08827633	0.2329681
1960	-1569.99	-1572.04	2.04823	0.3236457	0.2500352	0.07361056	0.2500352
1970	-1570.06	-1572.17	2.10127	0.3177428	0.2499369	0.06780594	0.2499369
1980	-1570.03	-1572.24	2.21252	0.302769	0.2357104	0.06705865	0.2357104
1990	-1571.37	-1573.26	1.8837	0.3238528	0.2245157	0.09933716	0.2245157
2000	-1570.4	-1572.64	2.23904	0.279493	0.1786253	0.1008677	0.1786253
2010	-1571.9	-1573.65	1.74698	0.3656545	0.3085516	0.05710286	0.3085516
2020	-1570.19	-1572.71	2.51817	0.2630968	0.1859331	0.07716376	0.1859331
2030	-1570.21	-1572.76	2.54804	0.255541	0.1691684	0.08637262	0.1691684
2040	-1570	-1572.03	2.03047	0.3231321	0.2440291	0.07910307	0.2440291
2050	-1570.88	-1573.08	2.19728	0.2796862	0.1737584	0.1059278	0.1737584
2060	-1569.97	-1572.43	2.45817	0.2702021	0.1933368	0.07686524	0.1933368
2070	-1571.65	-1574.43	2.77827	0.2326796	0.1498652	0.08281442	0.1498652
2080	-1570.5	-1573.08	2.57977	0.2561915	0.1794695	0.07672202	0.1794695
2090	-1570.07	-1572.23	2.16066	0.2943819	0.200062	0.09431989	0.200062
2100	-1571.65	-1574.41	2.76738	0.2347432	0.1546895	0.08005361	0.1546895
2110	-1569.93	-1572.34	2.4133	0.267544	0.1764308	0.09111323	0.1764308
2120	-1571.03	-1573.36	2.33462	0.2631621	0.1552756	0.1078865	0.1552756
2130	-1569.96	-1572.01	2.0522	0.3172401	0.2339059	0.0833342	0.2339059
2140	-1572.07	-1574.72	2.65127	0.2305302	0.1207925	0.1097377	0.1207925
2150	-1570.37	-1572.35	1.98563	0.3339083	0.2663671	0.06754116	0.2663671
2160	-1570.93	-1572.77	1.84216	0.3536683	0.2818348	0.07183352	0.2818348
2170	-1571.66	-1574.29	2.62848	0.2346635	0.1280674	0.106596	0.1280674
2180	-1572.07	-1573.84	1.76811	0.355567	0.3035809	0.05198609	0.3035809
2190	-1569.91	-1572.33	2.42219	0.2749593	0.1995059	0.07545341	0.1995059
2200	-1572.96	-1574.56	1.60208	0.3825266	0.3301854	0.05234114	0.3301854
2210	-1569.68	-1572.05	2.37206	0.2779199	0.1956531	0.08226683	0.1956531
2220	-1569.75	-1571.96	2.20616	0.2936294	0.2050209	0.08860851	0.2050209
2230	-1569.96	-1572.37	2.41369	0.2669806	0.1751217	0.09185885	0.1751217
2240	-1572.24	-1573.92	1.68698	0.3760984	0.3178506	0.0582478	0.3178506
2250	-1570.84	-1572.7	1.8577	0.3513385	0.2793954	0.0719431	0.2793954
2260	-1570.31	-1572.33	2.02025	0.3290241	0.2626046	0.06641955	0.2626046
2270	-1570.51	-1573.06	2.55556	0.249607	0.1547529	0.09485412	0.1547529
2280	-1571.01	-1573.12	2.10762	0.311684	0.2554301	0.05625389	0.2554301
2290	-1569.82	-1572.18	2.36438	0.2823689	0.2081742	0.07419472	0.2081742
2300	-1570.21	-1572.52	2.31392	0.2731372	0.1747101	0.09842716	0.1747101
2310	-1571.71	-1573.43	1.72524	0.3703338	0.2967419	0.07359184	0.2967419
2320	-1571.94	-1573.65	1.7124	0.3745538	0.3111433	0.06341042	0.3111433
2330	-1569.84	-1572	2.16155	0.2985637	0.2092816	0.08928218	0.2092816
2340	-1570.51	-1572.94	2.42631	0.2754175	0.2088803	0.06653723	0.2088803
2350	-1573.23	-1576.1	2.8651	0.2258464	0.1539935	0.07185285	0.1539935
2360	-1569.69	-1571.96	2.26252	0.2950797	0.2207715	0.07430821	0.2207715
2370	-1572.29	-1574	1.70911	0.3515795	0.2560481	0.09553146	0.2560481
2380	-1570.56	-1572.98	2.42976	0.258307	0.156996	0.1013111	0.156996
2390	-1570.96	-1572.91	1.95398	0.3357065	0.27708	0.05862646	0.27708
2400	-1570.57	-1572.65	2.07393	0.3002976	0.2010902	0.09920736	0.2010902
2410	-1570.67	-1572.59	1.92282	0.3429923	0.2770166	0.06597562	0.2770166
2420	-1571.47	-1573.88	2.40694	0.2530584	0.1417606	0.1112978	0.1417606
2430	-1571.14	-1573.86	2.71614	0.2382928	0.1534139	0.08487896	0.1534139
2440	-1570	-1572.49	2.49609	0.2629981	0.1797437	0.08325442	0.1797437
2450	-1569.63	-1571.86	2.23541	0.2931786	0.2088496	0.08432905	0.2088496
2460	-1571.54	-1573.9	2.36977	0.2779125	0.2205737	0.05733886	0.2205737
2470	-1569.62	-1571.94	2.31998	0.2840385	0.2015625	0.08247598	0.2015625
2480	-1570.33	-1572.34	2.00673	0.3167766	0.2259869	0.09078976	0.2259869
2490	-1569.9	-1572.11	2.20513	0.2906805	0.1982675	0.09241309	0.1982675
2500	-1570.08	-1572.12	2.04614	0.3145249	0.2268859	0.08763894	0.2268859
2510	-1571.16	-1572.96	1.80259	0.3542907	0.2741846	0.08010606	0.2741846
2520	-1571.19	-1573.87	2.67695	0.2360268	0.1392459	0.09678091	0.1392459
2530	-1569.89	-1572.12	2.23276	0.3000214	0.2304835	0.06953799	0.2304835
