Iteration	Posterior	Likelihood	Prior	mu	beta[1]	beta[2]	switch_rate_0_to_1	switch_rate_1_to_0	switch_rate_1_to_2	switch_rate_2_to_1	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]	switch_rates_pos[3]	switch_rates_pos[4]
4450	-1015.357	-1010.147	-5.209849	0.8599163	0.705031	0.705031	0.01712757	0.6168975	0.2516193	0.1143556	0.0171276	0	0.616897	0.251619	0	0.114356	0.0171276	0.616897	0.251619	0.114356
4500	-1002.186	-997.1637	-5.021964	0.7851204	1.2651	1.2651	0.01755403	0.657124	0.2057956	0.1195264	0.017554	0	0.657124	0.205796	0	0.119526	0.017554	0.657124	0.205796	0.119526
4550	-873.9219	-870.9875	-2.934385	0.6667185	0.361545	0.361545	0.02215586	0.621578	0.2666817	0.08958447	0.0221559	0	0.621578	0.266682	0	0.0895845	0.0221559	0.621578	0.266682	0.0895845
4600	-939.6285	-935.7349	-3.893537	0.7712946	0.274935	0.274935	0.01353051	0.5995863	0.2399763	0.1469069	0.0135305	0	0.599586	0.239976	0	0.146907	0.0135305	0.599586	0.239976	0.146907
4650	-1075.613	-1073.027	-2.58588	0.6251514	0.428711	0.428711	0.02431102	0.5801794	0.2427181	0.1527915	0.024311	0	0.580179	0.242718	0	0.152791	0.024311	0.580179	0.242718	0.152791
4700	-1039.288	-1033.657	-5.631546	0.8849968	0.875923	0.875923	0.01688894	0.6075663	0.2584497	0.117095	0.0168889	0	0.607566	0.25845	0	0.117095	0.0168889	0.607566	0.25845	0.117095
4750	-1171.127	-1166.931	-4.196537	0.7497641	0.793241	0.793241	0.02584128	0.6604168	0.2163747	0.09736723	0.0258413	0	0.660417	0.216375	0	0.0973672	0.0258413	0.660417	0.216375	0.0973672
4800	-824.1361	-821.792	-2.344107	0.5881349	0.557103	0.557103	0.01769519	0.6464695	0.2099997	0.1258356	0.0176952	0	0.646469	0.21	0	0.125836	0.0176952	0.646469	0.21	0.125836
4850	-936.4263	-934.8183	-1.607979	0.5463255	0.239069	0.239069	0.02137789	0.6299159	0.2530412	0.09566504	0.0213779	0	0.629916	0.253041	0	0.095665	0.0213779	0.629916	0.253041	0.095665
4900	-839.588	-836.7211	-2.866962	0.6759819	0.201487	0.201487	0.01509734	0.6675811	0.2086676	0.1086539	0.0150973	0	0.667581	0.208668	0	0.108654	0.0150973	0.667581	0.208668	0.108654
