Iteration	Posterior	Likelihood	Prior	mu	beta[1]	beta[2]	switch_rate_0_to_1	switch_rate_1_to_0	switch_rate_1_to_2	switch_rate_2_to_1	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]	switch_rates_pos[3]	switch_rates_pos[4]
3800	-1097.06	-1089.643	-7.417303	1.037498	1.13667	1.13667	0.01083432	0.6845086	0.1838517	0.1208053	0.0108343	0	0.684509	0.183852	0	0.120805	0.0108343	0.684509	0.183852	0.120805
3850	-849.6729	-843.7119	-5.961087	0.8553567	1.50187	1.50187	0.009526356	0.6928116	0.1407667	0.1568954	0.00952636	0	0.692812	0.140767	0	0.156895	0.00952636	0.692812	0.140767	0.156895
3900	-1070.334	-1065.938	-4.395437	0.7106459	1.38332	1.38332	0.015745	0.6281445	0.1226817	0.2334288	0.015745	0	0.628145	0.122682	0	0.233429	0.015745	0.628145	0.122682	0.233429
3950	-993.8061	-988.1893	-5.616831	0.8523245	1.18793	1.18793	0.0118316	0.6381193	0.2002205	0.1498286	0.0118316	0	0.638119	0.200221	0	0.149829	0.0118316	0.638119	0.200221	0.149829
4000	-1059.79	-1056.501	-3.289038	0.6352035	1.03135	1.03135	0.01986995	0.625135	0.2099686	0.1450264	0.01987	0	0.625135	0.209969	0	0.145026	0.01987	0.625135	0.209969	0.145026
4050	-1022.627	-1017.165	-5.461069	0.8425345	1.13007	1.13007	0.01376371	0.749543	0.1338065	0.1028867	0.0137637	0	0.749543	0.133807	0	0.102887	0.0137637	0.749543	0.133807	0.102887
4100	-934.5317	-928.4944	-6.037336	0.8854519	1.27716	1.27716	0.01197178	0.6958107	0.1574085	0.134809	0.0119718	0	0.695811	0.157408	0	0.134809	0.0119718	0.695811	0.157408	0.134809
4150	-997.6577	-992.2568	-5.400857	0.8243112	1.25209	1.25209	0.01507209	0.7459631	0.1016104	0.1373544	0.0150721	0	0.745963	0.10161	0	0.137354	0.0150721	0.745963	0.10161	0.137354
4200	-987.6954	-983.0895	-4.605889	0.7271315	1.42892	1.42892	0.01473096	0.7025761	0.115391	0.1673019	0.014731	0	0.702576	0.115391	0	0.167302	0.014731	0.702576	0.115391	0.167302
4250	-1002.391	-997.0687	-5.322647	0.7775057	1.64194	1.64194	0.01415838	0.811036	0.04132076	0.1334849	0.0141584	0	0.811036	0.0413208	0	0.133485	0.0141584	0.811036	0.0413208	0.133485
4300	-1284.035	-1274.855	-9.180301	1.194078	1.33386	1.33386	0.01327794	0.8128717	0.0766357	0.0972147	0.0132779	0	0.812872	0.0766357	0	0.0972147	0.0132779	0.812872	0.0766357	0.0972147
4350	-1181.298	-1174.918	-6.380704	0.9295619	1.17943	1.17943	0.02132245	0.7866946	0.08592284	0.1060601	0.0213224	0	0.786695	0.0859228	0	0.10606	0.0213224	0.786695	0.0859228	0.10606
4400	-1011.571	-1005.638	-5.93307	0.888455	1.14287	1.14287	0.0131013	0.7466392	0.1131514	0.1271081	0.0131013	0	0.746639	0.113151	0	0.127108	0.0131013	0.746639	0.113151	0.127108
4450	-989.4082	-982.72	-6.688112	0.9573677	1.20878	1.20878	0.01321002	0.6988518	0.1806515	0.1072867	0.01321	0	0.698852	0.180651	0	0.107287	0.01321	0.698852	0.180651	0.107287
