Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
1300	-51.5407	-46.7821	-4.75855	0.865066	0.134934	0.02128831	2.51884	1.348	0.353902	0	1.490857	1.125815	0.1349341	0.8650659	13.36025
1310	-50.2534	-46.3335	-3.91994	0.800271	0.199729	0.02565629	3.11441	1.63131	0.363053	0	0.4494932	1.174039	0.1997289	0.8002711	14.92928
1320	-49.9599	-46.3403	-3.61958	0.867731	0.132269	0.02318152	2.53212	1.46626	0.58807	0	0.5777581	1.317892	0.1322689	0.8677311	20.79182
1330	-50.6847	-46.7716	-3.91308	0.376789	0.623211	0.02514807	3.24019	1.43116	0.528637	0	1.046629	1.339212	0.6232109	0.3767891	21.83798
1340	-49.5291	-45.8693	-3.65982	0.483447	0.516553	0.01675913	2.20328	1.65366	0.662244	0	0.860003	0.7395689	0.5165527	0.4834473	5.489957
1350	-49.4387	-45.8747	-3.56393	0.577061	0.422939	0.02838165	2.43604	1.68506	0.530255	0	0.7211389	1.353541	0.422939	0.577061	22.57048
1360	-49.7033	-46.1439	-3.55935	0.515119	0.484881	0.0213793	2.33658	1.31531	0.489876	0	0.6842985	0.9826271	0.4848808	0.5151192	9.607869
1370	-49.4547	-45.7092	-3.74555	0.884528	0.115472	0.02435363	2.56404	1.36285	0.624819	0	0.5065363	1.264946	0.1154717	0.8845283	18.40542
1380	-51.2887	-46.9286	-4.36016	0.345031	0.654969	0.02239256	2.32746	1.43076	0.554624	0	1.29407	0.9236672	0.6549685	0.3450315	8.38817
1390	-50.5616	-46.2197	-4.34197	0.131093	0.868907	0.02337788	3.05605	1.59526	0.649515	0	1.28475	1.083923	0.8689068	0.1310932	12.13174
1400	-49.239	-45.6236	-3.61541	0.719209	0.280791	0.02161492	2.40823	1.62539	0.537723	0	0.8126014	1.106858	0.2807905	0.7192095	12.78964
1410	-54.2082	-49.188	-5.02019	0.490456	0.509544	0.03108435	2.50231	1.52268	0.519224	0	1.61552	1.56971	0.5095442	0.4904558	37.12872
1420	-49.4455	-45.886	-3.55953	0.486618	0.513382	0.02545333	3.13229	1.66414	0.452446	0	0.6945239	1.155985	0.5133816	0.4866184	14.32137
1430	-49.8316	-46.24	-3.59158	0.227825	0.772175	0.02567137	3.46544	1.41397	0.4455	0	0.7803775	1.351885	0.7721753	0.2278247	22.48459
