Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	m_b_simplex[1]	m_d_simplex[1]	m_d_simplex[2]	m_e[1]	m_e[2]	m_e_simplex[1]	m_e_simplex[2]	m_w[1]	m_w[2]	m_w_simplex[1]	m_w_simplex[2]	mu[1]	mu[2]	mu[3]	r_e[1]	r_e[2]	r_w[1]	r_w[2]	rho_b	rho_d	rho_e	rho_w
150	-1373.517	-1373.292	-0.224512	0.200486	0.13728	0.347921	1	0.434404	0.565596	0.332871	1.66713	0.166436	0.833564	1.18713	0.81287	0.593565	0.406435	0.00492933	0.0246877	0	0.00492933	0.0246877	0.196945	0.134855	0.01015487	0.03364877	0.01480853	0.1658998
160	-1375.837	-1375.622	-0.2152943	0.180248	0.134937	0.342346	1	0.538907	0.461093	1.03099	0.969006	0.515497	0.484503	1.14376	0.856239	0.57188	0.42812	0.0076984	0.00723554	0	0.0076984	0.00723554	0.178375	0.133535	0.02716154	0.02471067	0.007466969	0.1559552
170	-1373.238	-1372.928	-0.3099711	0.200847	0.116617	0.423109	1	0.257037	0.742963	1.65539	0.344605	0.827697	0.172303	1.26532	0.73468	0.63266	0.36734	0.00509382	0.00106039	0	0.00509382	0.00106039	0.193648	0.112438	0.1056451	0.0482058	0.003077106	0.153043
180	-1375.752	-1375.391	-0.3605073	0.202379	0.122203	0.464831	1	0.402605	0.597395	1.17814	0.821855	0.589072	0.410928	1.24701	0.752988	0.623506	0.376494	0.0125098	0.00872662	0	0.0125098	0.00872662	0.196108	0.118417	0.1402479	0.05237883	0.0106182	0.1572624
190	-1374.704	-1374.431	-0.2731164	0.187812	0.144344	0.351876	1	0.445621	0.554379	0.0473721	1.95263	0.023686	0.976314	1.13087	0.869132	0.565434	0.434566	0.0016941	0.0698291	0	0.0016941	0.0698291	0.186197	0.143102	0.0197204	0.0529847	0.03576161	0.1646497
200	-1374.589	-1374.347	-0.24233	0.174095	0.137196	0.330593	1	0.39301	0.60699	1.01208	0.987923	0.506038	0.493962	1.11853	0.881465	0.559267	0.440733	0.020014	0.0195364	0	0.020014	0.0195364	0.172868	0.136229	0.0193011	0.04870512	0.01977521	0.1545485
210	-1373.96	-1373.74	-0.2200934	0.175298	0.123736	0.313641	1	0.265374	0.734626	1.38165	0.618349	0.690825	0.309175	1.17243	0.82757	0.586215	0.413785	0.019609	0.00877587	0	0.019609	0.00877587	0.172672	0.121882	0.01460739	0.04401626	0.01419242	0.1472774
220	-1377.907	-1377.497	-0.409539	0.201618	0.127714	0.532171	1	0.413287	0.586713	1.56213	0.437869	0.781065	0.218935	1.22441	0.775594	0.612203	0.387797	0.0134303	0.00376456	0	0.0134303	0.00376456	0.196476	0.124457	0.2028395	0.03763584	0.008597451	0.1604662
230	-1375.188	-1374.916	-0.2718718	0.177696	0.128155	0.339553	1	0.386616	0.613384	0.782264	1.21774	0.391132	0.608868	1.16198	0.838024	0.580988	0.419012	0.021961	0.0341863	0	0.021961	0.0341863	0.17535	0.126463	0.03370157	0.05919022	0.02807368	0.1509064
240	-1377.34	-1376.964	-0.375884	0.201051	0.14014	0.448992	1	0.399723	0.600277	0.135605	1.86439	0.0678026	0.932197	1.17852	0.821476	0.589262	0.410738	0.00498721	0.0685676	0	0.00498721	0.0685676	0.197821	0.137889	0.1078011	0.06345043	0.0367774	0.1678551
250	-1378.388	-1378.101	-0.2869011	0.248329	0.136569	0.42072	1	0.549172	0.450828	0.797582	1.20242	0.398791	0.601209	1.29036	0.709636	0.645182	0.354818	0.0213337	0.0321622	0	0.0213337	0.0321622	0.23763	0.130685	0.03582215	0.0401736	0.02674795	0.1841574
260	-1374.265	-1374.01	-0.2549989	0.22565	0.113193	0.374665	1	0.3312	0.6688	0.65892	1.34108	0.32946	0.67054	1.33188	0.668117	0.665941	0.334059	0.0106776	0.0217317	0	0.0106776	0.0217317	0.21286	0.106778	0.03582215	0.04315325	0.01620465	0.1598189
270	-1374.32	-1374.094	-0.2264891	0.173665	0.104657	0.315934	1	0.370136	0.629864	0.572427	1.42757	0.286214	0.713786	1.24794	0.752058	0.623971	0.376029	0.00842513	0.0210114	0	0.00842513	0.0210114	0.168242	0.101389	0.03761139	0.03934365	0.01471825	0.1348158
280	-1375.558	-1375.246	-0.3111405	0.172058	0.128232	0.407492	1	0.486947	0.513053	0.292245	1.70775	0.146123	0.853877	1.14595	0.854054	0.572973	0.427027	0.00379932	0.0222015	0	0.00379932	0.0222015	0.170215	0.126859	0.1072019	0.04240103	0.01300043	0.1485372
290	-1374.539	-1374.295	-0.2439185	0.17713	0.100379	0.32498	1	0.198078	0.801922	1.2119	0.788095	0.605952	0.394048	1.27657	0.723428	0.638286	0.361714	0.0137069	0.00891352	0	0.0137069	0.00891352	0.170221	0.0964634	0.0474712	0.05179517	0.01131021	0.1333419
300	-1385.627	-1385.333	-0.2940361	0.164897	0.0751863	0.342082	1	0.480652	0.519348	1.77068	0.229323	0.885339	0.114661	1.37367	0.626335	0.686833	0.313167	0.0334656	0.00433418	0	0.0334656	0.00433418	0.152952	0.06974	0.1019986	0.06179142	0.01889991	0.1113463
310	-1373.127	-1372.91	-0.2163871	0.196395	0.10621	0.314437	1	0.324897	0.675103	1.6374	0.362604	0.818698	0.181302	1.29803	0.701971	0.649015	0.350985	0.02376	0.00526168	0	0.02376	0.00526168	0.18747	0.101383	0.01183308	0.04561678	0.01451082	0.1444264
320	-1374.072	-1373.843	-0.2284591	0.210525	0.0950473	0.336309	1	0.310299	0.689701	1.03741	0.962595	0.518703	0.481297	1.37791	0.622094	0.688953	0.311047	0.0141042	0.0130871	0	0.0141042	0.0130871	0.194913	0.087999	0.03073692	0.04267042	0.01359567	0.1414561
330	-1373.937	-1373.718	-0.2185246	0.190838	0.114037	0.328778	1	0.504435	0.495565	1.51724	0.482762	0.758619	0.241381	1.25191	0.748091	0.625955	0.374045	0.00867846	0.00276136	0	0.00867846	0.00276136	0.184684	0.11036	0.02390271	0.04138017	0.005719906	0.1475218
340	-1378.318	-1378	-0.3173024	0.205707	0.105795	0.441355	1	0.628015	0.371985	0.176037	1.82396	0.0880184	0.911982	1.32074	0.679255	0.660372	0.339628	0.00163544	0.0169452	0	0.00163544	0.0169452	0.194839	0.100205	0.1298535	0.03063683	0.009290332	0.1475218
350	-1374.944	-1374.673	-0.2711389	0.216788	0.157272	0.418864	1	0.378209	0.621791	0.392183	1.60782	0.196092	0.803908	1.15911	0.840892	0.579554	0.420446	0.00233563	0.00957527	0	0.00233563	0.00957527	0.214027	0.155269	0.04480381	0.0357321	0.00595545	0.1846476
360	-1374.795	-1374.555	-0.2396403	0.186124	0.140945	0.338602	1	0.277657	0.722343	0.145009	1.85499	0.0725045	0.927496	1.13813	0.861865	0.569067	0.430933	0.000927839	0.0118692	0	0.000927839	0.0118692	0.18434	0.139594	0.01153319	0.05974175	0.006398494	0.1619669
370	-1379.355	-1378.891	-0.4637907	0.231021	0.131062	0.56894	1	0.200536	0.799464	1.25106	0.748942	0.625529	0.374471	1.27607	0.723934	0.638033	0.361967	0.0306764	0.0183644	0	0.0306764	0.0183644	0.222044	0.125969	0.2068564	0.05840745	0.02452041	0.1740064
380	-1372.972	-1372.684	-0.288099	0.197936	0.140079	0.389137	1	0.257851	0.742149	1.1143	0.885699	0.55715	0.44285	1.17117	0.828833	0.585583	0.414417	0.0188817	0.0150081	0	0.0188817	0.0150081	0.195015	0.138012	0.05112074	0.05351965	0.01694489	0.1665137
390	-1375.534	-1375.242	-0.2920773	0.174028	0.175466	0.379178	1	0.284344	0.715656	0.248879	1.75112	0.124439	0.875561	0.995885	1.00412	0.497942	0.502058	0.00898542	0.0632218	0	0.00898542	0.0632218	0.174026	0.175464	0.02968428	0.05154412	0.03610359	0.1747453
400	-1375.746	-1375.457	-0.2891729	0.168731	0.135863	0.36623	1	0.480884	0.519116	0.232174	1.76783	0.116087	0.883913	1.10791	0.892093	0.553953	0.446047	0.00632741	0.0481783	0	0.00632741	0.0481783	0.167746	0.13507	0.06163588	0.04887629	0.02725288	0.1514079
410	-1372.986	-1372.772	-0.2140474	0.180872	0.129642	0.327142	1	0.329076	0.670924	0.878255	1.12174	0.439128	0.560872	1.16499	0.835015	0.582493	0.417507	0.00560645	0.0071608	0	0.00560645	0.0071608	0.178393	0.127865	0.01662821	0.03790659	0.006383625	0.153129
420	-1375.799	-1375.598	-0.2015302	0.192934	0.0997059	0.309268	1	0.53538	0.46462	1.63049	0.369508	0.815246	0.184754	1.31858	0.681424	0.659288	0.340712	0.00496758	0.00112577	0	0.00496758	0.00112577	0.182882	0.094511	0.01662821	0.04315912	0.003046676	0.1386962
