Iteration	Replicate_ID	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	p_invar	pi[1]	pi[2]	pi[3]	pi[4]	pop_size[1]	pop_size[2]	pop_size[3]	pop_size[4]	pop_size[5]	pop_size[6]	root_height
44	0	-1845.01	-1427.9	-417.104	0.0123083	0.644394	0.0762386	0.0581974	0.0805106	0.128351	16164.3	21084.8	24307.6	63868.5	inf	0.9558467	0.326179	0.241995	0.153352	0.278474	591050	450592	155061	791925	792506	175267	234319.2
45	1	-1850.13	-1431.88	-418.251	0.0249967	0.726869	0.0102245	0.037001	0.19643	0.00447956	7169.49	17469.8	34280.1	43865.9	inf	0.9146669	0.285112	0.289115	0.191519	0.234254	565012	249233	747369	392405	833773	648395	193719.7
46	0	-1840.35	-1422.08	-418.274	0.0430705	0.618911	0.0190557	0.0511886	0.154881	0.112893	7798.85	19557.4	27625.2	40368.1	inf	0.9558467	0.326179	0.241995	0.153352	0.278474	566284	470463	154860	791925	800949	183554	204067.7
47	1	-1843.79	-1427.1	-416.695	0.0185713	0.73024	0.0102719	0.0390757	0.197341	0.00450034	6730.55	12621.6	29010.3	54295.1	inf	0.9146669	0.279294	0.283216	0.187611	0.249879	549290	237707	720074	422305	828547	648395	186231.6
48	0	-1839.84	-1421.89	-417.945	0.048368	0.635933	0.0260172	0.0525965	0.108112	0.128973	8065.08	17662.5	26902.9	53422	inf	0.9558467	0.328593	0.243786	0.147088	0.280534	540962	501719	154860	748557	767999	175868	224203.5
49	1	-1848.7	-1428.51	-420.194	0.0181087	0.712051	0.0100161	0.0381024	0.217333	0.00438825	8323.61	15710.6	39203	71557.2	inf	0.9146669	0.279294	0.283216	0.187611	0.249879	546304	239586	750294	417929	838039	635548	231809.6
50	0	-1840.68	-1421.1	-419.583	0.0509296	0.660626	0.0170938	0.025059	0.11231	0.133981	6913.01	24260.4	31965.9	75142.3	inf	0.9558467	0.328593	0.243786	0.147088	0.280534	592121	490142	150385	719182	694484	178347	342080.3
51	1	-1853.37	-1430.77	-422.608	0.0175365	0.689549	0.0389786	0.0380641	0.210465	0.00540597	15702.7	22174.8	41721.6	75834.3	inf	0.9146669	0.287452	0.280403	0.185319	0.246826	559996	232906	748706	446696	825507	597851	243249.2
52	0	-1840.13	-1422.24	-417.885	0.0440683	0.702866	0.0182719	0.021683	0.0971796	0.115931	11071.8	20683.9	27253.5	74183.8	inf	0.9558467	0.328593	0.243786	0.147088	0.280534	584009	511345	158010	683394	670159	178347	181966
53	1	-1844.09	-1422.98	-421.113	0.00769977	0.840517	0.0201981	0.0197242	0.10906	0.00280129	15741	19467.1	39278.8	71394.2	inf	0.9146669	0.321661	0.26294	0.178137	0.237261	559996	231327	760452	440512	806046	566464	232555.5
54	0	-1833.14	-1420.45	-412.688	0.0466417	0.74391	0.0219985	0.0229492	0.102854	0.0616464	7559.88	15451.3	19561.5	55132.3	inf	0.9558467	0.328593	0.243786	0.147088	0.280534	590551	544382	150948	654411	601524	170396	157674.5
55	1	-1847.25	-1424.22	-423.031	0.00679398	0.856654	0.0217532	0.0128867	0.0994402	0.00247175	18506.9	22535.2	45908.6	83939	inf	0.9146669	0.321661	0.26294	0.178137	0.237261	541736	231327	783582	435201	806046	567091	313751.9
