Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_invar	pi[1]	pi[2]	pi[3]	pi[4]	pop_size	root_height
86	-1725.63	-1402.57	-323.059	0.0255796	0.578407	0.024728	0.0899729	0.271037	0.0102753	0.1142784	0.313151	0.254672	0.145323	0.286855	97607.95	136040.9
87	-1718.86	-1402.1	-316.762	0.038614	0.57146	0.028296	0.102955	0.246917	0.0117579	0.1142784	0.313151	0.254672	0.145323	0.286855	95237.14	114352.9
88	-1731.78	-1404.49	-327.295	0.0329912	0.581534	0.0174687	0.10477	0.25127	0.0119652	0.1142784	0.364975	0.235456	0.134358	0.265211	93951.57	184977.6
89	-1718.38	-1405.01	-313.362	0.0222109	0.57634	0.0367306	0.103834	0.249026	0.0118583	0.1142784	0.364975	0.235456	0.134358	0.265211	67929.34	132245.2
90	-1717.95	-1403.85	-314.099	0.0266177	0.659134	0.0470845	0.0782983	0.171744	0.017122	0.1142784	0.333829	0.251222	0.143354	0.271595	83400.98	136313.1
91	-1719.22	-1400.43	-318.788	0.00941603	0.594768	0.0234717	0.0220605	0.336982	0.0133022	0.1142784	0.329923	0.259983	0.141677	0.268417	84099.63	215863.4
92	-1711.38	-1399.58	-311.8	0.00718383	0.685668	0.0268129	0.0168308	0.257095	0.00640957	0.1142784	0.315416	0.254538	0.138117	0.29193	45777	115709.9
93	-1710.69	-1396.01	-314.677	0.00712763	0.680304	0.0266031	0.0166991	0.262907	0.00635943	0.1142784	0.322706	0.26042	0.141309	0.275565	58166.09	166055.8
94	-1712.63	-1396.97	-315.663	0.0100055	0.677501	0.0264935	0.0166303	0.261824	0.00754557	0.1142784	0.322706	0.26042	0.141309	0.275565	60077.31	166055.8
95	-1712.46	-1399.96	-312.507	0.00989867	0.670268	0.0249099	0.0164527	0.271006	0.00746502	0.1142784	0.322706	0.26042	0.141309	0.275565	67774.83	85483.42
96	-1720.59	-1396.78	-323.814	0.00754583	0.734175	0.0299769	0.0160223	0.20659	0.00569064	0.1142784	0.322574	0.260314	0.141251	0.275862	91154.24	138661.9
97	-1712.24	-1398.42	-313.82	0.00754583	0.734175	0.0299769	0.0160223	0.20659	0.00569064	0.1142784	0.322574	0.260314	0.141251	0.275862	80325.07	121005
98	-1727.36	-1404.16	-323.194	0.0280739	0.626095	0.0401386	0.0214536	0.27662	0.00761966	0.1142784	0.322574	0.260314	0.141251	0.275862	76577.24	94503.86
99	-1719.76	-1403.77	-315.987	0.0257325	0.573877	0.0510199	0.0196643	0.322723	0.00698416	0.1142784	0.323637	0.257876	0.141716	0.276771	53364.29	97259.88
100	-1718.06	-1405.62	-312.44	0.0241498	0.538581	0.0478819	0.0184549	0.364378	0.00655461	0.1142784	0.323637	0.257876	0.141716	0.276771	57357.24	106635.4
101	-1717.44	-1406.82	-310.613	0.0133152	0.737603	0.0399392	0.0252745	0.174891	0.00897673	0.05420788	0.282982	0.268555	0.144926	0.303538	78016.61	140193
102	-1724.64	-1402.15	-322.491	0.0127119	0.704181	0.0381295	0.0241293	0.212278	0.00856999	0.1008682	0.303941	0.270815	0.15566	0.269584	89006.8	160402.8
103	-1725.82	-1405.41	-320.412	0.0122669	0.679534	0.0717962	0.0232848	0.204848	0.00827003	0.1008682	0.315566	0.242926	0.161613	0.279895	77187.27	118826.4
104	-1712.8	-1408.32	-304.48	0.00808519	0.654431	0.0519459	0.0122238	0.228109	0.0452046	0.1008682	0.330621	0.254515	0.121615	0.293249	46656.85	65613.51
105	-1720.6	-1405.26	-315.334	0.00811483	0.656831	0.0484695	0.0122686	0.228946	0.0453704	0.1008682	0.319663	0.279224	0.117584	0.283529	75142.16	125998.9
106	-1728.39	-1406.58	-321.815	0.00864665	0.612911	0.0293956	0.00983391	0.290869	0.0483438	0.1008682	0.319663	0.279224	0.117584	0.283529	74322.05	140069.5
107	-1725.56	-1406.98	-318.583	0.00746711	0.665716	0.0253856	0.0084924	0.25119	0.0417489	0.1008682	0.322081	0.281336	0.110909	0.285674	69568.55	146050.1
108	-1718.35	-1409.41	-308.939	0.00817969	0.729245	0.0278081	0.00930283	0.159112	0.0663522	0.1008682	0.322081	0.281336	0.110909	0.285674	45132.9	88825.05
109	-1731.9	-1404.26	-327.636	0.00957778	0.771393	0.0294153	0.00984049	0.134244	0.0455302	0.1008682	0.313603	0.273931	0.13431	0.278155	100527.2	177611
