Iteration	Replicate_ID	Posterior	Likelihood	Prior	pop_size[1]	pop_size[2]	pop_size[3]	pop_size[4]	pop_size[5]	pop_size[6]
139	1	-1821.01	-1408.47	-412.532	478726	208549	422834	265329	733510	431556
140	0	-1801.26	-1395.62	-405.64	347160	628445	108162	855912	367030	199251
141	1	-1825.52	-1409.34	-416.172	478726	208549	401782	275286	718747	421579
142	0	-1804.54	-1397.23	-407.314	356967	616097	103572	746443	351383	174132
143	1	-1825.9	-1412.2	-413.697	504564	208802	403168	275286	709615	430585
144	0	-1803.31	-1396.67	-406.642	365551	633920	103634	705895	336793	179437
145	1	-1823.67	-1411.73	-411.935	529010	205471	375374	271186	704243	435671
146	0	-1795.59	-1392.3	-403.288	350423	602254	105461	701181	336793	179437
147	1	-1825.13	-1412.17	-412.964	563723	208848	358698	261060	704243	435219
148	0	-1802.13	-1394.7	-407.434	343318	605174	102738	727353	357338	175362
149	1	-1830.34	-1419.96	-410.382	565926	208848	356443	245129	722929	440581
150	0	-1811.73	-1401.43	-410.302	334724	605174	101756	773270	371372	163136
151	1	-1828.25	-1414.74	-413.505	573438	216418	371476	246119	654580	436174
152	0	-1818.75	-1404.63	-414.115	365212	635154	101756	744152	401878	163889
153	1	-1828.59	-1410.58	-418.016	583765	216418	345541	258420	643502	422636
154	0	-1800.59	-1395.01	-405.584	366115	644984	101756	699062	370753	169956
155	1	-1824.64	-1411.15	-413.493	605179	222378	373148	262671	668221	433711
156	0	-1796.74	-1391.37	-405.372	388527	671872	93346.9	727788	370753	157560
157	1	-1822.26	-1412.14	-410.12	546889	219752	367058	265296	643172	423491
158	0	-1809.32	-1397.64	-411.677	376216	701954	91902.2	746590	373044	161132
159	1	-1819	-1409.22	-409.778	546889	219753	366469	269091	625234	436189
160	0	-1796.71	-1392.62	-404.089	381893	720981	92223.3	746590	388688	147507
161	1	-1815.3	-1407.72	-407.581	555578	204433	381614	262959	583943	414650
162	0	-1801.48	-1394.06	-407.423	404630	720981	92223.3	796220	375483	143312
163	1	-1822.84	-1409.62	-413.214	542786	209031	381614	261210	594393	417149
164	0	-1812.3	-1399.93	-412.372	386084	688244	86814.8	785056	393399	133700
165	1	-1818.47	-1407.58	-410.886	599305	209031	404388	249111	594393	439456
166	0	-1808.71	-1396.01	-412.698	381526	688244	86814.8	828756	392198	134437
167	1	-1817.58	-1407.28	-410.301	534815	203360	409045	237451	612634	454202
168	0	-1816.35	-1400.87	-415.482	395064	720669	86814.8	870261	392198	116562
169	1	-1820.14	-1409.74	-410.397	532284	188347	413519	242831	610889	435633
170	0	-1812.5	-1401.71	-410.798	395064	703866	85943	887965	332244	113947
171	1	-1820.65	-1407.7	-412.951	535465	190102	429093	245325	615357	414181
172	0	-1820.6	-1406.61	-413.99	406711	713337	83529.3	858770	317304	120517
173	1	-1820.13	-1407.82	-412.305	518948	195605	429093	267635	617127	410092
174	0	-1820.41	-1406.65	-413.761	395427	683125	89076.9	858770	327803	115524
175	1	-1820.8	-1408.27	-412.525	507303	205778	424110	278839	620386	393397
176	0	-1822.17	-1407.76	-414.411	394906	683125	92459.9	858770	319673	115524
177	1	-1819.77	-1409.75	-410.018	507303	193252	454307	278839	632451	363145
178	0	-1814.75	-1402.48	-412.272	367695	687541	95516	858770	332430	118857
179	1	-1824.87	-1408.28	-416.585	532502	192658	444115	278839	662514	363145
180	0	-1812.41	-1400.94	-411.465	377636	715893	96247.7	827723	332430	121207
181	1	-1817.56	-1406.28	-411.28	558751	183867	444115	295926	695313	363145
182	0	-1810.74	-1398.8	-411.934	373386	731211	101057	825839	334365	122185
183	1	-1823.47	-1407.8	-415.662	564880	184390	450424	295926	695313	363898
184	0	-1812.85	-1401.26	-411.595	389010	725560	97573.7	856508	334365	122185
185	1	-1819.44	-1408.89	-410.557	564880	177633	456772	291512	658276	363898
186	0	-1810.83	-1400.72	-410.111	389010	725560	100137	844098	335189	122185
187	1	-1820.02	-1411.23	-408.781	559599	176844	521293	271153	642562	363898
188	0	-1813.93	-1402.22	-411.712	367846	749312	93672.9	813535	335189	116556
189	1	-1814.38	-1404.78	-409.602	555508	174716	521293	271153	595386	354029
190	0	-1801.67	-1394.52	-407.146	367846	813396	97158.9	813535	341531	114725
191	1	-1822.58	-1410.01	-412.57	555508	169123	502793	271153	600996	354029
192	0	-1802.63	-1394.89	-407.735	384971	813396	97158.9	831655	322562	114725
193	1	-1815.89	-1406.99	-408.905	548664	165764	502793	283600	600996	357235
194	0	-1811.58	-1398.68	-412.903	402863	865575	95591.9	846438	317880	114725
195	1	-1821.72	-1412.45	-409.27	514439	157692	513464	290075	585759	372876
