Iteration	Replicate_ID	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]
250	0	-1795.4	-1396.59	-398.81	1283.85	11763.8	15619.2	55374.3	inf
251	1	-1821.78	-1409.79	-411.991	4652.85	10648.3	26033.4	47340.3	inf
252	0	-1796.47	-1394.63	-401.837	1393.84	5623.08	15076.6	47478	inf
253	1	-1819.73	-1409.35	-410.388	3695.25	12759.3	23241.3	43820.2	inf
254	0	-1794.13	-1393.17	-400.96	3856.21	10929.9	15188.4	39321	inf
255	1	-1821.52	-1410.53	-410.992	9264.18	15475.6	29471	46582	inf
256	0	-1794.94	-1394.01	-400.931	4338.54	9453.18	14954.1	39321	inf
257	1	-1813.28	-1406.87	-406.415	3660.62	4812.45	27177.2	49766.9	inf
258	0	-1794	-1392.59	-401.41	1925	9608.26	19408.9	39321	inf
259	1	-1814.25	-1407.39	-406.862	2754.77	5727.3	27177.2	41397.2	inf
260	0	-1797.83	-1392.62	-405.215	4137.91	12337	19797.8	36418.5	inf
261	1	-1813.92	-1406.96	-406.963	3683.9	7049.15	32180.6	50721.2	inf
262	0	-1789.46	-1392.4	-397.06	3861.05	11238.5	13526.8	35362.7	inf
263	1	-1809.45	-1405.6	-403.854	1445.29	5916.1	19868.6	24416.8	inf
264	0	-1794.96	-1395.18	-399.771	1884.45	8810.61	13569.2	36071	inf
265	1	-1818.89	-1409.71	-409.181	2983.58	10385.2	24277.6	37947.8	inf
266	0	-1794.19	-1394.67	-399.518	1306.48	10733.5	13175	37170.9	inf
267	1	-1814.36	-1406.81	-407.551	5265.33	9475.41	24218	38946.7	inf
268	0	-1794.38	-1393.46	-400.921	3576.51	12115.4	17860.6	36161	inf
269	1	-1809.84	-1405.11	-404.725	4508.45	8580.5	18467.4	24553.2	inf
270	0	-1790.9	-1391.96	-398.941	2217.99	11388	16284	29934.5	inf
271	1	-1809.63	-1405.51	-404.122	1997.29	5126.55	19105.1	27925.8	inf
272	0	-1796.49	-1396.16	-400.326	2736.06	11490	17898.6	36926.4	inf
273	1	-1810.81	-1405.34	-405.47	2742.32	6357.9	20849.4	39323.4	inf
274	0	-1798.56	-1398.84	-399.721	3970.51	11280.2	15044.4	35373.8	inf
275	1	-1814.44	-1406.48	-407.956	3751.18	13848.6	20283.2	37110.2	inf
276	0	-1796.36	-1398.01	-398.344	3970.51	12271.8	15044.4	36816.5	inf
277	1	-1812.35	-1408.37	-403.979	2496.69	4856.41	20283.2	27553.1	inf
278	0	-1807.06	-1401	-406.059	5678.84	17068.6	22287.5	55470	inf
279	1	-1818.13	-1411.42	-406.705	3642.6	10254.8	18126.4	26658	inf
280	0	-1790.71	-1393.93	-396.779	2194.99	11607.3	13673.8	35127.8	inf
281	1	-1823.09	-1414.21	-408.887	5046.71	9821.76	26092.1	37305.9	inf
282	0	-1800	-1394.84	-405.157	2103.18	17380.1	22152.6	72871.3	inf
283	1	-1817.31	-1410.17	-407.142	6795.59	11961.7	20445.1	27885.4	inf
284	0	-1802.7	-1395.83	-406.871	1731.51	19043.8	23054.8	81200.2	inf
285	1	-1828.19	-1416.61	-411.578	8187.25	16788.8	26941.7	36415.8	inf
286	0	-1794.17	-1393.13	-401.042	1701.38	14528.5	17588.4	52277.2	inf
287	1	-1831.16	-1419.39	-411.767	11050.2	16788.8	27663.6	41862.3	inf
288	0	-1798.19	-1393.31	-404.886	1870.9	13243.6	19340.8	57485.7	inf
289	1	-1827.13	-1416.43	-410.703	8484.35	14289.2	23351.3	37085.6	inf
290	0	-1792.73	-1390.55	-402.181	1046.07	13243.1	18150.5	53845.7	inf
291	1	-1821.43	-1411.84	-409.59	8055.93	14289.2	24407.5	35480.9	inf
292	0	-1787.21	-1390.73	-396.481	3281.24	10824.3	12531.6	39162.8	inf
293	1	-1823.17	-1411.39	-411.78	11578.9	15312.6	30142.2	43478.3	inf
294	0	-1802.62	-1401.83	-400.794	4121.55	13251.2	16777.3	54579.1	inf
295	1	-1824.53	-1412.59	-411.936	5588.94	14220.6	28042.4	43476.2	inf
296	0	-1798.08	-1398.53	-399.55	4992.25	14057.9	15882.1	46738	inf
297	1	-1815.95	-1408.78	-407.168	5057.35	11421.7	17815.7	29325	inf
298	0	-1797.37	-1397.42	-399.955	5609.16	13902.1	16034	46220.2	inf
299	1	-1814.77	-1412.66	-402.109	3533.75	7746.13	20227	28228.5	inf
300	0	-1799.03	-1400.24	-398.794	4034.28	14795.2	16949.6	46220.2	inf
301	1	-1819.56	-1411	-408.563	7212.77	13436.2	33334.2	41169.2	inf
302	0	-1805.15	-1401.98	-403.166	3060.21	19144.2	22969.2	63648.5	inf
303	1	-1817.21	-1409.72	-407.483	6303.14	11928.8	33201.4	41005.2	inf
304	0	-1798.42	-1398.85	-399.565	2604.04	16290.5	19545.2	51167.9	inf
305	1	-1816.37	-1409.18	-407.191	5809.54	9649.51	29018.3	41646.4	inf
306	0	-1802.4	-1398.38	-404.019	4757.85	19584.2	23274	52089.7	inf
307	1	-1818.42	-1414.11	-404.313	2225.34	7715.96	29018.3	41646.4	inf
308	0	-1798.79	-1397.41	-401.384	1463.74	6619.96	14935.5	34397.4	inf
309	1	-1809.17	-1408.65	-400.523	5627.54	7497.84	25169.2	30864.5	inf
310	0	-1803.68	-1399.76	-403.921	2858.57	19007.8	24970.9	54461.4	inf
311	1	-1825.78	-1416.62	-409.167	5437.41	14219.2	41139.9	47426.8	inf
312	0	-1807.15	-1402.19	-404.966	7829.64	19491.1	21248.2	49232.1	inf
313	1	-1806.74	-1409.05	-397.69	2125.28	6077.11	21326.1	24104.5	inf
314	0	-1807.44	-1402.08	-405.359	7248.04	16685.5	22027.8	38072.1	inf
315	1	-1812.59	-1408.6	-403.991	4516.95	10281.9	33593.2	39398.3	inf
316	0	-1809.44	-1405.19	-404.242	6012.11	18607.6	22027.8	38072.1	inf
