Iteration	Posterior	Likelihood	Prior	pop_size[1]	pop_size[2]	pop_size[3]	pop_size[4]	pop_size[5]	pop_size[6]
198	-1828.92	-1413.34	-415.58	310449	141276	694135	124156	257052	883883
199	-1815.42	-1409.72	-405.707	287881	132993	673478	119386	226340	883883
200	-1812.48	-1406.08	-406.397	283969	144312	753317	119386	226340	864193
201	-1809.52	-1408.84	-400.679	249506	196787	646280	122244	170870	864193
202	-1819.84	-1410.67	-409.165	284106	178241	672815	134302	195417	864193
203	-1807.96	-1406.18	-401.782	332695	184018	583848	142304	213627	746509
204	-1810.16	-1407.25	-402.914	332695	155446	583848	124462	197614	638768
205	-1811.54	-1409.22	-402.32	284809	153530	583848	128070	187828	638768
206	-1808.66	-1408.86	-399.797	360738	153530	527058	118795	138873	627589
207	-1809.66	-1406.59	-403.072	301408	184872	616533	118795	138834	579197
208	-1801.49	-1404.57	-396.925	301408	193087	722460	113755	152420	579197
209	-1800.85	-1401.83	-399.016	321011	170589	609402	123855	130336	677693
210	-1809.65	-1408.86	-400.787	311775	167512	609402	123855	142764	681439
211	-1813.79	-1411.11	-402.673	279666	170660	578820	130188	132773	656324
212	-1820.29	-1416.53	-403.766	248118	134270	731879	114166	112110	557586
213	-1812.02	-1410	-402.019	248118	134270	795289	131358	101612	557586
214	-1814.3	-1414.75	-399.547	238256	108673	928771	166030	96133.2	654556
215	-1817.84	-1421.81	-396.035	207946	139301	858336	157291	111201	954902
216	-1817.91	-1417.33	-400.579	232674	139301	811384	153674	118509	987435
217	-1818.91	-1414.66	-404.247	232674	146678	811384	153674	118509	699799
218	-1816.26	-1414.28	-401.988	217158	178150	963745	153674	112213	689050
219	-1812.54	-1410.29	-402.249	220235	181207	853507	139317	92671.8	640836
220	-1802.19	-1402.68	-399.512	193088	168842	795941	148212	100002	874047
221	-1804.8	-1405.7	-399.099	160258	151838	795941	161726	100002	947546
222	-1802.16	-1405.9	-396.262	210925	139856	858782	140697	100002	947546
223	-1807.73	-1409.5	-398.231	210925	116474	858782	209588	95313.4	882555
224	-1805.16	-1403.39	-401.765	197389	116474	755786	183952	88506.6	933115
225	-1808.87	-1407.55	-401.32	197389	116474	755786	216706	83442.2	948688
226	-1804.85	-1403.04	-401.807	211885	122616	759049	182882	75982.5	948688
227	-1800.81	-1401.49	-399.325	183562	145112	764644	148788	83508.3	992359
228	-1802.61	-1404.89	-397.727	183562	150981	764644	166300	80100.4	889970
229	-1800.94	-1403.75	-397.193	182246	135965	761988	205462	80100.4	879348
230	-1800	-1405.71	-394.287	196124	96928	741514	183596	80100.4	879348
231	-1809.73	-1410.65	-399.081	211463	139960	596829	183596	70714	879348
232	-1811.78	-1415.61	-396.169	183931	119775	596829	156605	81649.5	775872
233	-1816.81	-1413.61	-403.201	216212	94583.8	569559	198748	81649.5	644292
234	-1817.63	-1416.24	-401.393	209827	88067.1	551379	153811	105000	663419
235	-1816.07	-1417.96	-398.113	209827	80222.1	486752	191110	122450	738348
236	-1800.67	-1405.65	-395.013	220253	66200.9	455679	174360	100704	863826
237	-1794.38	-1404.37	-390.009	196358	72140	427685	174360	86516.5	967894
238	-1795.46	-1404.84	-390.627	241469	75121.2	411795	174149	79063.8	967894
239	-1800.53	-1406.37	-394.161	261813	72757.5	411795	190105	79063.8	875845
240	-1807.12	-1406.26	-400.859	259471	65349.1	411795	181975	79063.8	983923
241	-1800.96	-1404.32	-396.643	259471	57847.1	416831	213982	67694.5	983923
242	-1807.88	-1399.02	-408.86	259471	59336.8	418437	213982	67694.5	956537
243	-1792.93	-1399.31	-393.62	320792	71738.8	402203	232412	67694.5	840434
244	-1796.8	-1402.63	-394.167	358796	81799.9	370307	254732	79155	934093
245	-1799.67	-1404.9	-394.764	318538	81799.9	309603	249205	92342.9	964936
246	-1812.97	-1406.54	-406.428	377574	81799.9	298860	249205	84437.6	964936
247	-1808.92	-1409.44	-399.479	353657	81799.9	286977	281741	91572.5	903195
