Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
340	-15805	-15818.3	13.3086	0.127949	0.109568	0.0845321	0.091402	0.114027	0.0795951	0.118614	0.0761774	0.0929723	0.152326	0.0682447	0.0878893	0.0831569	0.122336	0.128598	0.130496	0.126618	0.117977	0.110946	0.0705301	0.108189	0.0804462	0.1583	0.0574024	0.0288979	0.0326431	0.0339789	0.0600523	0.020204	0.0293338	0.0433213	0.0305766	0.0190966	0.0260788	0.0437774	0.0827231	0.0375334	0.01578	0.0181371	0.0263141	0.0313231	0.0223849	0.0575966	3.158044
350	-15806.4	-15819.3	12.8697	0.109797	0.0855549	0.0856299	0.122862	0.116176	0.0879248	0.133166	0.0846278	0.088952	0.159163	0.106406	0.0803499	0.0898331	0.0875875	0.118606	0.112071	0.122674	0.121336	0.111781	0.0824713	0.0759961	0.0804462	0.200272	0.0353961	0.0226043	0.0249876	0.0576278	0.0490001	0.0313359	0.0325527	0.0342228	0.0295424	0.0373059	0.0291835	0.0299959	0.0867903	0.0272779	0.0133211	0.0366942	0.0306137	0.0389405	0.0369516	0.0539122	3.201939
360	-15805.6	-15819.7	14.1569	0.120466	0.114486	0.0925571	0.0935934	0.118344	0.0700449	0.11456	0.0627709	0.100152	0.17798	0.0695798	0.0785345	0.0802313	0.0989853	0.0997508	0.117866	0.115148	0.127988	0.103518	0.0814606	0.0639642	0.0901091	0.158648	0.0374854	0.0294968	0.0324558	0.0460086	0.0297808	0.0440855	0.0258674	0.0276394	0.0354521	0.0228259	0.0291835	0.0389886	0.0673626	0.0382201	0.0160882	0.0283431	0.0296124	0.0601889	0.0300184	0.0533777	3.073219
370	-15811.2	-15823.5	12.3264	0.122141	0.118928	0.126617	0.0994698	0.105166	0.0732262	0.118762	0.0894393	0.10367	0.174807	0.0740207	0.0742493	0.114032	0.100612	0.0890685	0.138228	0.142655	0.118849	0.0914178	0.0815031	0.0775375	0.061209	0.187725	0.0540565	0.0499559	0.0309389	0.0522865	0.0449988	0.022683	0.0234061	0.0266628	0.0263361	0.0202892	0.0321075	0.038204	0.0827013	0.0342325	0.0377342	0.0384217	0.0200793	0.0498904	0.035191	0.0527548	3.256263
380	-15800.7	-15812.5	11.8209	0.126387	0.0988014	0.0874845	0.10902	0.133252	0.0875784	0.125799	0.0784602	0.0969402	0.162735	0.0814531	0.0763265	0.107582	0.0870887	0.114446	0.130853	0.142111	0.102605	0.133781	0.076601	0.0900315	0.0949602	0.195249	0.0590706	0.0348234	0.0239308	0.0522865	0.0527955	0.0155945	0.0320694	0.034643	0.0432163	0.0308129	0.0243682	0.0409038	0.0892594	0.0461138	0.030221	0.0249449	0.0212823	0.0488754	0.0220963	0.0399646	3.306818
390	-15813.7	-15826	12.2832	0.110402	0.0896831	0.101554	0.100569	0.12947	0.0851278	0.113812	0.0817823	0.0893442	0.180335	0.0882067	0.0943541	0.095707	0.104712	0.0934458	0.147382	0.115191	0.0999153	0.121028	0.0770142	0.0950174	0.112027	0.189973	0.0534511	0.0383918	0.0397209	0.0432123	0.0241115	0.0137675	0.0320495	0.0173992	0.0469896	0.0222698	0.0500849	0.0414383	0.0689631	0.0423479	0.0305531	0.0246194	0.0123312	0.0673133	0.0300938	0.0454314	3.260592
400	-15810.2	-15822.3	12.0379	0.114011	0.0800394	0.105353	0.123023	0.0853831	0.0882304	0.146185	0.0780212	0.108009	0.162366	0.0846646	0.112491	0.121014	0.112387	0.10385	0.121846	0.135835	0.119162	0.134231	0.07792	0.0755739	0.0822986	0.177538	0.0474815	0.0383918	0.0246724	0.0532442	0.0544491	0.0247875	0.0229603	0.0182688	0.03374	0.0158812	0.0377944	0.043904	0.087234	0.0305253	0.0216343	0.0379262	0.012824	0.0604242	0.0241126	0.0454314	3.285119
410	-15800.9	-15813.5	12.6053	0.117011	0.0995349	0.0850566	0.110064	0.110106	0.0703422	0.122577	0.0814031	0.118701	0.145199	0.0886109	0.076397	0.0980818	0.116193	0.0949547	0.137311	0.134252	0.136326	0.13041	0.0740918	0.109005	0.0707401	0.165744	0.0389467	0.0449642	0.0300491	0.0328624	0.0577536	0.020662	0.0268671	0.0307197	0.0383503	0.0232477	0.0375081	0.0301592	0.0866249	0.0329224	0.0216343	0.0453614	0.0175806	0.0395811	0.0334093	0.0470681	3.228382
420	-15795.8	-15808.5	12.7741	0.123582	0.124233	0.102759	0.113509	0.115736	0.0690083	0.126491	0.0686423	0.105875	0.147995	0.0682546	0.0898695	0.0900761	0.0988313	0.113782	0.136641	0.126208	0.115499	0.108531	0.0866366	0.0961347	0.0835988	0.173549	0.0511987	0.0362202	0.0246243	0.0576849	0.0481351	0.0188414	0.0233198	0.03001	0.0361667	0.0248771	0.0355545	0.0342678	0.071505	0.0312202	0.0178736	0.0312927	0.0144369	0.0454665	0.0282669	0.0650917	3.211497
430	-15798.5	-15811.1	12.609	0.141765	0.0822693	0.0989033	0.108467	0.100548	0.0949926	0.132947	0.079423	0.0957329	0.171822	0.0762223	0.0845739	0.093284	0.0817513	0.109296	0.129317	0.139199	0.108399	0.10538	0.0759202	0.0904275	0.0884815	0.190489	0.0383977	0.0466713	0.04437	0.0432594	0.0585908	0.0282388	0.0252341	0.0284877	0.0302435	0.0204692	0.0221741	0.0389778	0.068532	0.0523584	0.0193289	0.0291505	0.0280625	0.0454665	0.0239975	0.056384	3.228006
440	-15801.5	-15814.5	12.9644	0.139087	0.106373	0.108135	0.105632	0.121048	0.0720857	0.116886	0.076706	0.100246	0.169434	0.0823413	0.0708114	0.083856	0.074615	0.102108	0.138185	0.109048	0.123875	0.110973	0.0815425	0.0945694	0.0757838	0.181912	0.0511323	0.0396929	0.02497	0.0418944	0.0610832	0.0183816	0.0376483	0.0251542	0.0324416	0.0267283	0.0288314	0.0497916	0.0771368	0.040351	0.0359602	0.0386826	0.00906569	0.0418751	0.0334088	0.0329844	3.192469
450	-15799.1	-15812	12.9245	0.119589	0.101917	0.112687	0.108337	0.12352	0.0889494	0.112257	0.0673823	0.0950188	0.165854	0.0781793	0.086897	0.0889806	0.100644	0.117237	0.114208	0.121883	0.112598	0.119193	0.0809067	0.101192	0.0894418	0.190566	0.0503776	0.0418043	0.0140629	0.0418944	0.0584768	0.0238502	0.0335569	0.0289508	0.029736	0.02298	0.0257228	0.023417	0.0613957	0.0455896	0.0182104	0.0352293	0.0289494	0.0466001	0.0324094	0.0358033	3.196455
460	-15803.5	-15817	13.4551	0.120234	0.0953583	0.0987795	0.0901352	0.11694	0.0704617	0.118861	0.0704373	0.0828375	0.192939	0.0732391	0.0896684	0.0935393	0.0859569	0.11507	0.130915	0.131554	0.124401	0.109169	0.0614865	0.0881897	0.0894418	0.178089	0.046774	0.0456147	0.0201662	0.0459935	0.0646115	0.0238502	0.0298087	0.0298819	0.02762	0.0243423	0.0220653	0.0396328	0.0838931	0.0421789	0.0185938	0.0365727	0.0164976	0.0305249	0.030617	0.0364536	3.143394
470	-15802	-15815.5	13.5464	0.136078	0.0788925	0.0887731	0.10761	0.105911	0.0930518	0.104875	0.075782	0.102107	0.173389	0.0840579	0.0731206	0.0833657	0.111364	0.0879224	0.136887	0.125235	0.106508	0.116576	0.0995713	0.0847277	0.086954	0.177103	0.0446971	0.0368168	0.0282041	0.0468986	0.0467549	0.0288734	0.0262972	0.0298819	0.0289237	0.0270382	0.031657	0.0379606	0.0548236	0.0282179	0.0259903	0.0365727	0.0207822	0.0377021	0.0284433	0.0478726	3.13427
