Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
350	-5399.02	-5421.94	22.9158	0.0867153	0.0583208	0.0570718	0.061128	0.0915267	0.0489358	0.063132	0.0376945	0.113047	0.0746049	0.0495839	0.0300383	0.0929666	0.0700394	0.0800449	0.0634502	0.0717088	0.0500892	0.0430693	0.0190386	0.0341423	0.0383639	0.125988	0.0414337	0.0201948	0.0493421	0.0114728	0.0592602	0.0233136	0.0547636	0.0124872	0.0251213	0.0124935	0.0249524	0.0165232	0.0345745	0.0352722	0.0525361	0.0263571	0.0495796	0.0907947	0.03902	0.0571329	2.197326
360	-5391.45	-5413.92	22.4664	0.097245	0.0605966	0.079684	0.0699106	0.0708486	0.0549335	0.0937764	0.0461777	0.0958554	0.0697069	0.0420947	0.0106897	0.100887	0.0480789	0.0733016	0.102838	0.0821667	0.0486735	0.0791449	0.0404798	0.0397656	0.0341165	0.169659	0.021649	0.0215988	0.0387091	0.0200277	0.0336573	0.0255195	0.0251947	0.0164516	0.0363896	0.0127735	0.0349112	0.019691	0.0135361	0.0286658	0.0748071	0.0145933	0.0287019	0.062049	0.00787255	0.0948364	2.242266
370	-5394.16	-5415.49	21.3254	0.127247	0.0661791	0.0816679	0.0685036	0.0708486	0.0553346	0.0952504	0.063153	0.120873	0.0823084	0.0571699	0.0132787	0.089212	0.0918785	0.0887102	0.105161	0.104984	0.0722846	0.0783626	0.0343771	0.0239205	0.0143927	0.149538	0.0625531	0.012489	0.0213969	0.00923213	0.0140753	0.0421776	0.0568127	0.0246926	0.0197065	0.0250077	0.0339819	0.0118921	0.0157347	0.0306894	0.0597282	0.0234754	0.0477013	0.0548386	0.00684074	0.0287114	2.356372
380	-5388.61	-5411.94	23.3268	0.106346	0.0536418	0.068272	0.0454789	0.0630852	0.0471105	0.0831152	0.05875	0.0927379	0.0797197	0.0385325	0.016021	0.0704246	0.0488313	0.0592417	0.0975838	0.0873346	0.0961626	0.0625377	0.0277909	0.043369	0.0170659	0.122343	0.0483184	0.013239	0.0292218	0.0086894	0.0170075	0.0359588	0.026794	0.0269688	0.0258346	0.0205612	0.0192819	0.0273144	0.0328351	0.0674273	0.0502676	0.0330123	0.0249044	0.0798781	0.0228213	0.0603943	2.156226
390	-5391.53	-5413.04	21.5085	0.0894973	0.0588877	0.0996168	0.0642195	0.0743878	0.0858802	0.0975152	0.0693951	0.0776983	0.120586	0.0423924	0.0258201	0.082042	0.0784553	0.0726658	0.0693224	0.0847585	0.0446108	0.0879908	0.0344049	0.0530846	0.0249788	0.124639	0.0663809	0.0343094	0.0396148	0.0200077	0.0129517	0.0162871	0.0598506	0.0197059	0.0126181	0.0302725	0.0191458	0.0222007	0.0212087	0.0500564	0.0482878	0.0290206	0.05106	0.0660132	0.0135319	0.0426837	2.338056
400	-5396.45	-5419.55	23.1009	0.107527	0.0392575	0.110454	0.026268	0.0733251	0.0487625	0.0720858	0.0664663	0.0776983	0.0702295	0.0259399	0.020302	0.0610984	0.0562748	0.0809975	0.068987	0.0643276	0.0649197	0.0795869	0.0419374	0.0299728	0.013533	0.138641	0.0540789	0.0433882	0.03052	0.00360651	0.0327887	0.0305679	0.046577	0.0129717	0.0239642	0.0330509	0.0303718	0.0226158	0.0311844	0.0500564	0.0556656	0.0164741	0.0457532	0.0643845	0.0453605	0.0668486	2.17882
410	-5383.5	-5405.88	22.3811	0.0862528	0.0398738	0.108678	0.052246	0.0680639	0.0483185	0.0897426	0.0509867	0.124035	0.095174	0.0326674	0.0272823	0.0954963	0.0548297	0.0844351	0.0637333	0.106286	0.0530552	0.0802792	0.0299105	0.0223655	0.0357898	0.108321	0.0452593	0.016169	0.0175769	0.0161435	0.0204987	0.0378174	0.0303284	0.0374116	0.0194597	0.023412	0.0250087	0.0280141	0.0279994	0.0433837	0.0778594	0.0339503	0.0600826	0.0596053	0.0104918	0.0625014	2.250797
420	-5397.28	-5419.73	22.4517	0.0862528	0.0507113	0.0982001	0.0573484	0.0574852	0.0846073	0.0784019	0.0721969	0.105362	0.0842395	0.0285657	0.00988749	0.104391	0.0607613	0.112993	0.0826859	0.0785012	0.076556	0.0574526	0.0128797	0.0254	0.0174838	0.126325	0.0308358	0.019342	0.026896	0.00423714	0.0232998	0.0357456	0.047401	0.0239448	0.0152347	0.0372946	0.0599477	0.0158263	0.0416156	0.0318021	0.0476482	0.0256714	0.0595749	0.056848	0.0170761	0.0548104	2.243739
430	-5396.34	-5417.57	21.2283	0.123045	0.0524117	0.080757	0.0599685	0.0927584	0.0714581	0.103737	0.026241	0.12684	0.117963	0.0404342	0.0182543	0.0866761	0.0537838	0.0488241	0.046561	0.0943892	0.0554291	0.0760697	0.0536551	0.0200744	0.0451154	0.186152	0.0526086	0.0286328	0.0428884	0.0161592	0.0179062	0.0432536	0.0384798	0.0205875	0.0185265	0.0131711	0.0439254	0.0146565	0.033469	0.0140763	0.0589661	0.0429968	0.0299978	0.0964181	0.0136056	0.0451572	2.36608
440	-5399.39	-5422.54	23.1542	0.136093	0.0441363	0.0966302	0.0446368	0.0532676	0.0652192	0.0504063	0.0524197	0.105334	0.052942	0.0266161	0.0540635	0.0463086	0.0521318	0.0795216	0.107493	0.0724068	0.0747289	0.0972549	0.0311446	0.0188033	0.028901	0.112745	0.0568521	0.0286451	0.0195603	0.0082588	0.00884565	0.0439479	0.0405126	0.0384894	0.0403461	0.019219	0.0384785	0.0230062	0.0220417	0.028502	0.0614128	0.0187186	0.0209665	0.0632044	0.0178317	0.0714497	2.173492
