Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
30	0	-5389.49	-5411.88	22.3862	0.114885	0.0594652	0.0746353	0.0566821	0.0724067	0.071939	0.080512	0.0546939	0.0913619	0.064784	0.0470678	0.0358258	0.0937048	0.060822	0.0957785	0.0895391	0.0808742	0.0313507	0.0415941	0.036838	0.0176924	0.0424335	0.181558	0.0576256	0.0186218	0.0272875	0.014989	0.0167623	0.0316792	0.0538543	0.0245194	0.033406	0.0163106	0.0393818	0.0228628	0.00595821	0.0426514	0.075457	0.0175044	0.0183218	0.0695548	0.0136026	0.0534909	2.250285
31	1	-5398.87	-5420.33	21.4596	0.118956	0.0643348	0.12765	0.0462165	0.0799765	0.0522452	0.075432	0.0329508	0.0752009	0.0828291	0.033204	0.0328353	0.0908749	0.0661815	0.0627187	0.0515345	0.0751126	0.0834112	0.102051	0.0538419	0.0375265	0.0330249	0.149914	0.0300746	0.0433379	0.0109306	0.0553096	0.0561282	0.0457033	0.0393731	0.0200627	0.0506929	0.0326066	0.0141322	0.0350738	0.00749311	0.023643	0.0444425	0.0779067	0.0513194	0.0366927	0.0215574	0.0184421	2.342945
32	0	-5389.11	-5410.91	21.7979	0.133528	0.0582107	0.0874217	0.0641043	0.0848236	0.0295984	0.0835661	0.0464841	0.129506	0.124165	0.0437854	0.016945	0.115033	0.0610531	0.0855946	0.055679	0.0861506	0.0489762	0.054232	0.0513839	0.0331909	0.0284857	0.137243	0.0376181	0.0373367	0.0275234	0.0195772	0.0153321	0.0273209	0.0418423	0.0203472	0.0184081	0.0157907	0.0364682	0.0253096	0.00812385	0.0448932	0.0578904	0.0416848	0.0331333	0.0618382	0.0171785	0.0623396	2.309117
33	1	-5385.24	-5407.03	21.785	0.0849312	0.0576357	0.0918742	0.0570761	0.12596	0.0643403	0.0914363	0.0696275	0.0728555	0.0737468	0.0287245	0.0268857	0.0898448	0.0596403	0.0597535	0.0592716	0.117812	0.0597529	0.0734611	0.0441424	0.0250504	0.0218762	0.13542	0.0318273	0.0252565	0.0162976	0.0522223	0.0601175	0.0484202	0.0834768	0.0280352	0.0406065	0.0190484	0.0194466	0.0116121	0.0211378	0.0243024	0.0392262	0.0810744	0.0297942	0.0226855	0.0191702	0.0455331	2.31041
34	0	-5392.78	-5415.04	22.2611	0.0826791	0.0461903	0.0744889	0.0540228	0.0924003	0.0573595	0.122834	0.0644973	0.0885151	0.0854892	0.0474248	0.0197122	0.0775974	0.0384468	0.0644293	0.062981	0.0758479	0.0600679	0.0811212	0.0470718	0.0319228	0.0221187	0.126499	0.0548533	0.0164433	0.0545402	0.0152491	0.0376068	0.0325247	0.0333525	0.0319464	0.025113	0.0377505	0.0358108	0.0141798	0.027188	0.0476998	0.071101	0.017189	0.0697672	0.0561843	0.0126159	0.0479679	2.262801
35	1	-5382.65	-5405.35	22.7026	0.088539	0.0485829	0.0673758	0.0520993	0.0894996	0.0547657	0.0762859	0.0565208	0.0883631	0.102293	0.0329972	0.0256089	0.0712193	0.0443238	0.106153	0.0731646	0.123183	0.0504972	0.0816991	0.0390908	0.0427514	0.0299664	0.136767	0.0203183	0.0267459	0.0151768	0.0327017	0.0611788	0.0376785	0.0399697	0.0202213	0.0218501	0.0137117	0.0136419	0.0168802	0.0134717	0.0231319	0.0383211	0.0494931	0.0606587	0.0405602	0.0337804	0.0574074	2.218646
36	0	-5398.68	-5419.83	21.1499	0.0964203	0.0342951	0.0964226	0.0398677	0.0649086	0.0793887	0.0789506	0.0528208	0.130579	0.095252	0.0286758	0.033641	0.0816943	0.0633366	0.127784	0.0710139	0.0995102	0.0687737	0.0821156	0.0293123	0.0424891	0.0127438	0.126798	0.0504471	0.0201856	0.0405317	0.00940596	0.049729	0.066162	0.0684323	0.0308081	0.0228943	0.0262163	0.0375557	0.0155495	0.0214177	0.0496756	0.0636583	0.0359459	0.0438673	0.0474587	0.00685425	0.0303251	2.373915
37	1	-5394.25	-5416.82	22.5656	0.142085	0.0397696	0.0831523	0.0364608	0.084654	0.0413921	0.0858521	0.049022	0.105491	0.0798226	0.0258788	0.0587276	0.0803572	0.0443238	0.0663312	0.0732562	0.0684041	0.0538289	0.0787951	0.0423915	0.0253848	0.0549141	0.162478	0.0130384	0.0366396	0.0114814	0.0348531	0.055542	0.0694952	0.0378361	0.0158721	0.0187757	0.0154489	0.0157195	0.0168919	0.0113695	0.0387594	0.0644532	0.0591048	0.0387152	0.0248528	0.0277342	0.0429892	2.232345
38	0	-5384.89	-5408.2	23.3149	0.103416	0.052629	0.0798844	0.0551307	0.070622	0.042089	0.0918746	0.0316358	0.11859	0.0851158	0.0385506	0.035362	0.0902809	0.0621101	0.0854865	0.0491358	0.0788212	0.0699367	0.0594606	0.0353271	0.036062	0.0230396	0.120414	0.0516103	0.025575	0.0187293	0.027045	0.0339177	0.0393328	0.0361136	0.010988	0.0211906	0.0135883	0.0227215	0.0197472	0.0207149	0.0471644	0.0689249	0.0156673	0.0221825	0.0533717	0.0167298	0.0771264	2.157416
39	1	-5395.25	-5416.59	21.3334	0.120271	0.081809	0.0828429	0.0279739	0.100444	0.0409237	0.0815165	0.046884	0.113013	0.0785506	0.0297271	0.0457341	0.0819052	0.0500689	0.0697144	0.0926868	0.0809557	0.100418	0.0716118	0.0467462	0.0245392	0.0333245	0.182181	0.0228347	0.045794	0.00906769	0.0209356	0.0407698	0.0582985	0.0598931	0.0268401	0.050919	0.0191463	0.0141866	0.0187397	0.00656238	0.0215989	0.0304854	0.0617949	0.0404884	0.0363352	0.0291079	0.0579234	2.355563
