Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
330	-15811.27	-15824.15	12.88018	0.143578	0.0918688	0.0843341	0.106298	0.103886	0.0772491	0.111776	0.0884979	0.105252	0.175809	0.0885318	0.0761309	0.0935336	0.0937328	0.0883213	0.12594	0.127139	0.0839466	0.132191	0.0855949	0.0852588	0.0766751	0.206598	0.0218088	0.0262737	0.0477993	0.0453398	0.0441542	0.0471127	0.0527949	0.0474058	0.0270476	0.0481054	0.012313	0.0343268	0.0184614	0.0293174	0.0431287	0.0521324	0.0443866	0.0444328	0.0257112	0.036695	3.20089
340	-15797.29	-15808.99	11.69898	0.116996	0.0998901	0.113698	0.106298	0.134722	0.086921	0.125548	0.07962	0.0986599	0.175989	0.0709967	0.0787738	0.0978168	0.100136	0.123136	0.142393	0.14997	0.114104	0.131334	0.0710454	0.0902781	0.0772541	0.178137	0.0346966	0.0331021	0.0563948	0.0491902	0.029926	0.0417163	0.068283	0.0504085	0.0337232	0.0460935	0.00669278	0.026947	0.0179497	0.0213213	0.0372319	0.0485161	0.0318771	0.0594922	0.0267412	0.0349888	3.31901
350	-15806.51	-15820.2	13.69697	0.111373	0.108125	0.115682	0.0971723	0.100826	0.0594382	0.113286	0.0614023	0.111222	0.13164	0.0786647	0.0779703	0.104259	0.114453	0.121947	0.132228	0.119302	0.114945	0.10544	0.0750105	0.0812928	0.0732364	0.178137	0.0381581	0.0270755	0.0510545	0.034598	0.0338599	0.0337981	0.0811775	0.0385343	0.0402577	0.0364936	0.00944638	0.0399188	0.0214138	0.0197394	0.0458651	0.0412536	0.0374489	0.0404395	0.0316139	0.0300122	3.119211
360	-15821.56	-15835.31	13.74806	0.130802	0.12837	0.0879113	0.116243	0.119618	0.0883481	0.129363	0.0633544	0.121075	0.167194	0.0668814	0.0779703	0.0610945	0.0945305	0.111684	0.107811	0.106585	0.104205	0.120199	0.0696942	0.0847425	0.0795282	0.127132	0.0360765	0.0276613	0.0500434	0.0562141	0.0269849	0.0483739	0.0619166	0.0396989	0.0330578	0.0288786	0.0144508	0.0429148	0.0362942	0.0322343	0.040174	0.0405404	0.0316053	0.0439073	0.0316825	0.0270568	3.114102
370	-15806.77	-15818.79	12.02365	0.125002	0.0821517	0.101464	0.103948	0.115427	0.0715744	0.148759	0.0748673	0.108635	0.165342	0.0980975	0.0771163	0.0989804	0.0945305	0.111684	0.164258	0.126856	0.105373	0.112726	0.076292	0.0839117	0.0926517	0.186675	0.0234243	0.0227632	0.056075	0.0379994	0.0318206	0.0404111	0.0781233	0.0333918	0.0296122	0.0352553	0.0264004	0.0329072	0.0296654	0.0472644	0.0458653	0.0747786	0.029528	0.039975	0.0222705	0.0226894	3.286543
380	-15803.07	-15816.1	13.03432	0.122187	0.0865813	0.105573	0.103948	0.115427	0.074644	0.148543	0.0835663	0.0945236	0.15203	0.0751861	0.0846413	0.0982428	0.0916977	0.111684	0.139394	0.10868	0.0852908	0.122315	0.076292	0.0695784	0.102967	0.149646	0.0288303	0.0352235	0.0557377	0.0443909	0.0309084	0.0522428	0.0714812	0.0448561	0.0459046	0.0410093	0.0306506	0.0281999	0.0337654	0.0392573	0.0293326	0.0388393	0.0369551	0.0416486	0.0261992	0.0274059	3.185476
390	-15810.48	-15822.37	11.89436	0.150656	0.103942	0.107518	0.0972471	0.104518	0.0885354	0.13354	0.085922	0.0921355	0.164452	0.087155	0.0885959	0.0990788	0.113281	0.111684	0.116817	0.126227	0.113563	0.130482	0.0857649	0.10351	0.0975916	0.179181	0.0319093	0.0169376	0.0563403	0.032515	0.0184128	0.0646342	0.0933562	0.0366262	0.0267451	0.0269866	0.0277522	0.0420144	0.0206324	0.0161926	0.015941	0.026219	0.0328199	0.0523361	0.0365149	0.0431887	3.299472
400	-15808.19	-15819.88	11.69212	0.115492	0.105826	0.107518	0.102808	0.141856	0.0803133	0.130526	0.0935041	0.102502	0.170067	0.0794962	0.0672395	0.102289	0.0832302	0.102617	0.127123	0.109038	0.110937	0.14368	0.0768448	0.119815	0.114067	0.164957	0.0333974	0.0296464	0.0566199	0.0355945	0.0336301	0.0451635	0.0667668	0.0444914	0.0338866	0.040599	0.0182531	0.0260747	0.0390718	0.0201618	0.0474327	0.0559856	0.0282964	0.0409494	0.032105	0.0398245	3.319696
410	-15797.69	-15811.12	13.42483	0.1188	0.110669	0.11119	0.107522	0.113508	0.0892308	0.121268	0.0791762	0.0852733	0.150481	0.0750317	0.070011	0.0881571	0.105713	0.115232	0.12954	0.130338	0.110937	0.117727	0.0947353	0.0855106	0.0767994	0.16693	0.0324611	0.0154488	0.043594	0.0422845	0.0220553	0.0521092	0.0790661	0.0408156	0.0411524	0.0381885	0.0124937	0.032162	0.0278829	0.0194958	0.0295373	0.0406332	0.0202368	0.0473784	0.0228322	0.0328172	3.146425
420	-15810.97	-15823.87	12.90027	0.102704	0.105518	0.0939528	0.110302	0.131777	0.076967	0.107297	0.0860353	0.0879794	0.175872	0.104176	0.0705642	0.10116	0.0983075	0.0898414	0.156021	0.138304	0.110001	0.115993	0.0722285	0.0914711	0.101447	0.17323	0.0401472	0.0343049	0.0529354	0.0335232	0.0198028	0.0310971	0.0699846	0.0451829	0.0312715	0.0211579	0.0172291	0.042458	0.0192294	0.0256282	0.0508348	0.0326856	0.0486014	0.0422956	0.0216997	0.0176642	3.198881
