Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
300	-15804.4	-15817.4	13.0239	0.111867	0.0986744	0.088257	0.0901468	0.103847	0.0746974	0.15214	0.0960001	0.0887777	0.158542	0.0674703	0.0775209	0.119179	0.0929134	0.102073	0.128473	0.119478	0.114096	0.117773	0.0756236	0.0936821	0.090091	0.187991	0.041549	0.0485258	0.0413047	0.0380438	0.0696847	0.0238326	0.0371342	0.057549	0.0218627	0.0198985	0.0445026	0.0459539	0.0299118	0.0355652	0.035686	0.0295577	0.032288	0.0330379	0.0345434	0.0167771	3.186521
310	-15811.9	-15824.2	12.3124	0.138496	0.088743	0.0884181	0.0943125	0.108514	0.102243	0.116735	0.0817403	0.0883143	0.160673	0.0753969	0.0810258	0.0817358	0.11096	0.134435	0.114992	0.118937	0.142456	0.140461	0.0762788	0.0954582	0.0822923	0.158266	0.0507715	0.0509929	0.0125652	0.0356999	0.0787812	0.0285744	0.0409798	0.0459875	0.0275895	0.0275633	0.0430093	0.0506991	0.0561194	0.010888	0.0197947	0.0236911	0.0430075	0.0531651	0.0297219	0.0471831	3.257669
320	-15801.9	-15814.7	12.8121	0.139026	0.0978084	0.0763542	0.105249	0.112704	0.0723756	0.116807	0.0639331	0.094499	0.194303	0.0776627	0.079734	0.107264	0.0886884	0.114845	0.134934	0.12697	0.109389	0.134008	0.0762788	0.0983224	0.101817	0.177223	0.062788	0.0575137	0.00518838	0.0407422	0.0728687	0.0248444	0.0338423	0.044974	0.0265194	0.0262053	0.046191	0.0191996	0.0432685	0.0132966	0.0333402	0.0355739	0.0178755	0.0360148	0.0404095	0.0268426	3.207695
330	-15800.3	-15812.5	12.15	0.124963	0.104072	0.0851801	0.118293	0.11916	0.0767752	0.125127	0.0881292	0.0959091	0.174993	0.0693297	0.072943	0.100715	0.0965719	0.114245	0.143285	0.153967	0.109924	0.119291	0.0913576	0.0947962	0.0950438	0.149339	0.0576188	0.0317969	0.0148951	0.0393473	0.0898249	0.0217913	0.0309575	0.0361658	0.0175053	0.0190916	0.057098	0.0358773	0.0512517	0.0235046	0.0356627	0.0460257	0.0362511	0.0366789	0.0362892	0.0328625	3.273907
340	-15807	-15819.2	12.1665	0.132117	0.0949567	0.103891	0.113789	0.121553	0.0910171	0.13017	0.0765965	0.0997631	0.145617	0.110914	0.0803809	0.103459	0.104306	0.100383	0.149318	0.106135	0.122301	0.135308	0.0636095	0.07938	0.0867729	0.188258	0.0407843	0.0540221	0.00946282	0.0364014	0.0642535	0.025595	0.0348755	0.0402379	0.0161651	0.0422523	0.0472202	0.0503795	0.0377455	0.0174366	0.0271588	0.0360462	0.031919	0.0411839	0.0426017	0.0365178	3.272255
350	-15801.5	-15814.3	12.8181	0.143529	0.102626	0.0981916	0.0946511	0.108078	0.0817297	0.125607	0.0964134	0.0820812	0.15372	0.073141	0.10184	0.0948148	0.0838929	0.120057	0.115684	0.118879	0.122301	0.149738	0.0779308	0.0872998	0.0705764	0.171056	0.0572034	0.051367	0.010362	0.0253216	0.0745306	0.026625	0.0375957	0.0352157	0.0336013	0.0287278	0.0472202	0.0361856	0.0417247	0.0120021	0.0392834	0.0305604	0.028703	0.0327684	0.0454538	0.038805	3.207094
360	-15805.2	-15818.9	13.7004	0.108984	0.0984497	0.103684	0.0989074	0.0987156	0.0830244	0.11956	0.0692792	0.0977919	0.154384	0.073141	0.0893318	0.103165	0.101561	0.106809	0.113855	0.124588	0.112189	0.111611	0.080353	0.095081	0.0876663	0.143797	0.0544494	0.0552686	0.0055411	0.0421503	0.0915137	0.0172327	0.0230731	0.0583306	0.0263822	0.0294171	0.0769335	0.0414634	0.0381256	0.00705361	0.028325	0.0345352	0.0224341	0.0232354	0.0384198	0.0290553	3.118868
370	-15804.6	-15816.9	12.2357	0.114914	0.119278	0.0926071	0.105007	0.11891	0.0854069	0.125438	0.0823124	0.104122	0.141973	0.0824773	0.0818688	0.117111	0.08893	0.134363	0.136704	0.121607	0.128032	0.130404	0.0846117	0.0886995	0.0806624	0.159973	0.0564304	0.0419765	0.0124835	0.0318008	0.072677	0.0268119	0.0505702	0.027779	0.0222097	0.038042	0.0501951	0.0422057	0.0317646	0.0110547	0.0463566	0.0313427	0.0293445	0.0327094	0.0509922	0.0331788	3.265337
380	-15805.1	-15818.5	13.4005	0.113042	0.0924815	0.095766	0.100138	0.130094	0.0835114	0.12173	0.080247	0.0881565	0.171539	0.0891156	0.091639	0.0743374	0.0936463	0.0993993	0.107039	0.113101	0.106004	0.122771	0.0735029	0.0962784	0.0781415	0.183326	0.0557109	0.0446786	0.0194338	0.0457657	0.0744701	0.0194511	0.0544669	0.0342256	0.0333978	0.0220572	0.0557341	0.0309351	0.0285811	0.0277174	0.0325034	0.035793	0.0228039	0.0281384	0.0430626	0.0349271	3.14886
390	-15810.9	-15823.9	12.9392	0.131949	0.106288	0.081074	0.124086	0.108319	0.0779225	0.109806	0.0757428	0.07458	0.145376	0.0847068	0.0924706	0.0778544	0.0961437	0.132896	0.148703	0.140017	0.123262	0.120228	0.0681031	0.077073	0.0770002	0.178973	0.0431401	0.0296428	0.0380193	0.0333071	0.0705958	0.0216539	0.0374944	0.0508133	0.0314269	0.0446592	0.0346929	0.0393163	0.0538479	0.0191986	0.0396495	0.0354681	0.0198499	0.034324	0.0434802	0.0218323	3.194986
