Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
330	-3286.968	-3297.305	10.33646	2.177408	0.1950648	0.0363927	0.0287649	0.0569919	0.0125176	0.0321251	0.0643513	0.116236	0.0626199	0.0268475	0.0203816	0.0657776	0.0213408	0.0801866	0.0149941	0.03485894	-0.1800618	0.023933	0.545536	0.00488394	0.0041561	0.414895	0.00659567	3.524738	0.1804186	-3.356446	0.000446051	0.0309777	0.370655	3.59792	0.311202	0.28514	0.128873	0.274786	0.0003568116	505.6412
340	-3293.414	-3305.67	12.25565	2.119867	0.2215975	0.0287727	0.0177691	0.0356348	0.0145365	0.0490688	0.0503853	0.111097	0.0294005	0.0262311	0.0169103	0.0652805	0.0192862	0.085283	0.0207856	0.03703679	-0.06304859	0.0188179	0.498015	0.00691084	0.00970853	0.450863	0.015684	4.745109	0.06696832	-3.295844	0.00104096	0.0470899	0.437649	3.51422	0.308325	0.279478	0.117434	0.294763	0.003919733	17.08492
350	-3296.263	-3300.754	4.491759	2.717799	0.2359888	0.0383275	0.0260611	0.0460227	0.0155946	0.0593441	0.0872989	0.0985463	0.0374923	0.0274195	0.00754349	0.125759	0.0140064	0.128846	0.0248632	0.04232268	-0.004075933	0.0177368	0.559555	0.0112477	0.00984281	0.392665	0.00895269	4.231178	0.03551316	-3.162432	0.00152181	0.0567748	0.470992	3.47071	0.273676	0.314895	0.127038	0.284391	0.03143723	1.129653
360	-3292.974	-3306.167	13.19323	2.419265	0.2106593	0.0323805	0.0260611	0.0372816	0.0368205	0.0288837	0.0737773	0.0965511	0.0392084	0.0213205	0.0208476	0.0743292	0.0102267	0.0832751	0.0271675	0.0389942	-0.03757435	0.0230097	0.500773	0.0036083	0.00711284	0.455863	0.00963285	3.200448	0.06244359	-3.244342	0.000753297	0.0401422	0.4109	3.5482	0.326076	0.28059	0.136042	0.257292	0.02486924	2.510877
370	-3292.484	-3300.33	7.845366	2.419265	0.17286	0.0397184	0.0221762	0.0547843	0.0434925	0.0387492	0.0582474	0.0912836	0.017808	0.0124922	0.0185249	0.0954628	0.027214	0.0503712	0.0545477	0.03364255	-0.1558164	0.0153093	0.492288	0.00350238	0.00592088	0.480745	0.00223499	6.537639	0.2123214	-3.391964	0.000179581	0.0197295	0.309244	3.67085	0.267554	0.328411	0.130388	0.273648	0.05650501	3.757567
380	-3290.523	-3301.377	10.8536	2.411077	0.1778383	0.0547692	0.022323	0.0367796	0.0157745	0.0293266	0.100319	0.0560046	0.0348484	0.0199079	0.0178772	0.0284364	0.0321523	0.0179689	0.0538456	0.03101306	0.2080915	0.0166754	0.518234	0.00501994	0.00404204	0.453914	0.00211389	8.12561	0.05766294	-3.473347	0.000224622	0.0220476	0.323406	3.65432	0.289744	0.301379	0.119821	0.289056	0.2657544	0.2169783
390	-3289.954	-3301.836	11.88236	2.180407	0.1825393	0.0347448	0.0288775	0.0417661	0.0250246	0.0385487	0.0536674	0.0152962	0.0229669	0.0272326	0.0130652	0.0745029	0.0225531	0.0326132	0.0543417	0.03569129	0.1196384	0.0119712	0.562227	0.00598912	0.00370233	0.413935	0.00217577	11.69487	0.04254481	-3.332849	0.000274378	0.0243485	0.336578	3.6388	0.316405	0.288585	0.13786	0.25715	0.1621832	0.2623256
400	-3295.093	-3301.33	6.237034	3.516384	0.1597446	0.0433854	0.0151848	0.0414209	0.0205791	0.0667442	0.0429646	0.0355183	0.021261	0.0224513	0.00869437	0.099762	0.0370338	0.0381643	0.0308765	0.04004486	0.2669227	0.0130441	0.441475	0.00681526	0.00631936	0.511692	0.0206547	10.75815	0.05360567	-3.217755	9.31393e-05	0.0142373	0.270983	3.71469	0.294293	0.308572	0.137546	0.259589	0.3205283	0.1672416
410	-3291.009	-3300.117	9.107578	2.744006	0.1923968	0.0416976	0.0322175	0.046715	0.0154803	0.0462554	0.0527578	0.0338037	0.0333802	0.0213224	0.061608	0.0501191	0.0328277	0.0217024	0.0927244	0.03116081	0.1619801	0.0100877	0.450455	0.00299699	0.00563721	0.511699	0.0191242	10.39982	0.007498506	-3.468594	0.000404337	0.0295076	0.363525	3.60656	0.29501	0.308585	0.12854	0.267865	0.1694786	0.04424457
420	-3291.463	-3304.309	12.84599	2.883826	0.1329518	0.0497341	0.0251099	0.0301661	0.0191355	0.0425219	0.0554258	0.0498123	0.0387105	0.0131599	0.0225917	0.0255497	0.0183933	0.0318629	0.0239904	0.03093839	-0.2292581	0.0107785	0.55308	0.00341286	0.00388874	0.416232	0.0126079	9.502753	0.2984862	-3.475758	1.62692e-05	0.00597181	0.190032	3.80398	0.266519	0.316171	0.139689	0.277621	0.06922802	4.311638
