Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
340	1.67516	0	1.67516	19.08963	1.206056	0.0101163	0.045857	0.0128199	0.0434945	0.0967402	0.105821	0.0816642	0.0229775	0.0529945	0.0792863	0.147745	0.061177	0.104599	0.0207834	0.0790931	0.05049933	0.262289	0.376927	8.52381e-05	0.116073	0.00375069	0.240875	38.79595	0.06212209	0.176149	0.530994	1.02722	2.26563	0.252884	0.398935	0.177437	0.170744	0.1126214	0.551601
350	4.57674	0	4.57674	14.0627	1.383261	0.0091183	0.122639	0.00978694	0.0554021	0.104905	0.0627553	0.058096	0.0254231	0.0546749	0.0687815	0.131094	0.0620419	0.0561604	0.0179153	0.06912199	0.0630049	0.359684	0.3573	1.78261e-05	0.0571925	0.0193532	0.206452	18.59805	0.04068651	0.206712	0.567897	1.04276	2.18263	0.153549	0.206997	0.437095	0.202358	0.1036914	0.3923807
360	-9.87353	0	-9.87353	17.29235	1.477568	0.0223527	0.231499	0.0177533	0.187878	0.134594	0.272541	0.184546	0.033567	0.095332	0.434562	0.210698	0.101085	0.130522	0.0427785	0.100869	0.04524697	0.418249	0.531413	3.83758e-06	0.00361165	0.0306224	0.0161007	25.24296	0.055358	0.221836	0.58478	1.04908	2.14431	0.0626433	0.356222	0.153856	0.427279	0.100605	0.5502511
370	1.23892	0	1.23892	4.567609	1.380952	0.0201304	0.299557	0.020605	0.121883	0.1316	0.148732	0.139966	0.0280128	0.105503	0.14414	0.138587	0.0564101	0.0860003	0.0395394	0.1475167	-0.07785669	0.389382	0.430712	4.63975e-05	0.0290519	0.0784559	0.0723525	14.0542	0.1139647	0.206332	0.567462	1.04259	2.18361	0.409998	0.297364	0.157858	0.13478	0.03610798	3.156218
380	0.791983	0	0.791983	5.245606	1.460598	0.0304367	0.330626	0.0143591	0.168852	0.170534	0.220991	0.151621	0.03954	0.13371	0.22281	0.136368	0.0580855	0.107196	0.0409566	0.1548813	-0.05336679	0.426728	0.246818	4.98735e-05	0.00824484	0.216708	0.101451	7.641927	0.06166464	0.219171	0.581864	1.04802	2.15094	0.138956	0.636447	0.214335	0.0102613	0.008297846	7.431403
390	0.500034	0	0.500034	4.168642	1.550581	0.0334136	0.19754	0.0275189	0.129266	0.117847	0.201648	0.128314	0.0709303	0.154803	0.518273	0.222482	0.170411	0.187138	0.0469813	0.1506192	-0.03927867	0.185956	0.285456	4.27949e-05	0.0852214	0.206452	0.236873	5.160938	0.05951316	0.233031	0.596765	1.05326	2.11694	0.369771	0.501111	0.124249	0.00486936	0.02023449	2.941174
400	-16.3282	0	-16.3282	15.29035	1.900643	0.118838	0.362271	0.0267844	0.305304	0.186523	0.117569	0.232405	0.134454	0.30973	0.514498	0.220634	0.385538	0.203777	0.171722	0.2464015	0.03573088	0.0238058	0.301069	3.159e-05	0.0577618	0.164039	0.453292	35.53462	0.02211551	0.281119	0.644015	1.06729	2.00757	0.0736018	0.793423	0.127379	0.00559641	0.05784638	0.3823144
410	-19.9955	0	-19.9955	27.26695	1.909636	0.208652	0.504296	0.0418333	0.173379	0.131074	0.0512264	0.289196	0.0644903	0.276568	0.332875	0.112657	0.57892	0.196905	0.155234	0.2649692	0.02278458	0.0338215	0.118981	4.12049e-05	0.261264	0.416454	0.169438	47.15383	0.05397279	0.282244	0.645047	1.06755	2.00515	0.165742	0.464615	0.329808	0.0398346	0.07675736	0.703161
420	-17.5458	0	-17.5458	11.97499	1.920251	0.198337	0.405873	0.123874	0.218452	0.171128	0.070319	0.269457	0.124392	0.422813	0.311504	0.137201	0.490615	0.213264	0.173877	0.2897231	0.07273081	0.193314	0.12747	0.000110791	0.149276	0.273778	0.25605	30.04624	0.02072356	0.283565	0.646256	1.06786	2.00232	0.464193	0.169178	0.296675	0.0699538	0.09345437	0.2217506
430	-8.48164	0	-8.48164	23.26691	1.98102	0.123749	0.174167	0.061888	0.171415	0.135706	0.0404197	0.0917905	0.0986492	0.198136	0.140013	0.090829	0.263589	0.116548	0.126042	0.1442294	0.06496075	0.279774	0.105262	0.00107591	0.129053	0.368104	0.11673	40.35084	0.009628688	0.290998	0.65298	1.06951	1.98651	0.874512	0.017324	0.0827363	0.0254282	0.07458944	0.1290892
440	-1.02022	0	-1.02022	11.52705	1.627404	0.214641	0.26635	0.0562721	0.102826	0.0875292	0.0340032	0.0454767	0.132711	0.11904	0.129791	0.119901	0.145855	0.104283	0.0713059	0.1348908	0.1558228	0.0682053	0.085188	0.00134443	0.351141	0.263022	0.231099	17.1654	0.01353254	0.24435	0.608475	1.0571	2.09007	0.175971	0.0509495	0.431781	0.341298	0.1693553	0.07990617
450	2.48776	0	2.48776	8.424713	1.341941	0.0813474	0.162255	0.0485804	0.0990031	0.0495301	0.0268245	0.0512532	0.176082	0.0942587	0.0644236	0.0488738	0.142991	0.130203	0.0284523	0.07769593	0.1339474	0.061819	0.218194	0.00295655	0.119758	0.151226	0.446047	15.15311	0.03986474	0.199841	0.559943	1.03961	2.2006	0.136574	0.0469743	0.281562	0.534889	0.1738121	0.2293554
460	0.0883103	0	0.0883103	14.22659	1.192016	0.035698	0.17381	0.0554468	0.0360376	0.039209	0.0243788	0.0275509	0.133162	0.0499234	0.101783	0.0409179	0.131436	0.158888	0.0183598	0.05641163	0.1121144	0.293463	0.0686128	0.0103554	0.0625199	0.364306	0.200743	22.79056	0.03386204	0.173603	0.52773	1.02573	2.27293	0.417425	0.0929271	0.171349	0.3183	0.1459764	0.2319693
470	13.412	0	13.412	11.21667	1.212616	0.0180389	0.0955546	0.0230941	0.0137866	0.0199998	0.013257	0.0192192	0.0405149	0.0187736	0.061287	0.0259284	0.0981684	0.069729	0.010141	0.05694704	0.2473052	0.218489	0.0791965	0.0179453	0.148845	0.329752	0.205772	30.22772	0.01296353	0.177332	0.5325	1.02791	2.26226	0.274953	0.0629776	0.108743	0.553326	0.2602687	0.04980824
480	12.5732	0	12.5732	7.644084	1.337135	0.0252623	0.106919	0.0315763	0.0265975	0.0246794	0.0201989	0.0238491	0.0315798	0.0112737	0.0405535	0.0173048	0.142006	0.0905135	0.00571339	0.0568191	0.2894811	0.164811	0.11174	0.0253387	0.068343	0.286888	0.34288	21.75116	0.02648729	0.199032	0.558994	1.03923	2.20274	0.128296	0.119637	0.150572	0.601496	0.3159684	0.08382891
490	14.2281	0	14.2281	4.940214	1.34946	0.0326296	0.0789401	0.0328097	0.034684	0.0193773	0.0202449	0.029354	0.0268306	0.00895018	0.0239107	0.0250502	0.106495	0.15956	0.0185647	0.03637863	0.2818396	0.133987	0.202292	0.0797417	0.200775	0.0676639	0.31554	46.79766	0.08833763	0.201103	0.561417	1.04021	2.19727	0.0823189	0.164289	0.415603	0.337789	0.3701772	0.2386361
500	15.5836	0	15.5836	5.891818	1.322955	0.036892	0.0400308	0.027901	0.0624981	0.0320522	0.0363116	0.0357174	0.0287993	0.00571518	0.037501	0.0357306	0.0966957	0.0948547	0.0152396	0.03618389	0.3349968	0.109191	0.260698	0.105187	0.111663	0.0715354	0.341726	30.7981	0.06033186	0.196632	0.556165	1.03808	2.20912	0.0868049	0.137274	0.281736	0.494185	0.3953286	0.1526119
510	6.2793	0	6.2793	15.83136	1.444827	0.028013	0.0410709	0.0652781	0.0388314	0.0667014	0.0332559	0.084078	0.0587229	0.00545738	0.0233106	0.0327309	0.10512	0.0933417	0.0158009	0.05231658	0.09557382	0.0305652	0.380314	0.0431613	0.0408293	0.0498875	0.455243	20.58996	0.1165875	0.216672	0.579108	1.04701	2.15721	0.0680408	0.587092	0.153267	0.1916	0.2121613	0.5495229
520	6.15795	0	6.15795	16.50942	1.122149	0.0378152	0.0679941	0.0422055	0.0700404	0.12431	0.0629061	0.178403	0.0377637	0.0136809	0.0441223	0.0408202	0.137455	0.123146	0.0181615	0.07855031	-0.2104633	0.0425731	0.580529	0.0472219	0.0922113	0.0502635	0.187201	41.8379	0.2679068	0.160662	0.510621	1.01762	2.3111	0.35887	0.282427	0.167766	0.190937	0.05744354	4.663828
