Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
460	-3334.07	-3300.74	-33.3307	0.1049576	0.1560984	0.335025	1.67271	0.990578	0.86401	2.1532	0.775485	0.522646	2.18282	0.370801	0.153878	0.963152	1.24962	2.50596	0.523362	0.2824421	-0.2934832	0.0100793	0.45147	0.00441982	0.00168004	0.5304	0.00195091	0.3355158	7.60906e-05	0.0128753	0.260134	3.72691	0.281399	0.313808	0.129056	0.275737	0.04203258	7.982281
470	-3319.93	-3298.83	-21.0984	0.1074378	0.1902882	0.252093	0.968513	0.450468	0.479783	1.85866	1.65516	0.678708	1.96742	0.508591	0.491423	0.753263	0.730255	1.62051	0.770394	0.01932368	0.07104519	0.00839511	0.540344	0.00782302	0.00144029	0.441775	0.000221829	0.1074696	0.000373416	0.0283673	0.357839	3.61342	0.291659	0.302276	0.130825	0.27524	0.1785147	0.6020206
480	-3321.44	-3299.2	-22.2432	0.07784507	0.1464497	0.466924	1.35247	0.282023	0.682795	1.28416	1.36669	0.830926	2.30405	0.52352	0.888924	0.683733	1.09881	0.665433	0.492687	0.05411146	0.4767196	0.00984978	0.540537	0.00596853	0.00149093	0.441932	0.000221908	0.03336298	4.24472e-05	0.00962939	0.231092	3.75924	0.280018	0.298437	0.130589	0.290956	0.5100825	0.06540702
490	-3317.77	-3298.66	-19.1089	0.0864607	0.1973739	0.376484	0.840603	0.756906	0.993179	1.64788	1.12284	0.97315	0.749577	0.694256	1.28897	0.851705	0.830093	1.37007	0.32428	0.01925622	0.3678214	0.0103637	0.537657	0.00972334	0.000850796	0.439578	0.00182634	0.03330615	0.000484571	0.0322743	0.376769	3.59047	0.289375	0.296466	0.140712	0.273448	0.4011276	0.08303132
500	-3320.75	-3297.26	-23.4921	0.1161805	0.1573827	0.183695	1.3065	1.16268	0.56178	2.19362	1.48149	0.963684	2.5295	0.523458	0.528017	0.390134	0.924113	1.82248	0.739761	0.03667579	0.05218632	0.0100611	0.521959	0.00685367	0.00191986	0.452237	0.00696933	0.03746655	8.17945e-05	0.0133466	0.263965	3.72261	0.292681	0.293984	0.133743	0.279591	0.08965286	0.4179069
510	-3320.54	-3301.66	-18.88	0.1009614	0.2039841	0.310433	1.1341	0.988214	0.604006	2.13559	1.98942	0.711953	0.7381	0.727724	1.05627	2.04441	1.00192	0.781423	0.598044	0.01756229	0.05097925	0.0159377	0.598733	0.00601378	0.00104332	0.375405	0.00286683	0.02057239	0.000607885	0.0361051	0.393976	3.56931	0.282676	0.310624	0.131451	0.275249	0.07155164	0.2875181
520	-3321.18	-3302.17	-19.0137	0.1252428	0.1529124	0.456013	1.05676	0.85308	0.435045	1.20581	2.12121	0.77977	0.909616	0.366254	1.07183	0.787092	0.529962	0.829407	0.494045	0.0225292	-0.2877841	0.0139243	0.605176	0.0020202	0.00121915	0.375639	0.00202139	0.3394947	6.3267e-05	0.0117456	0.250593	3.7376	0.292463	0.290745	0.137585	0.279207	0.05171057	6.565287
530	-3320.09	-3298.19	-21.8975	0.1652826	0.1794158	0.260814	0.808768	0.713855	0.510536	0.927812	2.60507	0.59649	0.817196	0.445931	2.14614	0.52952	0.458024	0.816251	0.968203	0.07394442	-0.1441764	0.0145607	0.463078	0.00400401	0.00108903	0.515304	0.00196492	0.2094746	0.000240503	0.0228078	0.327849	3.6491	0.297287	0.301431	0.130667	0.270616	0.06529815	3.207971
540	-3316.59	-3298.28	-18.3074	0.1152993	0.1631254	0.359719	1.38511	0.960341	0.584027	1.61414	1.28504	1.01094	0.676222	0.360957	0.875833	0.615564	0.531309	0.458439	1.30195	0.009852765	-0.2185772	0.0127585	0.569831	0.00667118	0.00140563	0.40738	0.00195364	0.247776	0.000111437	0.0155652	0.280966	3.70336	0.293698	0.293155	0.138936	0.274211	0.02919885	8.485816
550	-3325.72	-3306.6	-19.1242	0.1353422	0.1410365	0.347844	1.44523	1.07003	0.503051	1.53726	1.38488	0.875224	0.454928	0.748322	0.604676	0.479591	1.64986	0.396038	1.40048	0.02039244	-0.1129146	0.0068427	0.565845	0.00505277	0.00713462	0.413894	0.00123078	0.1501499	2.95404e-05	0.00803881	0.214652	3.77728	0.288004	0.343612	0.125599	0.242785	0.03723533	4.032457
560	-3331.57	-3302.63	-28.9447	0.1353422	0.1688004	0.415472	1.14714	0.715628	0.794877	2.01096	2.48664	0.784996	0.647799	0.403465	1.16042	1.20873	0.815297	0.165387	0.568078	0.06764685	0.6675662	0.0135018	0.410613	0.00647612	0.00495879	0.560703	0.00374641	0.1066453	0.000148167	0.0179324	0.297541	3.68438	0.28945	0.312428	0.146593	0.251529	0.7742115	0.137747
570	-3320.14	-3302.72	-17.4219	0.1353422	0.2078503	0.451124	1.11924	0.548214	0.618734	1.41106	2.12644	0.824214	0.39703	0.633938	0.649356	0.605733	0.804263	0.304294	0.711257	0.03790339	0.005729875	0.0184475	0.457318	0.00584741	0.0085195	0.506269	0.00359803	0.03693339	0.000689449	0.0384236	0.403834	3.55705	0.272856	0.294516	0.151749	0.280879	0.04266327	0.8656953
580	-3322.98	-3297.38	-25.5937	0.128664	0.1768213	0.344387	0.831788	1.70527	0.453265	1.4113	2.47854	0.606007	0.307413	0.225962	0.824768	0.816327	0.612706	0.16278	0.835274	0.02627885	0.1197474	0.0162976	0.612254	0.00430367	0.00718521	0.356925	0.00303452	0.0885806	0.000214805	0.021564	0.320531	3.65769	0.305057	0.301652	0.122925	0.270366	0.208328	0.4251977
590	-3324.95	-3300.28	-24.6664	0.1151219	0.1704609	0.373796	0.875155	1.54094	0.803443	1.04903	3.98496	0.89902	0.232845	0.340179	0.735099	1.13617	0.796281	0.297663	0.640512	0.1094312	0.04776199	0.0186011	0.468594	0.00691813	0.0121218	0.489901	0.00386371	0.02328229	0.000160469	0.0186572	0.302344	3.67884	0.280665	0.31263	0.127046	0.279658	0.07104428	0.3277152
600	-3322.58	-3297.75	-24.8274	0.1119433	0.1585058	0.513417	0.777573	0.929211	0.563678	1.57856	4.45248	0.602107	0.531055	0.27347	1.25925	1.35797	1.07707	0.270787	0.903053	0.03890245	0.07653758	0.00766334	0.498629	0.00884166	0.0041465	0.471754	0.00896506	0.1211284	8.70473e-05	0.0137663	0.267306	3.71884	0.304227	0.297021	0.122341	0.27641	0.197666	0.6127934
