Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
42	0	-3299.13	-3300.236	1.106803	0.9210047	0.2219107	0.200143	0.377784	0.0911431	0.151183	0.0537548	0.193652	0.150425	0.0902216	0.124796	0.0344984	0.041385	0.0952637	0.239251	0.38626	0.1087284	-0.02562465	0.0227176	0.463465	0.00472635	0.00620632	0.494657	0.00822759	0.02879031	0.00105015	0.0472944	0.438397	3.51326	0.286194	0.297464	0.135287	0.281056	0.00316566	9.09457
43	1	-3323.535	-3308.223	-15.31271	0.5791146	0.1260034	1.25432	0.807459	0.302807	0.24804	0.262263	0.109889	0.316336	0.0183353	0.62234	0.308928	0.0717963	0.197331	0.733021	0.0408274	0.3245605	0.1918261	0.009273	0.495288	0.00405266	0.00866186	0.481887	0.00083789	0.08773237	9.16464e-06	0.00448576	0.168949	3.82656	0.290624	0.304529	0.144598	0.260249	0.2795585	0.3138247
44	0	-3300.033	-3298.341	-1.692231	0.756496	0.2096586	0.317249	0.656778	0.0291062	0.0797748	0.0622348	0.357701	0.333888	0.0482148	0.0303957	0.227569	0.0805607	0.0753691	0.141846	0.161192	0.1242833	-0.02237242	0.0147742	0.48196	0.00521466	0.00570162	0.483852	0.00849719	0.0435855	0.000730099	0.0395267	0.408392	3.55135	0.267139	0.327935	0.131201	0.273725	0.02121308	2.054652
45	1	-3312.367	-3302.075	-10.29225	0.441643	0.1593111	0.648576	0.387177	0.188229	0.458606	0.28029	0.0976991	0.272535	0.0260327	0.476688	0.192606	0.0855355	0.0781581	0.770047	0.0811548	0.2171322	-0.1517214	0.0104671	0.542774	0.00323194	0.00798812	0.43269	0.00284919	0.2322375	9.09714e-05	0.0140715	0.269697	3.71614	0.309622	0.304551	0.122381	0.263446	0.08051607	2.884362
46	0	-3302.223	-3300.334	-1.889248	0.6808469	0.1862563	0.268343	0.603502	0.110385	0.13466	0.102222	0.369739	0.284255	0.0613629	0.0711517	0.117019	0.0983167	0.102684	0.177009	0.155561	0.1461712	-0.03962136	0.0131997	0.592751	0.00432868	0.00396985	0.371035	0.0147153	0.07633532	0.000319114	0.026242	0.346848	3.62659	0.291943	0.324617	0.128224	0.255217	0.03671396	2.079191
47	1	-3310.864	-3305.579	-5.284877	0.7247051	0.1804174	0.570619	0.343572	0.222506	0.255461	0.303453	0.0587436	0.182203	0.0167907	0.107809	0.325446	0.0392865	0.0708334	0.291228	0.224418	0.2076538	0.003013938	0.0159054	0.505004	0.00372362	0.00619322	0.463886	0.0052878	0.1375949	0.000251009	0.0232968	0.330658	3.64579	0.301616	0.304822	0.132208	0.261355	0.1406088	0.9785651
48	0	-3309.248	-3301.455	-7.7929	0.6416642	0.1647735	0.28919	0.464196	0.0816457	0.121731	0.0516277	0.191515	0.130128	0.153903	0.340779	0.193137	0.457879	0.0825759	0.293881	0.438483	0.1681807	-0.2043663	0.0114599	0.578575	0.00374189	0.0104509	0.386994	0.0087781	0.2697366	0.000121294	0.016235	0.285804	3.69784	0.27268	0.341293	0.139348	0.246679	0.06537028	4.126287
49	1	-3304.982	-3303.975	-1.007722	0.6255622	0.1808333	0.478581	0.264759	0.228768	0.2062	0.0946576	0.0462935	0.10921	0.0218988	0.247631	0.182599	0.152354	0.127336	0.32932	0.0540021	0.1838619	-0.04448708	0.0132369	0.457977	0.00380838	0.0164242	0.502185	0.00636856	0.07265085	0.000255469	0.0235012	0.331821	3.64442	0.302026	0.291478	0.13525	0.271246	0.02816377	2.579586
50	0	-3306.489	-3299.06	-7.429338	0.8460469	0.196511	0.474079	0.686645	0.0573825	0.0857372	0.092705	0.164811	0.111404	0.521403	0.12617	0.0432903	0.0470373	0.0423505	0.435126	0.00627462	0.1784375	-0.2645248	0.017234	0.521559	0.0028908	0.0112428	0.437856	0.00921697	0.3951804	0.00046991	0.0317872	0.374491	3.59325	0.293106	0.32154	0.132052	0.253303	0.1306555	3.024598
51	1	-3313.19	-3305.02	-8.170226	0.7198866	0.1670037	0.485241	0.303718	0.178293	0.15763	0.167915	0.11624	0.140902	0.0292693	0.239026	0.146523	0.121559	0.314593	0.823541	0.0817491	0.2741399	0.02902905	0.0120186	0.507514	0.00313624	0.00888567	0.454571	0.0138748	0.1586579	0.000135673	0.0171645	0.292319	3.69038	0.275733	0.307811	0.138277	0.27818	0.1876869	0.8453326
