Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
440	-3310.94	-3297.73	-13.215	0.3088138	0.1824269	0.455559	0.0130913	0.33326	0.191701	0.192479	0.0637385	0.629698	1.16401	0.13279	0.176082	0.0692619	0.677963	0.377111	0.867844	0.3010562	-0.01422197	0.0171795	0.549548	0.00578047	0.0191104	0.39864	0.00974209	0.07924598	0.000273102	0.0242922	0.336266	3.63917	0.298573	0.287719	0.123562	0.290146	0.06502401	1.218719
450	-3321.4	-3298.79	-22.6033	0.3321041	0.1812866	0.68529	0.0207682	0.500723	0.238934	0.314921	0.0874545	0.875766	1.2537	0.0998066	0.104275	0.026608	0.408287	0.663113	0.940347	0.5465412	-0.2992661	0.00740659	0.557181	0.00679351	0.0178832	0.405752	0.00498349	0.5063826	0.000260397	0.023725	0.333088	3.64293	0.294631	0.315304	0.118378	0.271687	0.2071165	2.444917
460	-3314.23	-3297.45	-16.7712	0.2970881	0.1943182	0.424711	0.0350563	0.471011	0.252065	0.281701	0.291748	0.652242	1.14701	0.0791341	0.208127	0.013896	0.263039	0.294588	1.25873	0.3696274	0.3342667	0.0109481	0.562946	0.00600677	0.00775923	0.408069	0.00427124	0.04404829	0.000434081	0.0305633	0.368667	3.60034	0.310583	0.308011	0.122546	0.25886	0.378315	0.1164328
470	-3313.48	-3298.8	-14.6804	0.3106883	0.1596665	0.386767	0.0127998	0.412263	0.20901	0.267459	0.326011	0.8078	0.817175	0.188679	0.169353	0.0718513	0.152356	0.582103	1.3475	0.3493274	-0.1647016	0.00925581	0.604579	0.00781838	0.0068355	0.366708	0.00480276	0.1654053	9.27461e-05	0.0142073	0.270751	3.71495	0.299951	0.313973	0.115363	0.270714	0.0007036235	235.0763
480	-3314.5	-3298.79	-15.7095	0.3051197	0.2146236	0.397381	0.0258315	0.841399	0.290066	0.212241	0.187123	0.451758	0.595333	0.175879	0.178236	0.149884	0.227629	0.593212	0.864044	0.3436408	-0.3317962	0.00711783	0.595958	0.00619388	0.0102858	0.373412	0.00703201	0.399241	0.000850226	0.0426148	0.420736	3.5358	0.304329	0.316764	0.122259	0.256648	0.06744485	5.919518
490	-3315.76	-3298.24	-17.5153	0.3046289	0.1754239	0.579478	0.0231859	0.732779	0.530199	0.202613	0.0579197	0.39662	0.797134	0.151896	0.172703	0.185192	0.301346	0.736825	1.5156	0.3333219	0.08472639	0.014193	0.487801	0.00256477	0.00982715	0.478624	0.00698946	0.09563987	0.00020184	0.0209079	0.316564	3.66233	0.307929	0.310002	0.119904	0.262166	0.1803663	0.5302537
500	-3323.02	-3303.51	-19.5057	0.3418414	0.1992088	0.462664	0.0359362	0.646594	0.749956	0.183067	0.597642	0.289613	0.91562	0.138283	0.172202	0.164819	0.599189	0.371918	1.51659	0.5159969	0.05788653	0.0127694	0.43486	0.0020275	0.00601694	0.541158	0.00316853	0.1017371	0.000516829	0.0333203	0.38159	3.58457	0.308801	0.285084	0.133222	0.272892	0.1596236	0.6373562
510	-3319.17	-3296.98	-22.195	0.3659466	0.2009335	0.299944	0.0892932	0.810483	0.719018	0.117729	0.553954	0.451197	0.970594	0.0703141	0.216526	0.195904	0.907254	0.23255	1.62542	0.4403307	-0.01288322	0.019615	0.483834	0.00387013	0.00645913	0.482792	0.00342962	0.2732254	0.000548515	0.0343158	0.38609	3.57905	0.296003	0.305707	0.130214	0.268077	0.2603422	1.049486
520	-3315.49	-3294.4	-21.0983	0.2824346	0.1946319	0.331599	0.156568	0.57889	0.338768	0.214559	0.525187	0.802595	1.18395	0.147045	0.245265	0.0770115	1.18429	0.211998	1.101	0.2811628	0.2445256	0.0142022	0.561113	0.00638285	0.00283802	0.411264	0.00419984	0.04099473	0.000439082	0.0307371	0.369503	3.59932	0.287166	0.299282	0.140199	0.273353	0.2855203	0.143579
530	-3318.88	-3302.17	-16.7071	0.2480547	0.173202	0.574087	0.148933	0.392612	0.392068	0.27431	0.449829	0.640604	0.524162	0.560114	0.331469	0.0737612	0.349442	0.476004	0.875799	0.3541919	0.1283176	0.0200881	0.548033	0.00479885	0.00443594	0.41665	0.00599388	0.08540854	0.000182439	0.0198847	0.310224	3.66971	0.264644	0.304915	0.137698	0.292744	0.2137261	0.3996168
