Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
69	1	-3532.57	-3353.59	-178.986	5.191942	0.3545983	0.01815247	0.0963349	0.0308891	0.394424	0.00140964	0.000107881	0.55117	0.0219996	10.96704	0.1111291	4	40.26795	0.3531576	0.0107459	0.147127	0.677077	3.16505	0.27779	0.306106	0.146336	0.269768	0.207464	0.535655
70	0	-3581.8	-3381.36	-200.434	9.183544	0.2947883	0.01991346	-0.01810826	0.0383635	0.479935	0.000358422	0.0021124	0.472653	0.00657752	10.81237	0.1009026	2	47.79889	0.3328488	0.00488208	0.100447	0.586946	3.30773	0.271119	0.299374	0.140449	0.289058	0.08279432	1.218714
71	1	-3521.7	-3344.71	-176.983	5.191942	0.3740299	0.01421462	0.0290133	0.0309885	0.395693	0.00141418	0.000107864	0.552943	0.0188539	11.25885	0.1628358	4	39.58717	0.3531576	0.013153	0.162106	0.701576	3.12316	0.27779	0.306106	0.146336	0.269768	0.1918491	0.8487702
72	0	-3573.5	-3379.18	-194.324	6.892995	0.2915995	0.02228118	-0.02049339	0.0383635	0.479935	0.000358422	0.0021124	0.472653	0.00657752	10.81237	0.1098165	2	47.92498	0.4031553	0.00463866	0.097978	0.581422	3.31596	0.271543	0.2992	0.140367	0.28889	0.08932315	1.22943
73	1	-3521.37	-3343.19	-178.186	5.191942	0.3764667	0.01511056	0.07096268	0.0310589	0.396593	0.00161609	0.000108109	0.5542	0.0164247	11.09529	0.1314025	5	39.05274	0.3531576	0.0134709	0.16397	0.704505	3.11805	0.283152	0.303833	0.145249	0.267766	0.2023651	0.6493335
74	0	-3572.19	-3375.52	-196.672	7.545787	0.260847	0.02514059	0.01851952	0.0358661	0.51535	0.00038487	0.00236071	0.438976	0.00706288	10.81237	0.08899161	2	48.2255	0.4031553	0.0026563	0.0746277	0.523809	3.39891	0.265268	0.292286	0.137123	0.305323	0.1075111	0.8277432
75	1	-3515.05	-3340.83	-174.223	5.168559	0.3400901	0.01507768	0.06761588	0.0310057	0.395913	0.00161333	0.000107924	0.55325	0.0181095	11.57421	0.1235957	5	37.78505	0.3929426	0.00910296	0.135833	0.657377	3.19769	0.283443	0.304145	0.145398	0.267014	0.1912116	0.646382
76	0	-3569.37	-3375.24	-194.133	7.545787	0.2410162	0.02310954	0.06069176	0.0366665	0.52685	0.000393459	0.00241339	0.429042	0.00463426	10.81237	0.06634785	1	48.33364	0.4031553	0.00171917	0.0602831	0.482153	3.45584	0.273031	0.289198	0.135675	0.302097	0.1270396	0.5222611
77	1	-3514.98	-3340.22	-174.761	7.047438	0.343195	0.01598459	0.08965951	0.0251627	0.510028	0.00130929	8.0194e-05	0.44899	0.0144299	11.57421	0.1147352	5	37.41912	0.4017936	0.00944311	0.138256	0.6617	3.1906	0.295416	0.288559	0.137731	0.278294	0.2043947	0.5613413
78	0	-3572.55	-3373.76	-198.79	7.545787	0.2336176	0.02304166	0.07246046	0.0366665	0.52685	0.000393459	0.00241339	0.429042	0.00463426	10.81237	0.06634785	1	48.19554	0.4031553	0.00143412	0.0551411	0.465641	3.47778	0.28769	0.304725	0.142959	0.264625	0.1388083	0.4779818
