Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_cytb[5]	rates_cytb[6]	rates_cytb[7]	rates_cytb[8]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
360	-3300.29	-3299.62	-0.665056	0.4885889	0.2312032	0.341384	0.134744	0.159913	0.232156	0.125647	0.209146	0.13385	0.30637	0.110366	0.426897	0.0962579	0.245202	0.394498	0.242634	0.1703405	0.02091353	0.015111	0.448474	0.00587559	0.00563774	0.517756	0.00714589	0.1344824	6.72169e-05	0.00262947	0.0207511	0.0862335	0.259628	0.660643	1.60019	5.36985	0.317668	0.283571	0.133428	0.265332	0.155396	0.8654178
370	-3308.61	-3303.36	-5.24819	0.4827073	0.2248741	0.469728	0.186507	0.201056	0.365949	0.118331	0.299679	0.200618	0.389163	0.133795	0.504641	0.132633	0.38574	0.359499	0.584318	0.2559448	0.05244243	0.013981	0.366947	0.0111367	0.00901783	0.594331	0.00458637	0.07377329	5.22304e-05	0.00222745	0.0185373	0.0799512	0.247466	0.643383	1.58608	5.4223	0.293512	0.289761	0.143502	0.273225	0.1262157	0.5845016
380	-3312.58	-3303.21	-9.37183	0.5218999	0.1780678	0.43437	0.155235	0.153737	0.362154	0.110971	0.450315	0.0980094	0.494414	0.104029	0.321651	0.113992	0.540861	0.490101	0.807757	0.2596003	0.002154895	0.0110409	0.522031	0.00420372	0.00738132	0.451452	0.00389112	0.09092226	4.62608e-06	0.000449139	0.00618809	0.0381268	0.154233	0.493875	1.44196	5.86516	0.279339	0.28982	0.152598	0.278242	0.09307715	0.9768483
390	-3307.14	-3304.02	-3.11884	0.5272676	0.2087354	0.274324	0.210286	0.2256	0.451252	0.221651	0.319264	0.118421	0.37114	0.123984	0.30871	0.0965923	0.100554	0.459146	0.459292	0.2041879	-0.005396478	0.0177499	0.401651	0.00934377	0.00523585	0.556265	0.00975444	0.08855983	2.56101e-05	0.00139268	0.0134573	0.0644668	0.215809	0.59633	1.54505	5.56347	0.294156	0.293015	0.135561	0.277268	0.08316335	1.06489
400	-3306.3	-3302.58	-3.72298	0.5891873	0.2109938	0.29441	0.194312	0.172038	0.460593	0.158591	0.488931	0.128376	0.38106	0.100895	0.305386	0.128865	0.0999429	0.371186	0.635133	0.256366	-0.02625309	0.0124943	0.540138	0.00517827	0.000746152	0.436138	0.00530497	0.04257184	2.84826e-05	0.00149385	0.0141178	0.0665798	0.220287	0.603186	1.55127	5.54304	0.281985	0.323299	0.128428	0.266288	0.01631875	2.608769
410	-3305.47	-3303.98	-1.49007	0.4688439	0.2437216	0.262907	0.17421	0.09918	0.453965	0.190379	0.244695	0.133902	0.441388	0.182129	0.502879	0.35139	0.302143	0.227382	0.169225	0.1977808	-0.04858656	0.016493	0.472509	0.00357365	0.0039485	0.493724	0.0097519	0.07283739	0.000106502	0.0035574	0.025473	0.0989165	0.283186	0.692928	1.62525	5.27058	0.30176	0.282397	0.145742	0.270101	0.02425083	3.003501
420	-3310.75	-3306.87	-3.87863	0.5492201	0.1576577	0.305688	0.189321	0.140959	0.357603	0.147871	0.378124	0.047277	0.368359	0.114523	0.32704	0.15171	0.12646	0.561384	0.210906	0.2515103	0.07070575	0.0196459	0.420798	0.00400963	0.00298716	0.546414	0.00614579	0.02992565	1.02322e-06	0.000165091	0.00309716	0.0238003	0.11386	0.415707	1.34897	6.0944	0.29345	0.297404	0.132931	0.276215	0.1006314	0.2973788
430	-3304.83	-3304.04	-0.786294	0.4651445	0.2220115	0.165351	0.34189	0.164784	0.473896	0.151792	0.185045	0.0585619	0.519448	0.103127	0.192612	0.288788	0.142023	0.27329	0.175851	0.2302271	-0.02587064	0.0199072	0.401739	0.00329249	0.000632869	0.564062	0.0103665	0.05760777	4.63785e-05	0.00205986	0.0175762	0.0771446	0.241915	0.635361	1.57936	5.44654	0.292294	0.311162	0.135317	0.261228	0.03173712	1.815154
440	-3303.69	-3298.64	-5.0505	0.4624543	0.2422394	0.14718	0.213279	0.183436	0.34262	0.103491	0.214707	0.0356839	0.524695	0.131834	0.0867461	0.419638	0.0960801	0.185643	0.666908	0.2256234	0.01472376	0.0159329	0.509185	0.00436123	0.00161497	0.453647	0.0152594	0.02395081	0.000101105	0.00343807	0.024891	0.0973999	0.280433	0.689229	1.62247	5.28204	0.284956	0.297068	0.138564	0.279412	0.03867457	0.6192909
450	-3299.96	-3298.91	-1.049	0.468746	0.227147	0.201375	0.178215	0.142256	0.306004	0.145829	0.208685	0.129047	0.472429	0.0701443	0.210154	0.153782	0.313445	0.16614	0.17223	0.1559129	-0.1732221	0.0225965	0.468132	0.00148646	0.00496329	0.486745	0.016077	0.3479456	5.7276e-05	0.00236679	0.0193185	0.0821957	0.251852	0.649656	1.59127	5.40328	0.299951	0.275301	0.140442	0.284305	0.1747235	1.991407
