Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
65	-3488.39	-3318.8	-169.584	5.184764	0.2532332	0.0168465	0.09786538	0.0272176	0.494126	0.0099517	0.000973532	0.453656	0.0140754	10.92116	0.1190203	5	38.1502	0.4105446	0.00226588	0.0690347	0.508255	3.42044	0.276213	0.299171	0.131977	0.29264	0.2168857	0.5487697
66	-3490	-3319.37	-170.63	5.184764	0.2710939	0.0152126	0.1222754	0.0267193	0.503388	0.0097695	0.000955708	0.44535	0.0138177	10.92116	0.1190203	4	38.52108	0.4701663	0.00324386	0.0822919	0.543911	3.37055	0.270299	0.292765	0.150562	0.286374	0.2412957	0.493255
67	-3488.43	-3318.6	-169.831	4.796173	0.2710939	0.01746413	0.05040118	0.0260402	0.503579	0.00977321	0.00173287	0.44552	0.0133548	11.2139	0.1485832	4	38.93779	0.4701663	0.00324386	0.0822919	0.543911	3.37055	0.264739	0.307313	0.147465	0.280483	0.1989844	0.7467079
68	-3485.55	-3320.23	-165.321	4.796173	0.2580428	0.01656989	0.06138295	0.0261016	0.504766	0.010724	0.00300068	0.44657	0.00883782	11.1593	0.1291173	5	38.47748	0.4701663	0.00250798	0.0725567	0.518143	3.40679	0.273668	0.317678	0.152439	0.256215	0.1905003	0.6777802
69	-3482.86	-3314.78	-168.079	4.796173	0.2699655	0.01564175	0.06329821	0.0261081	0.504892	0.0107267	0.00275265	0.446681	0.00884001	13.6223	0.1180005	5	38.88145	0.5052384	0.00317562	0.0814412	0.541743	3.37364	0.26648	0.309334	0.148435	0.275751	0.1812987	0.6508624
70	-3481.32	-3312.66	-168.664	5.723512	0.2504188	0.01462399	0.0908659	0.0260264	0.503311	0.0106931	0.00274404	0.445283	0.0119424	13.6223	0.1035455	5	38.09777	0.59085	0.00213133	0.0669926	0.502368	3.42851	0.283346	0.305681	0.138479	0.272494	0.1944114	0.5326102
71	-3488.67	-3318.27	-170.4	5.723512	0.2618688	0.0184793	0.07907157	0.0265617	0.500856	0.00937252	0.00273065	0.44311	0.0173691	13.6223	0.09641945	5	38.53448	0.6331272	0.00271167	0.0753853	0.525856	3.39605	0.283346	0.305681	0.138479	0.272494	0.175491	0.5494267
72	-3492.63	-3319.08	-173.558	5.175842	0.2549217	0.01748409	0.07907157	0.026506	0.499805	0.00935286	0.00482312	0.44218	0.0173327	13.6223	0.09641945	4	40.17037	0.6331272	0.00234912	0.0702666	0.51175	3.41563	0.280253	0.302344	0.136968	0.280435	0.175491	0.5494267
73	-3489.07	-3318.98	-170.088	4.464163	0.2536069	0.01634235	-0.01472984	0.0255836	0.534306	0.00902741	0.0046553	0.409698	0.0167296	13.07724	0.1416866	4	39.49944	0.5075343	0.00228413	0.0693068	0.50903	3.41938	0.280253	0.302344	0.136968	0.280435	0.1269567	1.116023
74	-3489.29	-3317.4	-171.898	5.173659	0.2551366	0.01659974	0.09604477	0.0256209	0.535083	0.00758565	0.00466207	0.410294	0.0167539	13.07724	0.1011758	4	40.43072	0.5075343	0.00235985	0.0704238	0.512194	3.41502	0.280253	0.302344	0.136968	0.280435	0.1972206	0.5130084
