Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
610	-3315.434	-3301.714	-13.71954	0.2789796	0.2030947	0.2449539	-0.06130397	0.0166272	0.479342	0.0102016	0.00712679	0.481692	0.00501018	0.2137813	0.00059013	0.0355797	0.391686	3.57214	0.285679	0.30402	0.137452	0.272849	0.1524773	1.402053
620	-3314.344	-3302.315	-12.02873	0.2802455	0.2442624	0.2601144	-0.007163406	0.0201077	0.440547	0.0065048	0.0151802	0.51589	0.00177012	0.08365723	0.00185505	0.0625788	0.489229	3.44634	0.297521	0.298633	0.14442	0.259426	0.07649383	1.093647
630	-3318.104	-3305.138	-12.96601	0.2806735	0.2113385	0.2806488	0.2099235	0.013243	0.528569	0.012162	0.0119517	0.433561	0.000513803	0.01413612	0.000769333	0.0405621	0.412597	3.54607	0.317495	0.288782	0.133754	0.259969	0.2240596	0.0630909
640	-3323.487	-3309.57	-13.91628	0.3454965	0.2159951	0.2052992	-0.1669836	0.005727	0.481724	0.0123073	0.0117431	0.487526	0.000972693	0.2913271	0.000885667	0.0434825	0.424102	3.53153	0.295561	0.29477	0.146667	0.263002	0.1243435	2.342921
650	-3319.036	-3307.574	-11.4619	0.3506032	0.2142867	0.2609713	0.0868776	0.0115045	0.456526	0.010388	0.00989038	0.509828	0.00186307	0.002755179	0.000841672	0.0424026	0.419907	3.53685	0.271923	0.309529	0.147763	0.270784	0.08963278	0.03073852
660	-3321.737	-3310.599	-11.13768	0.3917715	0.2380242	0.2320473	0.01599327	0.00961754	0.509948	0.0140808	0.0107551	0.44882	0.00677874	0.03442698	0.00159982	0.0581881	0.475541	3.46467	0.293253	0.305202	0.130596	0.270949	0.05042025	0.6828006
670	-3320.419	-3309.815	-10.60443	0.393534	0.2407625	0.2233975	0.03377489	0.0189268	0.469812	0.00674757	0.0115046	0.482709	0.0103007	0.002008969	0.00170884	0.0601047	0.481596	3.45659	0.285687	0.305912	0.147368	0.261032	0.03578386	0.05614177
680	-3323.615	-3311.613	-12.00203	0.4307211	0.2355526	0.1803294	0.06595937	0.0212924	0.584937	0.0108952	0.00582113	0.375645	0.00140909	0.08169835	0.00150542	0.0564732	0.470012	3.47201	0.311518	0.293337	0.122664	0.272481	0.1476577	0.5532955
690	-3327.643	-3315.173	-12.47049	0.4313734	0.2360685	0.2122469	-0.1710012	0.0194295	0.42325	0.00711081	0.00453433	0.543065	0.00261096	0.2091111	0.00152481	0.05683	0.471171	3.47047	0.284131	0.292929	0.135952	0.286987	0.03810989	5.487055
700	-3330.084	-3308.448	-21.63593	0.3848739	0.2117752	0.2352172	-0.2006475	0.0180826	0.468303	0.00576886	0.00755877	0.497906	0.00238091	0.6847642	0.000779764	0.0408328	0.413685	3.5447	0.297266	0.310125	0.12759	0.26502	0.4841166	1.414461
