Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
38	0	-3285.872	-3296.833	10.9616	2.616995	0.1974321	0.0195127	0.0326809	0.0262721	0.0386401	0.0323717	0.0327585	0.1083	0.0461131	0.0171387	0.0249957	0.0675999	0.0783684	0.0507146	0.0599863	0.03952675	-0.06172198	0.0134335	0.579664	0.00936373	0.0095862	0.384209	0.00374344	4.522011	0.1226127	-3.230778	0.000485572	0.0323073	0.376923	3.59028	0.292228	0.313821	0.134332	0.259618	0.06089074	2.013651
39	1	-3304.43	-3313.866	9.436399	3.65687	0.1950672	0.0227817	0.0388419	0.043429	0.0288709	0.0271466	0.0368385	0.05695	0.0574131	0.0124984	0.0218009	0.0170427	0.0164935	0.0243979	0.013595	0.02066849	-0.06339658	0.0192909	0.55233	0.00771091	0.00275629	0.408416	0.00949507	9.336014	0.3064669	-3.879145	0.000446091	0.0309791	0.370662	3.59791	0.286588	0.31083	0.15413	0.248453	0.2430703	1.260816
40	0	-3288.912	-3298.511	9.59823	2.552065	0.2121232	0.0225893	0.025892	0.0205296	0.0314293	0.042099	0.044959	0.125105	0.0454412	0.0150803	0.045373	0.0675878	0.0829112	0.0308878	0.0355889	0.02977983	-0.002685595	0.0145038	0.516373	0.00435453	0.0138194	0.446001	0.00494901	4.798126	0.07141162	-3.513924	0.000788147	0.041049	0.414551	3.54361	0.281655	0.30818	0.150084	0.260081	0.06872602	1.039077
41	1	-3299.751	-3306.521	6.770467	3.371367	0.1915712	0.0213053	0.0437411	0.0505442	0.0319331	0.0215602	0.0336938	0.0714138	0.0678219	0.0128186	0.0153098	0.022793	0.0225926	0.0230095	0.0170946	0.03089009	-0.03302688	0.0281916	0.472303	0.0066445	0.00217601	0.482898	0.00778708	8.919146	0.3812172	-3.47732	0.000392017	0.0290588	0.361304	3.60925	0.272972	0.313535	0.139177	0.274315	0.3481903	1.094853
42	0	-3293.806	-3304.542	10.73587	2.889538	0.2060813	0.0251476	0.0278317	0.0283881	0.0447109	0.0419724	0.045384	0.0931972	0.0683288	0.0162415	0.0387796	0.0310254	0.0396826	0.0167722	0.115073	0.04559586	-0.06044703	0.0179697	0.496816	0.00428311	0.0251047	0.445101	0.0107258	4.660786	0.08313213	-3.087938	0.000651235	0.0373558	0.399342	3.56265	0.286875	0.324952	0.131632	0.25654	0.0226851	3.664614
43	1	-3292.263	-3302.793	10.52968	3.270056	0.1651615	0.0290942	0.0311953	0.0435575	0.0166412	0.0207538	0.0395015	0.0566723	0.0835429	0.0104898	0.0184093	0.048253	0.030184	0.0225118	0.0361373	0.02784708	-0.1006528	0.020468	0.486946	0.00239023	0.00543072	0.479524	0.00524126	9.165881	0.1833562	-3.581027	0.000123708	0.0163948	0.28694	3.69654	0.297798	0.29997	0.137372	0.264861	0.08270347	2.217032
44	0	-3288.914	-3302.114	13.20017	2.249627	0.2112385	0.0241329	0.0216695	0.0408064	0.0350564	0.0402947	0.0483222	0.088094	0.0329023	0.0184656	0.0316518	0.0218339	0.0534319	0.0140727	0.0464574	0.03145182	-0.009324698	0.0206663	0.474948	0.00590936	0.0145771	0.482325	0.00157461	5.964538	0.1166832	-3.459298	0.000766956	0.0405001	0.412348	3.54639	0.277858	0.314232	0.124562	0.283348	0.1073585	1.086856
45	1	-3295.429	-3305.539	10.10977	2.618198	0.1859722	0.0342861	0.0280054	0.0473171	0.0184877	0.0277945	0.026901	0.038574	0.0807964	0.0190036	0.0155197	0.0504309	0.0170855	0.036878	0.0407463	0.04184106	0.03958326	0.0175273	0.567058	0.00125396	0.0225927	0.381073	0.0104954	7.130885	0.1557657	-3.173877	0.000315519	0.026095	0.346068	3.62752	0.309073	0.287862	0.145223	0.257841	0.1953489	0.7973715
46	0	-3287.799	-3301.609	13.80939	2.249627	0.1697411	0.0361525	0.0253932	0.0426185	0.0304352	0.0512702	0.0648945	0.073624	0.0512804	0.0141186	0.0249131	0.0311413	0.0397069	0.034085	0.0462849	0.04031525	-0.06496929	0.025192	0.54061	0.00647285	0.0082143	0.41813	0.00138025	4.511484	0.1424401	-3.211025	0.000155046	0.0183413	0.300265	3.68124	0.271489	0.293861	0.128604	0.306046	0.07747079	1.83863
47	1	-3287.809	-3303.949	16.13965	2.33734	0.1957256	0.0314342	0.031776	0.0459155	0.0165923	0.0406945	0.0273588	0.027931	0.0543115	0.0188921	0.0289661	0.0250351	0.0377812	0.0446585	0.0367436	0.03378942	-0.01556973	0.0100623	0.517416	0.00171245	0.0207719	0.436275	0.0137622	6.942553	0.06114287	-3.387608	0.000456843	0.0313466	0.37241	3.59579	0.282942	0.322699	0.135332	0.259026	0.04557314	1.341643
