Iteration	Replicate_ID	Posterior	Likelihood	Prior	kappa	omega	pi[1]	pi[2]	pi[3]	pi[4]
110	0	-4683.2	-4679.4	-3.79982	2.344831	0.03126995	0.207044	0.297054	0.23818	0.257723
111	0	-4681.88	-4678.55	-3.32782	1.70579	0.0304393	0.215605	0.292956	0.237327	0.254111
112	0	-4689.52	-4686.52	-3.00812	1.932045	0.03783764	0.228751	0.292717	0.23971	0.238821
113	0	-4681.97	-4678.24	-3.72589	1.723074	0.02622422	0.217231	0.286147	0.251256	0.245366
114	0	-4684.41	-4680.53	-3.8842	2.452399	0.03126617	0.206386	0.294381	0.246806	0.252426
115	0	-4683.4	-4679.75	-3.6553	2.124997	0.03085562	0.210469	0.320073	0.225753	0.243706
116	0	-4683.39	-4679.36	-4.02455	1.952468	0.02527673	0.202767	0.301386	0.237266	0.258582
117	0	-4683.7	-4680.33	-3.36477	1.856162	0.03164718	0.220729	0.309869	0.220125	0.249277
118	0	-4681.37	-4677.75	-3.6125	2.149691	0.03165576	0.209588	0.297276	0.245895	0.247241
119	0	-4682.25	-4679.04	-3.20464	1.847207	0.03370161	0.211709	0.300285	0.248384	0.239622
120	0	-4683.23	-4679.61	-3.62605	1.66537	0.02670498	0.205985	0.290877	0.257952	0.245186
121	0	-4685.46	-4682	-3.45787	1.911615	0.03107379	0.213562	0.312847	0.252737	0.220855
122	0	-4681.71	-4678.1	-3.60323	1.934339	0.02954659	0.208244	0.286923	0.245744	0.259088
123	0	-4681.01	-4677.37	-3.64425	1.917982	0.02891098	0.213724	0.307365	0.229461	0.24945
124	0	-4680.9	-4677.22	-3.6814	1.898071	0.02830255	0.210648	0.302516	0.249024	0.237812
125	0	-4681.93	-4678.3	-3.63018	2.035447	0.03024832	0.209999	0.295312	0.232171	0.262519
126	0	-4681.62	-4677.81	-3.80805	2.2187	0.02992769	0.209208	0.296687	0.24138	0.252726
127	0	-4682.12	-4678.26	-3.85847	2.204778	0.02920405	0.216492	0.294015	0.242486	0.247008
128	0	-4682.36	-4678.9	-3.45675	1.695886	0.02881858	0.210593	0.312048	0.238905	0.238453
129	0	-4681.33	-4677.66	-3.66442	1.827582	0.02781844	0.20647	0.291656	0.24844	0.253435
130	0	-4680.49	-4677	-3.48937	1.794338	0.0294529	0.210973	0.302281	0.241299	0.245447
131	0	-4683.46	-4680.21	-3.25142	1.698839	0.03131327	0.207811	0.296972	0.258301	0.236916
132	0	-4681.14	-4677.45	-3.6906	2.010285	0.02928224	0.209592	0.29544	0.253974	0.240994
133	0	-4682.04	-4678.41	-3.62462	1.742998	0.0274444	0.2063	0.293754	0.255051	0.244895
134	0	-4682.4	-4678.57	-3.83504	1.947389	0.02711124	0.213119	0.284809	0.241475	0.260597
135	0	-4682.04	-4678.54	-3.50119	1.896958	0.03038104	0.213352	0.306265	0.224365	0.256018
136	0	-4687.19	-4684.2	-2.99239	1.790725	0.03611031	0.21035	0.298767	0.26153	0.229353
137	0	-4685.62	-4682.53	-3.09619	1.818019	0.03489958	0.201928	0.314803	0.2455	0.237769
138	0	-4683.18	-4679.44	-3.73961	1.901178	0.02769897	0.200606	0.310166	0.247007	0.242221
139	0	-4685.7	-4682.18	-3.52298	1.997592	0.03117914	0.210078	0.273981	0.248922	0.267019
140	0	-4682.26	-4678.88	-3.37991	1.929591	0.03228042	0.202119	0.299778	0.240105	0.257999
141	0	-4681.78	-4677.96	-3.82272	1.903315	0.02684721	0.215291	0.290898	0.235943	0.257869
142	0	-4681.94	-4678.19	-3.75493	2.208086	0.03046526	0.208895	0.292996	0.249553	0.248556
143	0	-4681.01	-4677.52	-3.48409	1.83894	0.02997835	0.217577	0.306388	0.236964	0.239071
144	0	-4681.74	-4678.13	-3.60913	1.725231	0.02744022	0.210992	0.294547	0.255165	0.239295
145	0	-4682.28	-4678.79	-3.49557	2.008828	0.03165038	0.206156	0.307677	0.250004	0.236163
146	0	-4683.13	-4679.56	-3.56228	2.093824	0.03170851	0.203265	0.311009	0.248884	0.236842
147	0	-4685.62	-4682.11	-3.50269	1.752617	0.028874	0.227975	0.289951	0.224997	0.257077
148	0	-4682.9	-4679.39	-3.51887	1.756408	0.02872924	0.219593	0.306102	0.222625	0.25168
149	0	-4683.11	-4679.88	-3.22264	1.765045	0.0324605	0.21763	0.288897	0.237657	0.255816
150	0	-4682.99	-4679.48	-3.51092	1.975751	0.03109741	0.218389	0.286066	0.257256	0.238289
151	0	-4683.11	-4679.19	-3.92132	2.238291	0.0287963	0.209042	0.315366	0.231803	0.243789
152	0	-4682.1	-4678.16	-3.94661	2.266599	0.02876783	0.212893	0.299708	0.240772	0.246626
153	0	-4680.92	-4677.47	-3.44721	1.961459	0.03175566	0.210695	0.307269	0.233734	0.248302
154	0	-4683.4	-4680.02	-3.38661	1.928734	0.03218206	0.206708	0.28643	0.262747	0.244115
155	0	-4680.38	-4676.61	-3.77446	1.989218	0.0281377	0.212757	0.300664	0.242918	0.243661
156	0	-4683.75	-4679.55	-4.19742	1.957932	0.02375502	0.217677	0.294557	0.251916	0.235851
157	0	-4685.8	-4682.2	-3.60037	1.873928	0.02897685	0.203112	0.326681	0.231423	0.238785
158	0	-4682.11	-4678.05	-4.05393	2.112355	0.02629611	0.210199	0.305862	0.233931	0.250008
159	0	-4682.78	-4679.51	-3.27588	1.813813	0.03232561	0.220535	0.309861	0.233654	0.23595
160	0	-4684.39	-4681.2	-3.1897	1.655975	0.03160698	0.226521	0.290765	0.241848	0.240866
161	0	-4683.37	-4679.69	-3.67467	2.182392	0.03120343	0.201936	0.314109	0.23034	0.253615
162	0	-4680.54	-4676.82	-3.71513	1.954235	0.02846363	0.207443	0.299552	0.240692	0.252313
163	0	-4682.16	-4678.56	-3.59844	1.970697	0.02997114	0.221878	0.307302	0.234486	0.236334
164	0	-4683.56	-4680.22	-3.33724	1.641054	0.02962403	0.209428	0.291186	0.236788	0.262598
165	0	-4684.11	-4680.61	-3.50843	1.914715	0.0304798	0.227532	0.297959	0.226583	0.247926
166	0	-4683.52	-4679.78	-3.74399	1.743042	0.02622174	0.227038	0.29948	0.241311	0.232171
167	0	-4681.44	-4677.91	-3.52819	1.856562	0.0296378	0.206142	0.31099	0.238381	0.244487
