Iteration	Posterior	Likelihood	Prior	kappa	omega_background	omega_focal	omega_scalar	pi[1]	pi[2]	pi[3]	pi[4]	prob_inc
2280	-1.20984	0	-1.20984	1.070781	0.642799	0.9853022	1.532831	0.525533	0.208389	0.0805607	0.185518	1
2290	-1.73131	0	-1.73131	1.740168	0.48898	0.7495236	1.532831	0.387048	0.47949	0.0575161	0.0759462	1
2300	-2.70335	0	-2.70335	2.984075	0.2891087	0.4431548	1.532831	0.249986	0.042015	0.480184	0.227815	1
2310	-1.33226	0	-1.33226	0.7501391	1.095169	1.678709	1.532831	0.395567	0.120016	0.300638	0.183779	1
2320	-0.998362	0	-0.998362	0.9676672	0.5003629	0.7669717	1.532831	0.158203	0.675099	0.152695	0.0140024	1
2330	-1.26557	0	-1.26557	0.4753578	1.251325	1.91807	1.532831	0.73503	0.0156467	0.10225	0.147073	1
2340	-0.675812	0	-0.675812	0.3983354	0.1988422	0.3047915	1.532831	0.433353	0.0146993	0.1911	0.360848	1
2350	-1.42644	0	-1.42644	0.6942969	1.24317	1.905569	1.532831	0.182521	0.0862286	0.192654	0.538597	1
2360	-0.848	0	-0.848	0.8167618	0.4991148	0.7650586	1.532831	0.447643	0.0694761	0.05594	0.426941	1
2370	-1.35829	0	-1.35829	0.2699828	1.331239	2.040564	1.532831	0.171623	0.291188	0.0236134	0.513576	1
2380	-1.14662	0	-1.14662	0.1834854	0.9212	1.412044	1.532831	0.380564	0.244109	0.171626	0.203701	1
2390	-0.852067	0	-0.852067	0.8304838	0.4831999	0.7406638	1.532831	0.210624	0.101156	0.00906241	0.679157	1
2400	-1.17445	0	-1.17445	0.708175	0.9765878	1.496944	1.532831	0.288115	0.040728	0.00127125	0.669886	1
2410	-1.34723	0	-1.34723	1.177898	0.199673	0.306065	1.532831	0.207875	0.695832	0.00827559	0.0880176	1
2420	-0.856301	0	-0.856301	0.4961669	0.8270788	1.267772	1.532831	0.640097	0.060791	0.167813	0.131298	1
2430	-0.975743	0	-0.975743	0.5467441	0.9137389	1.400607	1.532831	0.0634175	0.812522	0.0598703	0.0641905	1
2440	-3.3472	0	-3.3472	2.055644	1.941551	2.97607	1.532831	0.356417	0.371763	0.0645158	0.207304	1
2450	-0.697393	0	-0.697393	0.7073783	0.3765648	0.5772101	1.532831	0.109731	0.704344	0.0601283	0.125797	1
2460	-0.499731	0	-0.499731	0.4315682	0.3379642	0.518042	1.532831	0.479005	0.192025	0.0687092	0.260261	1
2470	-1.86936	0	-1.86936	0.2859611	1.907417	2.923748	1.532831	0.094465	0.24708	0.568058	0.0903976	1
2480	-0.89951	0	-0.89951	0.8920632	0.2957446	0.4533264	1.532831	0.128062	0.591755	0.123741	0.156443	1
2490	-2.25201	0	-2.25201	2.398498	0.3169426	0.4858194	1.532831	0.412559	0.0842198	0.292699	0.210522	1
2500	-2.45223	0	-2.45223	2.079352	0.9688254	1.485045	1.532831	0.0157784	0.252819	0.482781	0.248622	1
2510	-0.854101	0	-0.854101	0.6061523	0.7419037	1.137213	1.532831	0.283191	0.495455	0.130211	0.0911427	1
2520	-0.688891	0	-0.688891	0.4440698	0.6789863	1.040771	1.532831	0.0597938	0.659876	0.228857	0.0514731	1
2530	-1.27157	0	-1.27157	1.167596	0.6019373	0.9226682	1.532831	0.388864	0.232895	0.229966	0.148275	1
2540	-0.823726	0	-0.823726	0.1621675	0.4059828	0.622303	1.532831	0.324126	0.00144255	0.624687	0.0497444	1
2550	-0.928677	0	-0.928677	0.944969	0.359105	0.5504472	1.532831	0.249401	0.332955	0.264111	0.153533	1
2560	-1.12131	0	-1.12131	0.6693114	0.9588131	1.469698	1.532831	0.165035	0.241489	0.183989	0.409487	1
2570	-1.31914	0	-1.31914	0.7588411	1.073703	1.645806	1.532831	0.0254822	0.430334	0.019624	0.524559	1
2580	-1.63847	0	-1.63847	0.3395991	1.678364	2.572649	1.532831	0.668981	0.151499	0.00407267	0.175447	1
2590	-1.23036	0	-1.23036	0.127296	0.6746226	1.034082	1.532831	0.0704319	0.445407	0.0325296	0.451632	1
2600	-1.16631	0	-1.16631	0.685916	0.1368601	0.2097833	1.532831	0.0588532	0.212361	0.208614	0.520172	1
2610	-0.526126	0	-0.526126	0.3495382	0.4905938	0.7519973	1.532831	0.0342798	0.187884	0.324058	0.453778	1
