Iteration	Posterior	Likelihood	Prior	kappa	omega	pi[1]	pi[2]	pi[3]	pi[4]
2030	-4682.48	-4678.83	-3.64353	1.94682	0.02920262	0.216607	0.307746	0.247213	0.228433
2040	-4684.47	-4680.33	-4.14253	2.038419	0.02485544	0.201666	0.311253	0.240885	0.246197
2050	-4681.3	-4677.48	-3.81654	2.091395	0.02862192	0.210247	0.308485	0.232236	0.249033
2060	-4685.01	-4680.8	-4.2091	1.785046	0.02240548	0.208132	0.298555	0.239337	0.253976
2070	-4682.31	-4678.75	-3.55411	1.76948	0.02846473	0.211837	0.281643	0.252564	0.253956
2080	-4681.19	-4677.67	-3.51806	2.049674	0.03180428	0.212975	0.308425	0.233937	0.244662
2090	-4684.58	-4681.29	-3.28364	1.830763	0.03242038	0.218671	0.278313	0.24865	0.254366
2100	-4681.14	-4677.72	-3.41522	1.756735	0.02993444	0.213618	0.305611	0.242354	0.238417
2110	-4683.04	-4678.92	-4.11685	2.153291	0.02600736	0.213977	0.292596	0.236658	0.256769
2120	-4685.84	-4682.59	-3.24629	1.905541	0.033829	0.202307	0.284527	0.243325	0.26984
2130	-4682.28	-4678.95	-3.33278	1.761055	0.03098927	0.209466	0.309299	0.228944	0.252291
2140	-4682.4	-4679.03	-3.36974	1.675746	0.02961231	0.21963	0.288371	0.240554	0.251444
2150	-4680.52	-4676.78	-3.73568	2.016497	0.02882634	0.213258	0.302972	0.242182	0.241588
2160	-4681.61	-4677.7	-3.90385	1.88632	0.02588867	0.21222	0.291343	0.254165	0.242272
2170	-4682.63	-4678.59	-4.04236	2.296286	0.02797072	0.212736	0.297996	0.24285	0.246418
2180	-4683.45	-4679.85	-3.60416	1.733627	0.02757265	0.216019	0.311157	0.221757	0.251066
2190	-4682.5	-4678.5	-4.00679	1.806736	0.02427851	0.213879	0.304941	0.239902	0.241277
2200	-4681.72	-4678.11	-3.61217	1.697172	0.02714387	0.219982	0.297729	0.24561	0.236679
2210	-4681.66	-4677.88	-3.77936	1.881385	0.02709889	0.212578	0.304059	0.228588	0.254776
2220	-4684.3	-4680.49	-3.80901	2.117365	0.02895011	0.202942	0.289325	0.266517	0.241216
2230	-4681.52	-4677.82	-3.69986	1.926748	0.0283717	0.206079	0.292378	0.256274	0.245269
2240	-4682.69	-4678.63	-4.05986	2.199926	0.02696432	0.212131	0.291994	0.239592	0.256283
2250	-4682.24	-4678.46	-3.78372	1.905595	0.02727204	0.217277	0.297394	0.254306	0.231023
2260	-4682.83	-4679.36	-3.47659	1.695283	0.02858928	0.21394	0.3013	0.226426	0.258334
2270	-4682.83	-4679.36	-3.47619	1.859613	0.03029087	0.219846	0.286168	0.257445	0.236541
2280	-4682.65	-4679.29	-3.36435	1.929947	0.03249193	0.216361	0.29475	0.254185	0.234704
2290	-4681.72	-4678.04	-3.68494	1.76535	0.0270217	0.205357	0.296943	0.247246	0.250454
