Iteration	Posterior	Likelihood	Prior	kappa	omega_background	omega_focal	omega_scalar	pi[1]	pi[2]	pi[3]	pi[4]	prob_inc
1350	-0.835817	0	-0.835817	0.3243372	1.396832	1.358795	0.9727689	0.0122433	0.262998	0.677003	0.0477557	0
1360	-1.54825	0	-1.54825	1.137721	1.484448	1.444025	0.9727689	0.0855828	0.306886	0.243044	0.364487	0
1370	-0.551086	0	-0.551086	0.8262179	0.7836594	0.7623196	0.9727689	0.130214	0.0879752	0.71762	0.0641909	0
1380	-3.75971	0	-3.75971	3.200733	2.057506	2.001478	0.9727689	0.181267	0.218671	0.556581	0.0434815	0
1390	-2.77329	0	-2.77329	2.718439	1.339846	1.303361	0.9727689	0.0983747	0.194647	0.383641	0.323337	0
1400	-0.761424	0	-0.761424	0.8983106	0.9250068	0.8998179	0.9727689	0.0962177	0.104933	0.0732314	0.725618	0
1410	-0.240869	0	-0.240869	0.3202963	0.7914338	0.7698822	0.9727689	0.0816197	0.15002	0.722169	0.0461905	0
1420	-1.42818	0	-1.42818	1.969186	0.2446811	0.2380182	0.9727689	0.105042	0.390242	0.0710566	0.433659	0
1430	-0.525281	0	-0.525281	0.435862	0.126112	0.1226779	0.9727689	0.501871	0.0380777	0.199835	0.260216	0
1440	-1.41486	0	-1.41486	0.2665757	1.9903	1.936102	0.9727689	0.184289	0.507841	0.154584	0.153287	0
1450	-1.85577	0	-1.85577	0.3679125	2.607891	2.536876	0.9727689	0.431252	0.0663146	0.431087	0.0713457	0
1460	-3.0109	0	-3.0109	0.8157255	3.848829	3.744021	0.9727689	0.14643	0.27833	0.443955	0.131284	0
1470	-5.66705	0	-5.66705	4.490336	3.596962	3.499013	0.9727689	0.0410336	0.113953	0.139678	0.705335	0
1480	-3.07085	0	-3.07085	2.317073	2.007435	1.95277	0.9727689	0.209117	0.6399	0.0296475	0.121335	0
1490	-1.86413	0	-1.86413	1.985539	1.005186	0.9778137	0.9727689	0.678754	0.0569272	0.00165317	0.262665	0
1500	-0.472539	0	-0.472539	0.5639792	0.9434018	0.9177119	0.9727689	0.232341	0.712001	0.00605792	0.0496003	0
