Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	extinction[1]	extinction[2]	rate_category_prior[1]	rate_category_prior[2]	speciation[1]	speciation[2]	transition_rates[1]	transition_rates[2]
76	0	-1716.17	-1722.849	6.679498	0.189062	0.0343918	1.66298e-05	11.1238	0.19913	0.80087	0.189078	11.1582	0.0177527	0.000430977
77	1	-1972.244	-1984.874	12.63011	1.74487e-05	0.193459	3.1595e-06	0.111572	0.175504	0.824496	2.06082e-05	0.305032	0.0254542	0.0672968
78	0	-1715.836	-1722.017	6.180853	0.218912	0.0343918	1.86567e-05	11.1238	0.19913	0.80087	0.218931	11.1582	0.0190914	0.000448164
79	1	-1969.748	-1982.02	12.27223	1.69522e-05	0.200548	3.19033e-06	0.109357	0.21244	0.78756	2.01425e-05	0.309906	0.0255362	0.0693611
80	0	-1716.622	-1723.312	6.690049	0.207845	0.0343918	1.86567e-05	11.1238	0.19913	0.80087	0.207864	11.1582	0.0164393	0.000484346
81	1	-1961.849	-1972.997	11.14744	1.56228e-05	0.181027	3.17182e-06	0.104469	0.468719	0.531281	1.87947e-05	0.285495	0.0280992	0.0743923
82	0	-1716.378	-1723.161	6.782541	0.232014	0.0157775	1.95336e-05	11.1424	0.701626	0.298374	0.232033	11.1582	0.0150386	0.000454548
83	1	-1947.027	-1955.856	8.82902	1.56944e-05	0.188759	3.24475e-06	0.122404	0.468719	0.531281	1.89392e-05	0.311163	0.0281761	0.0860043
84	0	-1714.565	-1720.862	6.296872	0.232012	0.0157775	2.10161e-05	11.1424	0.141765	0.858235	0.232033	11.1582	0.017429	0.000423702
85	1	-1939.99	-1947.774	7.784403	1.45634e-05	0.167964	2.94498e-06	0.122404	0.231898	0.768102	1.75084e-05	0.290367	0.0278617	0.0936936
86	0	-1712.992	-1719.214	6.22154	0.22438	0.0157775	1.88393e-05	11.1424	0.141765	0.858235	0.224399	11.1582	0.0187085	0.000391959
87	1	-1942.663	-1951.23	8.566786	1.52033e-05	0.151849	2.30502e-06	0.114756	0.231898	0.768102	1.75084e-05	0.266605	0.0256453	0.0936936
88	0	-1710.472	-1716.476	6.003924	0.217519	0.0157775	1.95288e-05	11.1424	0.141765	0.858235	0.217539	11.1582	0.0200013	0.000315928
89	1	-1938.934	-1946.9	7.965881	1.72625e-05	0.153492	2.51427e-06	0.110507	0.231898	0.768102	1.97768e-05	0.263998	0.0199072	0.101947
90	0	-1709.955	-1716.061	6.105652	0.217518	0.0157775	2.05162e-05	11.1424	0.141765	0.858235	0.217539	11.1582	0.0191516	0.000301649
91	1	-1924.037	-1926.412	2.37502	1.57106e-05	0.169865	3.3289e-06	0.108406	0.73232	0.26768	1.90395e-05	0.278271	0.0216982	0.130557
92	0	-1710.898	-1717.599	6.700457	0.20312	0.0157775	2.08481e-05	11.1424	0.141765	0.858235	0.203141	11.1582	0.0160102	0.000340542
93	1	-1922.304	-1924.849	2.54477	1.6592e-05	0.220999	3.09304e-06	0.108406	0.568042	0.431958	1.9685e-05	0.329406	0.0199919	0.130557
94	0	-1708.723	-1715.482	6.758842	0.219269	0.0157775	2.07579e-05	11.1424	0.141765	0.858235	0.219289	11.1582	0.015327	0.000277077
95	1	-1918.582	-1919.794	1.211937	1.42355e-05	0.217759	2.85357e-06	0.105331	0.169294	0.830706	1.7089e-05	0.32309	0.020013	0.139705
96	0	-1708.082	-1714.796	6.713431	0.220368	0.0157775	2.17036e-05	11.1424	0.141765	0.858235	0.22039	11.1582	0.015327	0.000253365
97	1	-1914.502	-1912.743	-1.758765	1.42238e-05	0.229043	2.8509e-06	0.0940472	0.237877	0.762123	1.70747e-05	0.32309	0.0198484	0.15752
98	0	-1710.45	-1716.974	6.52446	0.18369	0.0157775	1.99471e-05	11.1424	0.200873	0.799127	0.18371	11.1582	0.0179319	0.000253365
99	1	-1910.821	-1907.919	-2.902318	1.57793e-05	0.244985	2.87352e-06	0.0952238	0.141268	0.858732	1.86528e-05	0.340209	0.0254723	0.15752
100	0	-1711.449	-1717.448	5.999317	0.183693	0.0157775	1.73891e-05	11.1424	0.206383	0.793617	0.18371	11.1582	0.0217089	0.000265305
101	1	-1909.447	-1906.439	-3.007142	1.8889e-05	0.252148	2.66565e-06	0.0880612	0.391896	0.608104	2.15547e-05	0.340209	0.030602	0.15304
102	0	-1707.495	-1713.494	5.99943	0.206919	0.0157775	1.86282e-05	11.1424	0.206383	0.793617	0.206937	11.1582	0.0206902	0.00020859
103	1	-1908.165	-1904.345	-3.819211	1.81915e-05	0.233675	2.81442e-06	0.102664	0.302367	0.697633	2.1006e-05	0.336339	0.0299318	0.15738
104	0	-1707.681	-1713.603	5.921125	0.216507	0.0157775	1.88965e-05	11.1424	0.276273	0.723727	0.216526	11.1582	0.0207917	0.0002141
105	1	-1907.78	-1903.34	-4.43976	1.89084e-05	0.210942	2.95444e-06	0.125397	0.302367	0.697633	2.18628e-05	0.336339	0.0318309	0.15738
106	0	-1708.058	-1714.056	5.998613	0.234901	0.0157775	1.83014e-05	11.1424	0.276273	0.723727	0.23492	11.1582	0.0200837	0.000195532
107	1	-1907.109	-1902.433	-4.675938	1.69895e-05	0.218167	2.98352e-06	0.124127	0.532488	0.467512	1.99731e-05	0.342295	0.0336007	0.15738
108	0	-1709.561	-1714.774	5.213628	0.22688	0.0347081	1.8347e-05	11.1235	0.276273	0.723727	0.226898	11.1582	0.0247635	0.000200116
109	1	-1910.489	-1907.741	-2.748161	1.53103e-05	0.197851	3.48866e-06	0.127521	0.532488	0.467512	1.8799e-05	0.325372	0.0336247	0.145916
110	0	-1710.018	-1714.922	4.903665	0.226876	0.0347081	2.26546e-05	11.1235	0.0543299	0.94567	0.226898	11.1582	0.025313	0.000217312
111	1	-1909.593	-1905.858	-3.735245	1.24594e-05	0.21003	3.80029e-06	0.117368	0.532488	0.467512	1.62596e-05	0.327398	0.0296944	0.156272
112	0	-1707.984	-1713.642	5.658088	0.226878	0.00978421	2.0479e-05	11.1484	0.0543299	0.94567	0.226898	11.1582	0.0215581	0.000221529
113	1	-1907.158	-1901.033	-6.125064	1.40932e-05	0.215868	3.88671e-06	0.127504	0.532488	0.467512	1.79799e-05	0.343372	0.0311426	0.167044
114	0	-1708.231	-1714.026	5.794298	0.23465	0.00978421	1.88277e-05	11.1484	0.0493053	0.950695	0.234669	11.1582	0.0210735	0.000215328
