Iteration	Posterior	Likelihood	Prior	extirpation_rate	log10_rate_bg	rate_bg
1810	-57.6903	-55.7112	-1.97913	0.9514701	-1.071901	0.08474196
1820	-56.6054	-53.7718	-2.8336	1.426301	-0.6221224	0.2387138
1830	-56.3033	-54.5176	-1.78564	0.755863	-0.8716529	0.1343839
1840	-57.0947	-53.3159	-3.77884	1.873518	-0.7613348	0.1732468
1850	-57.1914	-53.2032	-3.98824	1.971372	-0.731032	0.1857667
1860	-57.9203	-54.3835	-3.53679	1.760401	-0.9553618	0.1108251
1870	-56.2644	-54.307	-1.95741	0.9352981	-0.6578663	0.2198537
1880	-56.7814	-54.9829	-1.79848	0.7782988	-0.5978799	0.2524179
1890	-57.9961	-52.8969	-5.09927	2.498479	-0.6505448	0.2235915
1900	-59.2036	-52.6149	-6.58865	3.246554	-0.6382256	0.2300246
1910	-57.7692	-52.9594	-4.80972	2.359202	-0.686732	0.205716
1920	-56.8332	-53.7674	-3.06577	1.538292	-0.5940147	0.2546744
1930	-56.2056	-53.817	-2.38857	1.199894	-0.7057105	0.1969198
1940	-56.3192	-53.8602	-2.45898	1.237356	-0.8051958	0.1566045
1950	-57.1412	-54.8953	-2.2459	1.120816	-0.5251476	0.2984368
1960	-56.407	-53.8172	-2.58988	1.305024	-0.8091379	0.1551894
1970	-59.441	-57.6567	-1.78429	0.6271985	-1.243041	0.05714251
1980	-56.7763	-53.4697	-3.30663	1.65241	-0.7703433	0.1696902
1990	-56.0708	-54.1943	-1.87644	0.8679144	-0.7807042	0.1656898
2000	-56.3673	-54.5942	-1.77306	0.7243291	-0.8835288	0.1307589
2010	-57.3671	-53.1229	-4.24421	2.091335	-0.6505086	0.2236101
2020	-58.2116	-52.9254	-5.28627	2.589352	-0.6020273	0.2500188
2030	-56.4178	-54.5901	-1.82768	0.8174143	-0.6434033	0.2272986
2040	-57.291	-53.9593	-3.33162	1.664172	-0.8883864	0.1293045
2050	-56.4913	-54.3097	-2.18164	1.08331	-0.8903079	0.1287337
2060	-56.4116	-54.3413	-2.07024	1.014127	-0.8859733	0.1300249
2070	-57.6237	-54.9566	-2.66709	1.343999	-0.4783	0.3324298
2080	-58.2406	-55.0854	-3.15522	1.580856	-1.030311	0.0932587
2090	-58.8852	-52.6752	-6.21001	3.050725	-0.6485777	0.2246065
2100	-56.3124	-54.5423	-1.77002	0.7118562	-0.8647612	0.1365334
2110	-56.7297	-54.9246	-1.80515	0.5992312	-0.6671119	0.2152227
2120	-57.162	-54.3203	-2.84178	1.430295	-0.9277209	0.1181079
2130	-56.4274	-53.5787	-2.84867	1.433658	-0.705926	0.1968222
2140	-57.1975	-54.9735	-2.22397	1.108172	-0.9949303	0.1011742
2150	-59.5013	-53.4739	-6.0274	2.957743	-0.8729964	0.1339688
2160	-58.2454	-56.1345	-2.11087	0.4541536	-1.089626	0.08135316
2170	-57.4402	-55.3191	-2.12109	1.046491	-1.033104	0.09266087
2180	-56.7003	-53.6596	-3.04071	1.52632	-0.8086397	0.1553675
2190	-56.9642	-53.3511	-3.61311	1.796092	-0.641946	0.2280626
2200	-58.2487	-53.9915	-4.25723	2.097451	-0.4716669	0.3375461
2210	-56.0831	-54.2367	-1.84643	0.8382752	-0.7876631	0.1630561
2220	-57.1091	-54.334	-2.77516	1.39765	-0.927334	0.1182132
2230	-57.2798	-53.1874	-4.09243	2.020135	-0.737801	0.1828938
2240	-56.6426	-54.8248	-1.8178	0.5865427	-0.9046225	0.1245597
2250	-56.788	-53.5756	-3.21242	1.607954	-0.6224058	0.2385581
2260	-59.021	-56.63	-2.39097	1.201187	-0.380486	0.4164031
2270	-57.6472	-54.1255	-3.52165	1.753315	-0.5010873	0.3154371
2280	-56.5863	-54.357	-2.22939	1.11131	-0.5937347	0.2548387
2290	-56.6396	-54.294	-2.34562	1.176589	-0.5870368	0.2587994
2300	-56.5174	-53.915	-2.6024	1.311384	-0.6214	0.2391112
2310	-56.0894	-54.1475	-1.94191	0.9233607	-0.7192493	0.1908757
2320	-58.4252	-56.0364	-2.38874	1.199988	-0.4181694	0.3817954
2330	-58.0465	-56.1852	-1.8613	0.8534259	-0.4727007	0.3367436
2340	-58.7949	-55.3121	-3.48281	1.735129	-1.058396	0.08741855
2350	-56.8959	-53.2992	-3.59678	1.788461	-0.6837832	0.2071175
2360	-57.5444	-55.692	-1.85233	0.5593996	-1.044494	0.09026223
2370	-56.2426	-54.2897	-1.95295	0.9318963	-0.6634095	0.2170653
2380	-56.1005	-54.2794	-1.82104	0.8093975	-0.7442011	0.1802183
2390	-56.4408	-54.6542	-1.78655	0.6234581	-0.7161855	0.1922271
2400	-58.8498	-56.4992	-2.35067	1.179347	-0.391901	0.405601
2410	-56.7903	-55.0222	-1.76808	0.6985887	-0.6169772	0.2415588
2420	-56.3745	-53.9584	-2.41608	1.214633	-0.6415158	0.2282886
2430	-56.1757	-54.3918	-1.78388	0.7522865	-0.8235492	0.1501242
2440	-56.4078	-53.6678	-2.74001	1.380302	-0.7712132	0.1693506
2450	-56.1368	-54.354	-1.78279	0.7499704	-0.7610552	0.1733584
2460	-56.399	-54.6067	-1.79237	0.6148364	-0.8440385	0.1432061
2470	-57.0053	-53.857	-3.14829	1.57757	-0.5687788	0.2699114
2480	-56.4373	-54.6085	-1.82876	0.8186775	-0.9076116	0.1237053
2490	-56.2606	-53.9279	-2.33274	1.169524	-0.8090866	0.1552077
2500	-58.3114	-54.4997	-3.81171	1.888874	-0.9748286	0.1059672
2510	-56.5298	-53.5152	-3.01456	1.513802	-0.7361992	0.1835696
2520	-56.6368	-54.8652	-1.77163	0.7190552	-0.632241	0.2332164
2530	-58.0332	-53.0369	-4.99625	2.448734	-0.5894171	0.2573848
2540	-56.9349	-55.167	-1.76792	0.6780537	-0.9841588	0.1037149
2550	-58.9358	-54.247	-4.6888	2.301502	-0.9576041	0.1102544
2560	-57.9398	-52.9124	-5.02738	2.463741	-0.6888287	0.2047252
