Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	extirpation_rate	p_allopatry	p_sympatry	rate_bg
1280	-53.2501	-47.0715	-6.1786	0.174693	0.825307	0.01710899	2.70571	1.63652	0.625039	0	0.9470856	0.8253069	0.1746931	11.17498
1290	-50.9475	-45.8145	-5.13306	0.231108	0.768892	0.01607449	3.0979	1.79739	0.69585	0	0.8604623	0.7688924	0.2311076	4.361227
1300	-56.4114	-49.2391	-7.17238	0.131403	0.868597	0.0259254	2.67594	1.79437	0.652793	0	1.659515	0.8685971	0.1314029	7.83731
1310	-52.0062	-46.1599	-5.8463	0.49858	0.50142	0.01452523	2.62732	1.75323	0.624365	0	1.389809	0.5014203	0.4985797	3.652044
1320	-52.9917	-46.4982	-6.49346	0.00155938	0.998441	0.02737541	3.31008	1.43168	0.695703	0	0.838219	0.9984406	0.001559378	17.38006
1330	-52.6728	-46.1952	-6.47755	0.214461	0.785539	0.02354542	2.38917	1.73204	0.668726	0	1.157419	0.7855394	0.2144606	10.75058
1340	-54.4383	-46.7192	-7.71915	0.703039	0.296961	0.02357027	2.20741	1.76765	0.569912	0	1.595814	0.2969611	0.7030389	15.49662
1350	-54.4039	-46.8163	-7.58756	0.340123	0.659877	0.02605868	2.98805	1.51022	0.527093	0	1.466352	0.6598771	0.3401229	17.81065
1360	-52.6303	-46.0172	-6.61311	0.0701118	0.929888	0.0268248	3.16835	1.59558	0.459464	0	0.7971887	0.9298882	0.07011181	20.28321
1370	-55.1158	-51.0016	-4.11421	0.912396	0.0876041	0.008199547	3.59268	1.36788	0.57698	0	0.6945617	0.08760414	0.9123959	1.741381
1380	-54.291	-48.1474	-6.14365	0.472317	0.527683	0.007527319	3.44717	1.38146	0.674055	0	2.016697	0.5276833	0.4723167	1.305784
1390	-52.0376	-46.5733	-5.4643	0.800755	0.199245	0.01596505	3.22707	1.46032	0.497246	0	0.6504973	0.1992453	0.8007547	6.678784
1400	-51.399	-46.1163	-5.28274	0.19597	0.80403	0.01589876	3.28023	1.57997	0.51784	0	0.8661596	0.8040298	0.1959702	5.035039
1410	-52.2083	-46.0725	-6.13585	0.198093	0.801907	0.02057895	2.98065	1.68087	0.639538	0	1.191043	0.801907	0.198093	7.184414
1420	-52.2473	-47.8243	-4.42299	0.483839	0.516161	0.008367635	3.50818	1.54974	0.663283	0	0.9815732	0.5161613	0.4838387	1.839758
1430	-52.7607	-46.5373	-6.22343	0.0271729	0.972827	0.01695518	2.92618	1.51618	0.643298	0	1.456408	0.9728271	0.02717292	4.646908
1440	-56.295	-47.9814	-8.31359	0.176504	0.823496	0.028923	3.07901	1.5101	0.626751	0	1.693056	0.8234956	0.1765044	22.84533
1450	-54.1813	-49.6342	-4.54712	0.324302	0.675698	0.008126349	2.92607	1.3694	0.615601	0	0.5359001	0.6756979	0.3243021	2.372638
1460	-51.6161	-45.7045	-5.9116	0.161613	0.838387	0.01920167	2.63814	1.3711	0.625683	0	0.9207841	0.8383869	0.1616131	8.856997
1470	-51.6655	-45.6926	-5.97288	0.405289	0.594711	0.01965148	2.36873	1.39111	0.643623	0	0.8023178	0.5947107	0.4052893	10.65123
1480	-52.0578	-45.609	-6.44878	0.23199	0.76801	0.0256884	2.37357	1.62364	0.532196	0	0.5638088	0.7680098	0.2319902	16.62697
1490	-52.5396	-47.1686	-5.37099	0.777145	0.222855	0.0206326	3.02926	1.57467	0.523475	0	0.6197092	0.2228546	0.7771454	5.990948
