Iteration	Posterior	Likelihood	Prior	div[1]	div[2]	div[3]	div[4]	div[5]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	psi[1]	psi[2]	psi[3]	psi[4]	psi[5]	turnover[1]	turnover[2]	turnover[3]	turnover[4]	turnover[5]
25400	-185.179	0	-185.179	-0.0294672	-0.0545199	0.115099	0.0719879	-0.200383	2.37131	0.228149	1.19929	0.123857	0.0346512	2.40077	0.282668	1.08419	0.0518689	0.235034	3.50386	0.0904071	1.79078	0.00944034	0.0058404	1.01243	1.23897	0.904027	0.418781	6.78286
25500	-230.445	0	-230.445	0.0181594	-0.0285974	0.167448	0.0779403	0.167951	2.62761	0.24299	1.07853	0.180502	0.201148	2.60945	0.271588	0.91108	0.102562	0.0331973	2.39472	0.106873	1.37673	0.0570883	0.0221787	0.993089	1.11769	0.844744	0.568203	0.165039
25600	-232.271	0	-232.271	0.476865	-0.0676056	-0.154155	0.0249663	0.105566	2.23406	0.201845	1.01113	0.143084	0.110764	1.7572	0.269451	1.16528	0.118117	0.00519766	2.33215	0.123686	1.6818	0.0138278	0.231173	0.786548	1.33494	1.15246	0.825513	0.0469256
25700	-147.723	0	-147.723	-0.304672	-0.0507797	-0.209604	0.0296517	-0.000120591	2.57079	0.343067	1.35433	0.0394778	0.0100461	2.87546	0.393847	1.56394	0.00982607	0.0101667	3.03565	0.0948267	1.46728	0.106961	0.121368	1.11851	1.14802	1.15477	0.248901	1.012
25800	-197.645	0	-197.645	-0.00361759	-0.0353959	-0.370021	0.113146	-0.289923	2.51222	0.38766	0.882057	0.358055	0.00776556	2.51583	0.423056	1.25208	0.244909	0.297688	3.45052	0.1247	1.13749	0.0136192	0.011327	1.00144	1.09131	1.4195	0.683999	38.3344
25900	-261.663	0	-261.663	0.164926	0.0347553	-0.158404	0.0402434	-0.0796981	2.1837	0.26593	0.992529	0.114713	0.0135232	2.01877	0.231175	1.15093	0.0744692	0.0932213	2.32336	0.100142	1.26109	0.00574283	0.0426826	0.924474	0.869306	1.1596	0.649181	6.89344
26000	-217.222	0	-217.222	-0.996599	-0.00339075	0.0378244	0.128725	0.0646162	1.82369	0.253643	1.07316	0.180861	0.0716427	2.82029	0.257033	1.03534	0.0521365	0.00702647	3.1568	0.0908344	1.35657	0.0192183	0.00654524	1.54647	1.01337	0.964754	0.288268	0.0980766
26100	-164.168	0	-164.168	-0.457117	-0.0812911	-0.517154	0.156626	-0.195849	1.96153	0.296299	1.18782	0.178718	0.0640197	2.41865	0.37759	1.70497	0.0220914	0.259869	2.83051	0.232033	1.44369	0.00863427	0.00291087	1.23304	1.27436	1.43538	0.123611	4.0592
26200	-256.521	0	-256.521	-0.268554	0.0447644	-0.00349455	0.0930688	-0.053478	1.8626	0.314277	1.01406	0.174226	0.0154094	2.13116	0.269512	1.01755	0.0811568	0.0688874	2.52599	0.126746	0.985198	0.00721847	0.0240447	1.14418	0.857564	1.00345	0.465814	4.47048
26300	-225.292	0	-225.292	0.357131	-0.0226844	0.151145	0.319254	-0.0154717	2.82606	0.305445	1.18722	0.445375	0.092265	2.46893	0.328129	1.03607	0.126121	0.107737	2.63946	0.0922297	1.73108	0.020765	0.0246296	0.873629	1.07427	0.872689	0.283179	1.16769
26400	-239.418	0	-239.418	0.0531509	0.0135328	-0.456994	0.0877743	-0.0257963	1.50585	0.250915	0.953913	0.152111	0.00561439	1.4527	0.237382	1.41091	0.0643362	0.0314107	3.03094	0.083898	1.17046	0.0138555	0.0986417	0.964704	0.946066	1.47907	0.422957	5.59467
26500	-214.845	0	-214.845	-0.0269764	0.00132333	-0.0472262	-0.0424043	0.031814	1.81223	0.206288	1.37089	0.0528607	0.0564437	1.8392	0.204964	1.41812	0.095265	0.0246298	2.76766	0.0824001	1.78907	0.127861	0.0990768	1.01489	0.993585	1.03445	1.80219	0.436359
26600	-156.429	0	-156.429	0.0581071	0.0445421	0.0521839	0.105369	-0.045087	2.41681	0.288645	1.70834	0.177448	0.00348814	2.3587	0.244103	1.65615	0.0720788	0.0485752	3.31767	0.100234	2.38868	0.0387949	0.0269689	0.975957	0.845686	0.969453	0.406197	13.9258
26700	-248.417	0	-248.417	-0.0957126	-0.0142159	0.0468912	0.210559	-0.0351818	1.81438	0.247095	1.45525	0.394899	0.215778	1.9101	0.261311	1.40836	0.18434	0.25096	2.04764	0.153744	1.26926	0.211374	0.273952	1.05275	1.05753	0.967778	0.466803	1.16305
26800	-220.22	0	-220.22	0.0299726	-0.0812249	0.175223	0.339561	0.00505369	2.47289	0.241487	1.07357	0.500253	0.0130075	2.44292	0.322712	0.898349	0.160692	0.00795385	2.10481	0.0808115	1.57233	0.0968539	0.111964	0.98788	1.33635	0.836785	0.321222	0.61148
26900	-236.356	0	-236.356	-0.31914	-0.0715736	0.257333	0.404249	-0.0145359	1.68376	0.219378	1.3811	0.53991	0.0718	2.0029	0.290952	1.12376	0.135662	0.0863359	2.28455	0.0908672	1.63237	0.0227774	0.0367327	1.18954	1.32626	0.813675	0.251267	1.20245
27000	-265.833	0	-265.833	0.0795714	0.0138496	-0.0282552	-0.0127048	-0.0463008	1.68464	0.188719	1.00641	0.137167	0.0185571	1.60506	0.174869	1.03467	0.149872	0.0648579	1.857	0.147815	1.4084	0.0356332	0.250261	0.952766	0.926612	1.02808	1.09262	3.49505
27100	-226.733	0	-226.733	-0.0103635	-0.0125146	-0.416734	0.204289	-0.161185	2.60287	0.17897	0.868119	0.231906	0.0261122	2.61323	0.191485	1.28485	0.0276174	0.187298	3.20987	0.109883	1.09332	0.0836994	0.00953503	1.00398	1.06993	1.48004	0.119089	7.17281
27200	-252.334	0	-252.334	0.349441	-0.038715	-0.274495	0.147326	0.109931	2.1421	0.143034	0.932514	0.152395	0.150402	1.79266	0.181749	1.20701	0.00506928	0.0404713	1.94084	0.0942478	1.65028	0.00447697	0.00986611	0.83687	1.27067	1.29436	0.0332641	0.269087
27300	-218.983	0	-218.983	0.331758	0.000430077	-0.413447	0.0461077	0.327825	1.88912	0.257978	1.04881	0.0667497	0.335781	1.55736	0.257548	1.46226	0.020642	0.00795522	2.73059	0.108888	1.83114	0.00545764	0.00351736	0.824385	0.998333	1.39421	0.309245	0.0236917
27400	-216.451	0	-216.451	0.47038	-0.0756527	-0.172502	0.159928	-0.0197396	2.25408	0.255079	1.24232	0.185722	0.142149	1.7837	0.330731	1.41482	0.0257941	0.161888	2.37938	0.0856306	1.82645	0.0968026	0.1292	0.791321	1.29659	1.13886	0.138886	1.13887
27500	-228.751	0	-228.751	-0.563171	0.0153532	-0.144781	0.0333503	0.00950134	1.77123	0.357506	0.666608	0.0339089	0.0443704	2.3344	0.342153	0.811389	0.000558524	0.0348691	2.67468	0.232078	1.42278	0.0591938	0.233951	1.31796	0.957055	1.21719	0.0164713	0.785863
27600	-268.268	0	-268.268	-0.0982344	0.0105355	-0.216634	0.127089	0.0108541	2.00912	0.193802	0.928078	0.273659	0.0274318	2.10736	0.183267	1.14471	0.146569	0.0165777	2.73368	0.109605	1.27472	0.017124	0.131662	1.04889	0.945638	1.23342	0.535592	0.604325
27700	-259.039	0	-259.039	0.243969	0.00596516	-0.312117	0.139266	0.311563	1.96073	0.252975	0.694199	0.191623	0.32673	1.71676	0.24701	1.00632	0.052357	0.0151671	2.78732	0.0906506	1.29612	0.00380149	0.0183887	0.875573	0.97642	1.44961	0.273229	0.046421
27800	-258.818	0	-258.818	-0.460388	0.00989424	-0.110674	0.092565	0.0313219	1.91144	0.272383	1.03754	0.100815	0.0471488	2.37182	0.262489	1.14821	0.00825044	0.0158269	2.44533	0.146429	1.38615	0.0176605	0.288349	1.24086	0.963675	1.10667	0.0818371	0.335681
