Iteration	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	diversification[3]	diversification[4]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	mu[1]	mu[2]	mu[3]	mu[4]	pi[1]	pi[2]	pi[3]	pi[4]	psi[1]	psi[2]	psi[3]	psi[4]	q_hidden[1]	q_hidden[2]	q_obs[1]	q_obs[2]
50000	-540.9933	-534.5566	-6.436761	0.0862525	-0.203722	0.109649	-5.83652	2.10379	0.241513	0.822776	0.0157682	2.01754	0.445235	0.713127	5.85229	0.662511	0.14701	0.0781808	0.112298	3.11228e-05	0.0276877	0.0374898	0.135607	0.0167375	0.00454311	0.124057	0.0117094
51000	-552.7844	-544.3418	-8.442543	0.140278	-0.439509	0.0542362	-27.7421	1.49535	0.0412955	0.66322	0.547945	1.35508	0.480804	0.608984	28.29	0.114644	0.247055	0.271935	0.366366	0.000690216	0.0911921	0.0337039	0.107087	0.0152256	0.0112149	0.100437	0.0234341
52000	-543.3995	-550.3877	6.988127	0.117221	-0.208705	-0.00374603	-14.938	1.42019	0.0396972	1.18914	6.3287e-06	1.30297	0.248402	1.19289	14.938	0.217781	0.0901353	0.582565	0.109519	0.000348519	0.102829	0.040947	0.0329844	0.0314009	0.00245559	0.0592611	0.00601437
53000	-538.1358	-533.874	-4.261767	0.221255	-0.223693	0.13323	-10.6822	2.0872	0.435491	1.21222	0.000787904	1.86595	0.659183	1.07899	10.683	0.882667	0.0783288	0.000198094	0.0388058	0.000312064	0.0262608	0.0202434	0.0781156	0.0103307	0.001743	0.127389	0.00201338
54000	-554.516	-539.1033	-15.41266	0.179082	-0.202721	0.208638	-79.7608	1.01227	0.0667131	0.652969	3.55543	0.833188	0.269434	0.444331	83.3162	0.202983	0.139702	0.0383339	0.618981	0.000849781	0.042733	0.0250038	0.133608	0.0126958	0.0133078	0.192288	0.00967706
55000	-546.4321	-545.1944	-1.237659	0.095716	-0.33481	0.145076	-7.30809	1.39607	4.42032e-05	1.53801	0.132309	1.30035	0.334854	1.39293	7.4404	0.0558829	0.370928	0.395074	0.178115	0.000547016	0.0672134	0.0189423	0.354643	0.0119205	0.00452069	0.108754	0.0272607
56000	-536.9878	-539.6127	2.624914	0.108764	-0.181365	0.0411254	-2.56853	3.02471	0.405745	1.08343	4.65966e-05	2.91595	0.58711	1.0423	2.56858	0.342692	0.427197	0.202502	0.0276097	3.18462e-05	0.0608666	0.0272262	0.0211928	0.0135066	0.00156411	0.0528116	0.030515
57000	-538.1259	-536.6542	-1.471709	0.113287	-0.192047	0.0483006	-9.13306	3.83213	0.748744	1.19667	3.73087e-06	3.71884	0.940791	1.14837	9.13306	0.146594	0.268119	0.371346	0.213941	0.000358594	0.0201638	0.0176667	0.409063	0.016109	0.0102147	0.090377	0.00866803
58000	-560.0363	-541.8229	-18.21341	0.106116	-0.539496	0.0746032	-44.6327	5.51916	0.0824063	1.44686	26.1167	5.41304	0.621902	1.37225	70.7494	0.435547	0.123038	0.349832	0.0915831	9.18088e-05	0.0216511	0.0227759	0.021773	0.00541101	0.038761	0.10219	0.012318
59000	-544.2978	-540.7547	-3.543163	0.0482506	-0.34943	0.100603	-14.0896	6.73419	0.619674	1.32536	0.000717729	6.68594	0.969104	1.22476	14.0903	0.231957	0.210664	0.173917	0.383463	0.000132242	0.0386695	0.0280104	0.447885	0.00508019	0.0016703	0.04063	0.00547477
60000	-539.0629	-538.931	-0.1318067	0.0829021	-0.188461	-0.0264255	-0.390352	6.219	0.492063	0.742549	0.00362021	6.1361	0.680525	0.768975	0.393972	0.435648	0.255996	0.0441639	0.264193	3.72344e-05	0.0380332	0.0228309	0.0437031	0.0078777	0.017211	0.0416317	0.02004
61000	-546.0994	-544.4648	-1.634512	0.145836	0.0356122	-0.0192627	-0.572994	5.74708	0.336075	0.47645	0.0174632	5.60125	0.300463	0.495712	0.590457	0.593654	0.233822	0.0110985	0.161426	0.000202077	0.0192046	0.0345315	0.0487347	0.0276371	0.00412864	0.0571454	0.0231614
62000	-542.1837	-540.7735	-1.41025	0.143753	-0.194887	0.0105767	-2.98903	4.33318	0.104151	0.871028	0.0331642	4.18942	0.299037	0.860451	3.0222	0.238726	0.105442	0.169015	0.486817	0.000725216	0.0282172	0.0247482	0.102506	0.00999939	0.000549495	0.0649826	0.00575935
63000	-553.071	-538.9221	-14.14889	0.0637436	-0.132107	0.0489721	-41.0893	5.11934	0.369228	1.63466	2.49632	5.0556	0.501335	1.58569	43.5856	0.114094	0.0282151	0.219492	0.638199	0.000539429	0.0373662	0.0134254	0.366051	0.0203055	0.0170427	0.0499926	0.00904593
64000	-539.969	-540.0973	0.1283592	0.101192	-0.378321	0.127495	-6.94993	3.56575	1.13487e-05	1.2384	0.204875	3.46456	0.378332	1.11091	7.1548	0.35731	0.53023	0.0993292	0.0131305	0.000193984	0.0407914	0.0207585	0.0949645	0.00953404	0.0251262	0.0790151	0.0305866
65000	-536.9356	-543.3241	6.388451	-0.0637245	-0.191482	-10.847	0.196431	1.16622	7.00506e-06	0.000118312	1.02128	1.22995	0.191489	10.8471	0.824851	0.108049	0.616468	0.0836828	0.191801	0.0217548	0.0341462	0.101946	0.00715098	0.00287741	0.138324	0.00740851	0.0600882
