Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]
2180	-4773.397	-4668.077	-105.3204	71.0527	58.4903	13.7953	13.7883	14.1974	15.2373	53.958	82.5935
2190	-4773.397	-4668.077	-105.3204	71.0527	58.4903	13.7953	13.7883	14.1974	15.2373	53.958	82.5935
2200	-4777.291	-4671.971	-105.3204	71.0527	58.4903	13.7953	13.7883	14.2023	15.2373	53.958	82.5935
2210	-4774.005	-4668.685	-105.3204	71.0527	58.4903	13.7953	13.7883	14.2023	15.2373	53.958	82.5935
2220	-4774.005	-4668.685	-105.3204	71.0527	58.4903	13.7953	13.7883	14.2023	15.2373	53.958	82.5935
2230	-4775.084	-4669.764	-105.3204	71.0527	58.4903	13.7953	13.7883	14.2023	15.2373	53.958	82.5935
2240	-4775.084	-4669.764	-105.3204	71.0527	58.4903	13.7953	13.7883	14.2023	15.2373	53.958	82.5935
2250	-4775.084	-4669.764	-105.3204	71.0527	58.4903	13.7953	13.7883	14.2023	15.2373	53.958	82.5935
2260	-4775.084	-4669.764	-105.3204	71.0527	58.4903	13.7953	13.7883	14.2023	15.2373	53.958	82.5935
2270	-4775.084	-4669.764	-105.3204	71.0527	58.4903	13.7953	13.7883	14.2023	15.2373	53.958	82.5935
2280	-4775.084	-4669.764	-105.3204	71.0527	58.4903	13.7953	13.7883	14.2023	15.2373	53.958	82.5935
2290	-4775.084	-4669.764	-105.3204	71.0527	58.4903	13.7953	13.7883	14.2023	15.2373	53.958	82.5935
