Iteration	Replicate_ID	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]
135	1	-1575.643	-1565.245	-10.39755	0.242642	0.226934	0.224495	0.205731	0.208301	0.158291	0.1621	0.155552	0.155577	0.15741
136	0	-1594.059	-1566.779	-27.28033	0.243594	0.218705	0.189371	0.193894	0.119589	0.104797	0.107904	0.104563	0.0975997	0.144705
137	1	-1578.909	-1569.03	-9.878302	0.277834	0.284155	0.28505	0.244079	0.212666	0.202365	0.202288	0.203268	0.2037	0.198724
138	0	-1590.032	-1569.7	-20.33242	0.215094	0.215093	0.179519	0.179564	0.184541	0.180278	0.156502	0.157025	0.162309	0.161404
139	1	-1566.388	-1569.461	3.073595	0.287914	0.224224	0.223977	0.219318	0.219267	0.209927	0.216126	0.215141	0.218921	0.195186
140	0	-1585.889	-1569.393	-16.49632	0.2525	0.205101	0.202364	0.202767	0.202829	0.203397	0.181227	0.179665	0.20359	0.204127
141	1	-1579.638	-1570.128	-9.509999	0.249333	0.208139	0.21613	0.204608	0.188374	0.146379	0.146855	0.141699	0.134879	0.148444
142	0	-1559.809	-1565.625	5.815374	0.252809	0.24661	0.24948	0.249679	0.248938	0.253535	0.254825	0.260415	0.260058	0.259902
143	1	-1570.196	-1569.28	-0.9159419	0.215983	0.196912	0.163527	0.163334	0.145049	0.144433	0.142622	0.12972	0.115953	0.116213
144	0	-1575.475	-1567.128	-8.346132	0.275071	0.275253	0.275144	0.274739	0.275197	0.272907	0.272472	0.347271	0.352719	0.354263
145	1	-1589.842	-1567.926	-21.91579	0.238156	0.238922	0.0982438	0.119076	0.0874185	0.0864198	0.0856262	0.0770585	0.107353	0.0782879
146	0	-1584.992	-1569.197	-15.79447	0.279538	0.272504	0.273527	0.274901	0.271473	0.271154	0.340967	0.331394	0.297599	0.27677
147	1	-1587.837	-1567.124	-20.71301	0.244212	0.232874	0.126573	0.107972	0.124264	0.124352	0.12632	0.130105	0.130544	0.208862
148	0	-1570.103	-1568.258	-1.84473	0.278816	0.272343	0.271345	0.25485	0.25836	0.248883	0.256638	0.242905	0.242783	0.248741
149	1	-1571.895	-1567.724	-4.171185	0.25451	0.25497	0.207594	0.228264	0.227974	0.229124	0.195302	0.198966	0.190264	0.192118
150	0	-1538.176	-1568.98	30.80412	0.295323	0.295829	0.295446	0.295579	0.297197	0.296906	0.296782	0.297068	0.29642	0.296467
151	1	-1596.97	-1565.784	-31.18627	0.248303	0.230191	0.198178	0.198805	0.199053	0.200982	0.204874	0.190646	0.190933	0.187945
152	0	-1534.395	-1569.694	35.29941	0.304379	0.304405	0.302755	0.302749	0.302845	0.302758	0.302756	0.302749	0.302813	0.302935
153	1	-1596.972	-1566.155	-30.81734	0.235579	0.23544	0.207697	0.209816	0.164258	0.144441	0.139539	0.20768	0.210748	0.211137
154	0	-1544.221	-1570.041	25.82047	0.249741	0.249743	0.249678	0.249458	0.249097	0.2473	0.247106	0.247535	0.247241	0.247207
155	1	-1591.191	-1569.364	-21.82681	0.29895	0.303745	0.305641	0.298473	0.30534	0.316857	0.350804	0.354794	0.360884	0.357919
156	0	-1563.677	-1566.842	3.164913	0.282174	0.282233	0.28253	0.286195	0.288287	0.28787	0.288011	0.288215	0.288471	0.288825
157	1	-1576.247	-1568.428	-7.818949	0.262039	0.254528	0.253501	0.254672	0.194856	0.193125	0.199154	0.197949	0.199011	0.194478
158	0	-1541.833	-1570.12	28.28742	0.271216	0.271194	0.270761	0.270613	0.270817	0.27073	0.270777	0.270773	0.270774	0.270881
159	1	-1579.621	-1570.104	-9.517043	0.293491	0.29158	0.289628	0.281145	0.283167	0.292967	0.254186	0.282281	0.282388	0.358009
160	0	-1552.326	-1567.799	15.47258	0.244805	0.244792	0.244333	0.244462	0.245671	0.245679	0.246986	0.247005	0.247096	0.246428
161	1	-1586.238	-1567.977	-18.26085	0.254773	0.262236	0.264864	0.278081	0.299665	0.289834	0.290111	0.301512	0.299538	0.290873
162	0	-1570.272	-1567.859	-2.412923	0.217576	0.217507	0.227079	0.227392	0.227152	0.225545	0.226909	0.227608	0.227774	0.227753
163	1	-1574.365	-1566.946	-7.418761	0.258495	0.251361	0.158851	0.158662	0.153805	0.165937	0.168469	0.178844	0.138852	0.137198
164	0	-1579.658	-1568.627	-11.03167	0.214708	0.213634	0.213228	0.179845	0.182397	0.185768	0.185355	0.184447	0.184637	0.183181
165	1	-1571.56	-1569.831	-1.729183	0.289505	0.303248	0.298827	0.284555	0.206281	0.206242	0.203186	0.190684	0.205713	0.231021
166	0	-1572.268	-1568.994	-3.274266	0.190263	0.190758	0.190812	0.193816	0.195821	0.194101	0.183755	0.183527	0.170277	0.170135
167	1	-1554.939	-1567.32	12.38131	0.247979	0.248161	0.220149	0.206723	0.186179	0.115608	0.116195	0.115786	0.144179	0.127281
168	0	-1583.847	-1566.771	-17.07657	0.204453	0.201403	0.202469	0.200489	0.168893	0.171038	0.17286	0.174388	0.17541	0.1757
169	1	-1546.631	-1566.459	19.82817	0.245108	0.220842	0.18998	0.191787	0.142609	0.14055	0.140541	0.146614	0.142893	0.121063
