Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]
1220	-1573.274	-1566.29	-6.983524	0.232204	0.226439	0.229993	0.223987	0.224426	0.226518	0.251766	0.249068	0.249198	0.245101
1230	-1599.934	-1565.03	-34.90432	0.23956	0.233625	0.206503	0.221987	0.0852398	0.0810967	0.0894759	0.0941882	0.0937343	0.0909106
1240	-1611.495	-1567.752	-43.7427	0.261883	0.263422	0.230652	0.23334	0.215653	0.199943	0.0431398	0.0449473	0.0494336	0.0555076
1250	-1577.892	-1571.116	-6.77672	0.288382	0.287698	0.289111	0.173332	0.184217	0.181389	0.18123	0.180849	0.177928	0.177938
1260	-1567.165	-1570.101	2.936017	0.304671	0.305342	0.308856	0.281391	0.288065	0.287073	0.292546	0.292582	0.292721	0.293034
1270	-1571.943	-1567.522	-4.421612	0.252475	0.214477	0.219481	0.215416	0.189555	0.201034	0.201681	0.189075	0.19037	0.190919
1280	-1557.799	-1569.894	12.09493	0.291595	0.288364	0.191122	0.190598	0.191575	0.191323	0.19067	0.189583	0.189723	0.194972
1290	-1558.144	-1568.218	10.07373	0.322425	0.326374	0.327357	0.259594	0.259974	0.258229	0.255465	0.295733	0.28422	0.279747
1300	-1552.965	-1567.983	15.01776	0.268858	0.270253	0.264278	0.261882	0.196101	0.18262	0.182021	0.175999	0.170687	0.172145
1310	-1579.845	-1567.897	-11.94847	0.247672	0.247963	0.187433	0.157053	0.154803	0.152076	0.149164	0.153406	0.181206	0.288201
1320	-1571.947	-1566.551	-5.396092	0.228711	0.229558	0.1875	0.181638	0.155993	0.160967	0.14904	0.148555	0.149966	0.150249
1330	-1575.882	-1569.955	-5.926792	0.238859	0.238267	0.239262	0.239395	0.0533241	0.0693106	0.0703334	0.0702254	0.0813584	0.08136
1340	-1560.728	-1569.025	8.296654	0.240378	0.240354	0.212627	0.211397	0.209486	0.203633	0.155647	0.15339	0.155922	0.160076
1350	-1557.194	-1566.987	9.792103	0.240619	0.240008	0.239961	0.237017	0.236486	0.236123	0.232649	0.241935	0.241825	0.260799
1360	-1607.667	-1566.415	-41.25242	0.237545	0.189247	0.19251	0.191326	0.187406	0.217294	0.217593	0.212825	0.196529	0.152431
1370	-1608.559	-1570.533	-38.02667	0.221292	0.218431	0.149571	0.117359	0.0824077	0.0624055	0.0769733	0.0738181	0.079407	0.0808967
1380	-1602.33	-1564.507	-37.82328	0.230293	0.231991	0.229466	0.225028	0.210912	0.201964	0.205466	0.222524	0.206394	0.207191
1390	-1582.161	-1566.85	-15.31092	0.238361	0.226999	0.215663	0.183214	0.187052	0.180257	0.181246	0.198026	0.196721	0.172275
1400	-1590.366	-1566.061	-24.3051	0.262064	0.256752	0.165751	0.17501	0.177714	0.184567	0.185939	0.181807	0.179743	0.181492
1410	-1584.092	-1566.124	-17.96807	0.224614	0.211976	0.227383	0.224957	0.209864	0.206789	0.190294	0.199813	0.201237	0.198932
1420	-1593.595	-1568.397	-25.19754	0.240575	0.231209	0.231295	0.231373	0.1596	0.158927	0.152589	0.143267	0.149337	0.151021
1430	-1578.698	-1567.789	-10.90902	0.245803	0.241427	0.237202	0.237862	0.2352	0.234133	0.235205	0.239677	0.216998	0.223392
1440	-1569.363	-1566.092	-3.27121	0.243214	0.222636	0.218074	0.211022	0.226406	0.225455	0.228992	0.216837	0.218826	0.219612
1450	-1569.74	-1565.394	-4.346123	0.245551	0.244897	0.243575	0.256844	0.258529	0.257632	0.257044	0.256463	0.259346	0.258535
1460	-1587.288	-1564.98	-22.3082	0.22357	0.223026	0.201966	0.184272	0.165522	0.148498	0.154463	0.153718	0.153776	0.124449
1470	-1591.211	-1566.489	-24.7215	0.223235	0.227337	0.224069	0.225479	0.211674	0.206206	0.194505	0.237247	0.232433	0.264706
1480	-1553.4	-1566.821	13.42153	0.218195	0.218189	0.218967	0.217067	0.21698	0.216043	0.218763	0.219752	0.228269	0.225812
1490	-1588.727	-1565.65	-23.07741	0.22361	0.28396	0.279387	0.279909	0.191681	0.196124	0.201646	0.199217	0.20402	0.205729
1500	-1579.726	-1567.042	-12.68354	0.223896	0.20837	0.0963258	0.0954041	0.0962102	0.0937987	0.0921547	0.0924433	0.0928015	0.0921398
1510	-1566.268	-1568.283	2.014762	0.28068	0.26806	0.194138	0.195092	0.165378	0.163014	0.160359	0.160217	0.171512	0.169686
1520	-1563.045	-1569.612	6.566994	0.306798	0.279159	0.298214	0.288255	0.288423	0.165696	0.1714	0.169473	0.170063	0.164816
1530	-1566.683	-1569.582	2.898765	0.261431	0.270656	0.255575	0.251679	0.239575	0.251812	0.240656	0.2432	0.246282	0.2542
1540	-1585.695	-1568.875	-16.82076	0.231656	0.2326	0.130427	0.129565	0.13849	0.161625	0.161898	0.164069	0.185795	0.184269
1550	-1562.344	-1568.64	6.295326	0.212576	0.218597	0.174655	0.17859	0.123695	0.122049	0.0595498	0.0637216	0.0615771	0.0634174
1560	-1587.14	-1569.521	-17.61922	0.195385	0.195765	0.0992798	0.0924449	0.0967177	0.0968802	0.0692427	0.0679462	0.0739192	0.074398
1570	-1593.79	-1568.626	-25.16426	0.223804	0.146288	0.144304	0.0562259	0.0382902	0.0423801	0.0416994	0.0435384	0.0442587	0.044776
1580	-1610.459	-1567.025	-43.43435	0.229764	0.171619	0.149641	0.128925	0.0886232	0.0494218	0.0518836	0.0579871	0.0579882	0.0625991
1590	-1588.337	-1567.723	-20.61367	0.242674	0.234006	0.119741	0.105345	0.103593	0.105083	0.109723	0.157014	0.156596	0.163847
1600	-1553.016	-1569.797	16.78052	0.28023	0.289473	0.293066	0.294977	0.293912	0.269794	0.259897	0.259924	0.261399	0.259434
1610	-1588.765	-1567.388	-21.37698	0.246182	0.230132	0.214695	0.227294	0.166656	0.169181	0.170112	0.169379	0.144527	0.167035
1620	-1573.061	-1573.51	0.4488168	0.233583	0.154534	0.197588	0.215913	0.142852	0.134873	0.131626	0.150921	0.154949	0.153848
1630	-1570.323	-1566.926	-3.397374	0.220373	0.210056	0.214869	0.152403	0.143274	0.141693	0.142558	0.18822	0.148755	0.146362
1640	-1565.246	-1569.102	3.856233	0.280935	0.274389	0.176791	0.17654	0.263375	0.200799	0.152173	0.152043	0.17288	0.16165
1650	-1568.958	-1567.966	-0.9925608	0.285759	0.284755	0.237241	0.286347	0.245742	0.150737	0.15572	0.199205	0.196373	0.202186
1660	-1589.478	-1566.957	-22.52063	0.237057	0.177918	0.178869	0.14501	0.11441	0.117564	0.109832	0.115833	0.114294	0.119389
1670	-1626.491	-1572.333	-54.1576	0.232671	0.14392	0.11378	0.199977	0.101832	0.120694	0.0994454	0.0859913	0.0903211	0.0504786
1680	-1611.771	-1567.862	-43.90919	0.204539	0.175119	0.12253	0.120322	0.116634	0.0431708	0.043983	0.0457283	0.0440089	0.0124972
1690	-1603.841	-1566.853	-36.9875	0.195063	0.238557	0.223032	0.230521	0.234285	0.169413	0.155376	0.143602	0.181646	0.181627
1700	-1604.026	-1567.552	-36.47376	0.225872	0.225101	0.225574	0.212442	0.198343	0.207473	0.191627	0.191946	0.206727	0.22588
1710	-1602.7	-1568.064	-34.63606	0.205862	0.200336	0.109713	0.116494	0.0898976	0.0938078	0.123935	0.107914	0.116457	0.157198
1720	-1592.801	-1565.91	-26.89105	0.21607	0.184516	0.129625	0.108843	0.0728073	0.0505891	0.0558858	0.0686089	0.0551923	0.241926
1730	-1600.858	-1571.913	-28.94518	0.246593	0.248727	0.20705	0.202406	0.204051	0.199314	0.196938	0.182263	0.180202	0.182546
1740	-1589.354	-1568.037	-21.31753	0.253533	0.254253	0.250652	0.250393	0.252616	0.267592	0.325707	0.307569	0.284167	0.284041
1750	-1558.375	-1567.066	8.690596	0.240034	0.239064	0.239042	0.243395	0.243252	0.243912	0.244322	0.244123	0.242738	0.242737
1760	-1558.631	-1568.721	10.0904	0.330785	0.328584	0.324364	0.331669	0.331662	0.329098	0.32845	0.326178	0.296889	0.29738
1770	-1571.505	-1568.035	-3.469372	0.263265	0.254674	0.219014	0.21524	0.218024	0.204244	0.213902	0.217533	0.208299	0.20531
1780	-1560.668	-1566.767	6.098774	0.280044	0.243393	0.224822	0.226819	0.130536	0.171672	0.158085	0.154562	0.154965	0.152828
1790	-1601.289	-1568.751	-32.53868	0.272495	0.276827	0.281933	0.207875	0.217963	0.222254	0.206649	0.205752	0.139081	0.137356
1800	-1565.269	-1566.986	1.717386	0.235772	0.234762	0.177449	0.155331	0.156014	0.152153	0.152873	0.153643	0.151467	0.151491
1810	-1572.82	-1565.438	-7.38159	0.258825	0.267858	0.309246	0.295782	0.294057	0.288852	0.295057	0.290882	0.296741	0.293573
1820	-1588.493	-1566.41	-22.08287	0.291048	0.296695	0.296584	0.36235	0.325087	0.300885	0.286045	0.288113	0.282717	0.279557
1830	-1586.769	-1567.82	-18.9496	0.281536	0.277001	0.284589	0.270309	0.223324	0.225547	0.222537	0.221494	0.194525	0.179397
1840	-1570.989	-1568.177	-2.811845	0.269174	0.272808	0.245235	0.275263	0.209143	0.205147	0.228786	0.231758	0.224762	0.227069
1850	-1577.33	-1568.592	-8.738107	0.275975	0.274308	0.279296	0.284868	0.230174	0.208595	0.172687	0.18163	0.211183	0.221218
1860	-1593.776	-1567.785	-25.99185	0.237155	0.245497	0.201193	0.205845	0.157297	0.13566	0.246711	0.296933	0.246947	0.192919
1870	-1597.55	-1566.782	-30.76844	0.255264	0.235022	0.199596	0.28864	0.122596	0.136071	0.143851	0.121336	0.118014	0.105925
1880	-1595.841	-1566.309	-29.53113	0.207796	0.220246	0.165546	0.159074	0.122126	0.150246	0.152736	0.137884	0.135915	0.14646
1890	-1574.306	-1569.577	-4.729326	0.211544	0.219761	0.193604	0.160541	0.144672	0.133741	0.127999	0.125521	0.129971	0.128144
1900	-1592.966	-1567.417	-25.54883	0.249388	0.252463	0.174529	0.182455	0.184864	0.18614	0.108855	0.108786	0.113506	0.119237
1910	-1613.532	-1569.699	-43.83312	0.205811	0.12252	0.124817	0.127116	0.131846	0.0558594	0.0561719	0.0562344	0.057055	0.0758758
