Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]
136	0	-1594.059	-1566.779	-27.28033	0.101375	0.0778289	0.077227	0.0790871	0.0913165	0.108536	0.0911917	0.090146	0.091553	0.091349
137	1	-1578.909	-1569.03	-9.878302	0.163565	0.170497	0.167365	0.171472	0.175554	0.130711	0.119645	0.102806	0.10111	0.104715
138	0	-1590.032	-1569.7	-20.33242	0.0545129	0.0961532	0.105013	0.0982907	0.0941803	0.0965649	0.0865854	0.0879432	0.0852494	0.725715
139	1	-1566.388	-1569.461	3.073595	0.137118	0.13585	0.133951	0.137693	0.136126	0.141493	0.142359	0.188888	0.188747	0.190318
140	0	-1585.889	-1569.393	-16.49632	0.133364	0.12835	0.130908	0.125142	0.20181	0.13487	0.163334	0.138031	0.106736	0.115135
141	1	-1579.638	-1570.128	-9.509999	0.142684	0.136919	0.136429	0.139481	0.137207	0.131832	0.130906	0.122226	0.125345	0.125427
142	0	-1559.809	-1565.625	5.815374	0.0974235	0.161565	0.160744	0.204464	0.302076	0.258929	0.288071	0.228795	0.228478	0.228582
143	1	-1570.196	-1569.28	-0.9159419	0.0788696	0.0746973	0.0703538	0.07031	0.070581	0.0681691	0.0747493	0.0772666	0.0768362	0.0767734
144	0	-1575.475	-1567.128	-8.346132	0.127882	0.204666	0.209321	0.263124	0.208592	0.554246	0.268043	0.287002	0.29506	0.297011
145	1	-1589.842	-1567.926	-21.91579	0.0490424	0.0566859	0.0564185	0.0548407	0.0549853	0.0713767	0.0704686	0.0705063	0.0730447	0.0715615
146	0	-1584.992	-1569.197	-15.79447	0.151707	0.176257	0.193046	0.187302	0.212564	0.213028	0.221692	0.237901	0.284753	0.227894
147	1	-1587.837	-1567.124	-20.71301	0.0722837	0.072372	0.0740404	0.0787983	0.10813	0.0767935	0.0755866	0.148382	0.146454	0.141505
148	0	-1570.103	-1568.258	-1.84473	0.165856	0.164611	0.20272	0.201013	0.202434	0.207395	0.187977	0.154615	0.164124	0.185763
149	1	-1571.895	-1567.724	-4.171185	0.127266	0.14255	0.142694	0.14956	0.163445	0.154965	0.132441	0.135149	0.139424	0.140177
150	0	-1538.176	-1568.98	30.80412	0.20012	0.198773	0.197387	0.254159	0.258253	0.239379	0.240154	0.239717	0.283655	0.286942
151	1	-1596.97	-1565.784	-31.18627	0.102228	0.100317	0.147122	0.144015	0.221185	0.162164	0.392256	0.0416719	0.0322192	0.0321537
152	0	-1534.395	-1569.694	35.29941	0.20012	0.19973	0.190748	0.196032	0.375862	0.314962	0.314877	0.322158	0.318558	0.407049
153	1	-1596.972	-1566.155	-30.81734	0.0857442	0.10966	0.133828	0.140006	0.264235	0.235098	0.103021	0.108873	0.151858	0.0900894
154	0	-1544.221	-1570.041	25.82047	0.139403	0.174773	0.175353	0.175082	0.174835	0.161842	0.160151	0.177448	0.178545	0.170492
155	1	-1591.191	-1569.364	-21.82681	0.184515	0.146725	0.300638	0.301333	0.302049	0.27549	0.240644	0.313191	0.29186	0.292888
156	0	-1563.677	-1566.842	3.164913	0.161081	0.205157	0.200382	0.274862	0.279011	0.255243	0.267801	0.256107	0.259411	0.306615
157	1	-1576.247	-1568.428	-7.818949	0.120476	0.126109	0.136706	0.136647	0.14898	0.145463	0.137825	0.147025	0.179754	0.168758
158	0	-1541.833	-1570.12	28.28742	0.153495	0.184729	0.176448	0.178595	0.177623	0.188242	0.1993	0.189545	0.163741	0.16125
159	1	-1579.621	-1570.104	-9.517043	0.184587	0.183519	0.161144	0.225896	0.212397	0.214013	0.211058	0.200305	0.203932	0.179111
160	0	-1552.326	-1567.799	15.47258	0.0919465	0.204764	0.199005	0.213719	0.130394	0.132454	0.234945	0.251606	0.095931	0.0960045
161	1	-1586.238	-1567.977	-18.26085	0.130109	0.150776	0.15186	0.269446	0.266769	0.267369	0.278203	0.330354	0.343416	0.351212
162	0	-1570.272	-1567.859	-2.412923	0.0409162	0.0495149	0.185505	0.209133	0.199604	0.200593	0.188688	0.111217	0.170148	0.37545
163	1	-1574.365	-1566.946	-7.418761	0.102987	0.124759	0.122494	0.1238	0.124179	0.0927812	0.0923601	0.091783	0.0935417	0.0911087
164	0	-1579.658	-1568.627	-11.03167	0.051691	0.198055	0.185096	0.183652	0.127193	0.123002	0.109388	0.140796	0.125742	0.158419
165	1	-1571.56	-1569.831	-1.729183	0.192523	0.199002	0.199034	0.200086	0.195925	0.100118	0.0998507	0.0974403	0.098885	0.0966364
166	0	-1572.268	-1568.994	-3.274266	0.0335718	0.0390697	0.183912	0.173674	0.169337	0.169051	0.11623	0.109943	0.108145	0.124442
167	1	-1554.939	-1567.32	12.38131	0.115405	0.115427	0.115674	0.116069	0.114072	0.11369	0.115687	0.115015	0.114488	0.114554
168	0	-1583.847	-1566.771	-17.07657	0.0210992	0.107597	0.102722	0.0996408	0.104154	0.128348	0.170864	0.174786	0.176712	0.196209
169	1	-1546.631	-1566.459	19.82817	0.101195	0.100821	0.101479	0.101353	0.101945	0.102972	0.102954	0.102944	0.10275	0.102846
170	0	-1574.615	-1567.978	-6.636336	0.0212938	0.169368	0.114388	0.168929	0.35786	0.365111	0.2924	0.271427	0.277185	0.179853
171	1	-1572.214	-1566.758	-5.456583	0.0683436	0.0629772	0.0630418	0.0646646	0.0648416	0.0641442	0.0649635	0.0585615	0.0586338	0.0618683
172	0	-1567.509	-1564.926	-2.582266	0.008066	0.137196	0.141061	0.176742	0.182548	0.185363	0.18446	0.184617	0.192747	0.214609
173	1	-1591.456	-1568.586	-22.87041	0.067766	0.0626315	0.0650196	0.0639421	0.0640813	0.0595169	0.0612035	0.0680074	0.0670214	0.0825693
174	0	-1578.893	-1564.469	-14.42429	0.00208653	0.165682	0.17674	0.176833	0.214152	0.172389	0.143628	0.160261	0.160715	0.170835
175	1	-1534.857	-1567.258	32.40057	0.0739489	0.0740125	0.0740381	0.0740246	0.0735824	0.0739177	0.0738619	0.0741651	0.0741871	0.0740566
176	0	-1579.9	-1564.857	-15.04286	0.00178354	0.143185	0.153282	0.183724	0.130903	0.369319	0.318022	0.010626	0.0126205	0.00930995
177	1	-1553.237	-1569.084	15.84751	0.160852	0.178572	0.178527	0.178291	0.178481	0.176976	0.177216	0.175718	0.174548	0.174629
178	0	-1605.776	-1570.861	-34.91495	0.00146642	0.121476	0.121176	0.143461	0.108927	0.142173	0.0775727	0.00438842	0.0056775	0.0038829
179	1	-1543.457	-1568.796	25.33925	0.161146	0.161206	0.16141	0.161447	0.161346	0.161055	0.161056	0.160929	0.160885	0.160859
180	0	-1620.769	-1564.796	-55.97277	0.00315647	0.171673	0.263902	0.262702	0.22262	0.200251	0.0119991	0.0358725	0.0343401	0.0392495
181	1	-1543.671	-1568.256	24.5847	0.201752	0.198811	0.1993	0.199225	0.199421	0.243854	0.243934	0.243787	0.243807	0.244007
182	0	-1609.775	-1565.568	-44.20722	0.00144667	0.0909311	0.0908848	0.168136	0.174957	0.178034	0.116162	0.0102426	0.0119493	0.0112327
183	1	-1593.067	-1566.797	-26.27024	0.108297	0.11812	0.0978791	0.139824	0.139846	0.145772	0.0767807	0.0712288	0.0707581	0.0676276
184	0	-1584.787	-1565.29	-19.49671	0.00232238	0.143454	0.164998	0.23095	0.245845	0.185803	0.167195	0.0692659	0.0686264	0.0504787
185	1	-1589.144	-1569.204	-19.93949	0.0281944	0.0293174	0.0292937	0.029246	0.0259229	0.0178383	0.0213696	0.0213316	0.0220548	0.0301504
