Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	extirpation_rate	p_allopatry	p_sympatry	rate_bg
950	-55.2994	-50.3163	-4.98309	0.29302	0.70698	0.01970553	2.87813	1.45167	0.346964	0	0.5762073	0.7069799	0.2930201	3.902525
960	-53.2711	-46.4105	-6.8606	0.21263	0.78737	0.02776994	2.60104	1.38058	0.370596	0	0.8516122	0.7873696	0.2126304	24.7636
970	-55.1051	-48.0528	-7.0523	0.829693	0.170307	0.02475904	2.56401	1.36958	0.394365	0	0.9191453	0.1703071	0.8296929	27.77083
980	-53.3869	-46.1569	-7.22991	0.565286	0.434714	0.01945719	2.43381	1.69293	0.552207	0	1.664292	0.4347137	0.5652863	8.217549
990	-52.0061	-47.2855	-4.72062	0.623174	0.376826	0.01198026	2.53099	1.65218	0.626587	0	0.987142	0.3768262	0.6231738	2.457469
1000	-51.4619	-45.9733	-5.48868	0.734819	0.265181	0.01634078	3.38231	1.51407	0.642952	0	1.02513	0.2651808	0.7348192	5.001131
1010	-53.4768	-46.3753	-7.10147	0.658669	0.341331	0.02463706	3.51528	1.64559	0.554244	0	1.349424	0.3413308	0.6586692	13.89848
1020	-52.6021	-46.1604	-6.44167	0.420721	0.579279	0.02727982	3.5283	1.32577	0.473473	0	0.5676225	0.5792788	0.4207212	16.59619
1030	-55.4665	-48.0711	-7.39541	0.658328	0.341672	0.03470273	3.5345	1.65845	0.487033	0	1.056693	0.3416719	0.6583281	32.00998
1040	-52.1949	-46.8223	-5.37253	0.769582	0.230418	0.01849769	3.25569	1.73937	0.378873	0	0.8015923	0.230418	0.769582	5.846743
1050	-53.3633	-46.4478	-6.91548	0.32167	0.67833	0.02756053	2.71688	1.76774	0.365887	0	0.9173812	0.6783295	0.3216705	24.27377
1060	-52.7928	-46.1365	-6.65637	0.0836087	0.916391	0.02668744	2.43795	1.72968	0.387185	0	0.8760918	0.9163913	0.0836087	19.67273
1070	-54.7122	-46.9962	-7.7159	0.916916	0.083084	0.01904404	3.4721	1.74073	0.365823	0	1.987981	0.083084	0.916916	6.688534
1080	-54.0485	-47.179	-6.86956	0.760424	0.239576	0.01641587	3.2675	1.78217	0.646728	0	1.433653	0.2395761	0.7604239	9.291822
1090	-52.0514	-45.8685	-6.18288	0.840721	0.159279	0.02170833	3.56971	1.74433	0.427769	0	0.6089472	0.1592794	0.8407206	13.38686
1100	-53.8677	-49.615	-4.25272	0.23565	0.76435	0.01013299	2.85727	1.62325	0.374511	0	0.7638822	0.7643496	0.2356504	1.956346
1110	-51.7023	-46.2664	-5.4359	0.173968	0.826032	0.01559132	2.44674	1.74018	0.489082	0	0.7461619	0.8260319	0.1739681	6.443568
1120	-52.037	-45.554	-6.48295	0.418231	0.581769	0.02473902	2.95736	1.50801	0.678716	0	0.577228	0.5817691	0.4182309	17.50917
1130	-55.2437	-47.9882	-7.25544	0.799927	0.200073	0.03036713	2.26737	1.63624	0.656513	0	0.8743648	0.2000735	0.7999265	35.88111
1140	-51.9696	-45.7601	-6.20948	0.944363	0.0556366	0.02250329	2.61629	1.4394	0.504092	0	0.693043	0.05563665	0.9443634	14.15454
1150	-54.6431	-47.1661	-7.47692	0.129319	0.870681	0.0155728	3.37839	1.70005	0.342514	0	2.048978	0.8706809	0.1293191	4.623673
1160	-54.9491	-47.0925	-7.8567	0.264882	0.735118	0.02664629	3.36307	1.79729	0.513238	0	1.557466	0.7351183	0.2648817	19.27757
1170	-55.7324	-48.384	-7.34833	0.271789	0.728211	0.02586653	3.22899	1.72251	0.586466	0	1.145215	0.728211	0.271789	26.24851
1180	-53.1982	-47.1259	-6.07226	0.919131	0.0808686	0.02714441	3.37046	1.75973	0.446203	0	0.7321097	0.08086861	0.9191314	12.24315
1190	-53.9946	-46.4223	-7.57226	0.12068	0.87932	0.03197515	3.08537	1.48127	0.388069	0	0.481244	0.8793204	0.1206796	42.90287
1200	-54.2094	-46.8451	-7.36431	0.12963	0.87037	0.03193791	2.89372	1.33822	0.339928	0	0.5905555	0.8703698	0.1296302	42.9045
1210	-53.3308	-46.6529	-6.67788	0.638685	0.361315	0.02551423	3.0591	1.30175	0.309513	0	0.9925388	0.3613147	0.6386853	17.2609
1220	-51.8941	-45.7045	-6.18968	0.839699	0.160301	0.02270332	3.30412	1.53573	0.493605	0	0.789194	0.1603014	0.8396986	13.3583
1230	-54.3317	-46.7762	-7.5555	0.615152	0.384848	0.0161862	3.49223	1.39121	0.400494	0	1.964807	0.384848	0.615152	5.986694
1240	-52.439	-47.0458	-5.39321	0.698979	0.301021	0.01828065	3.66714	1.53779	0.520021	0	0.4979902	0.3010205	0.6989795	5.085045
1250	-53.3533	-47.2886	-6.06479	0.0279916	0.972008	0.0170404	3.24891	1.61298	0.348086	0	1.332545	0.9720084	0.02799162	5.097505
1260	-53.8888	-47.0043	-6.88457	0.511912	0.488088	0.01805366	3.69156	1.62477	0.3172	0	1.644624	0.4880885	0.5119115	6.06601
1270	-52.9246	-46.3058	-6.61881	0.469866	0.530134	0.02635924	2.68609	1.39774	0.397509	0	0.4703286	0.5301344	0.4698656	15.98623
1280	-53.7027	-46.7278	-6.97495	0.250252	0.749748	0.02700659	3.63205	1.46697	0.315354	0	1.047554	0.7497475	0.2502525	21.33589
1290	-54.4684	-46.8781	-7.59031	0.0630227	0.936977	0.02417412	3.35007	1.30812	0.450113	0	1.577695	0.9369773	0.06302265	14.15391
1300	-52.0659	-46.287	-5.77893	0.880508	0.119492	0.01986665	2.21102	1.78	0.606252	0	0.5247556	0.1194917	0.8805083	7.956693
1310	-51.463	-45.9649	-5.49816	0.581431	0.418569	0.01986109	3.54555	1.64019	0.593294	0	0.576545	0.4185691	0.5814309	6.534564
1320	-52.3601	-46.1636	-6.19645	0.469188	0.530812	0.01617791	2.54307	1.76457	0.668882	0	1.177233	0.530812	0.469188	7.82946
1330	-52.659	-46.7327	-5.92625	0.721775	0.278225	0.02182121	2.6347	1.61244	0.571179	0	1.066363	0.2782253	0.7217747	7.250378
1340	-52.7642	-48.2684	-4.49576	0.185591	0.814409	0.01253621	2.31671	1.69105	0.649	0	0.6264999	0.8144091	0.1855909	2.507518
1350	-51.8381	-45.9541	-5.88394	0.618818	0.381182	0.01501625	3.66893	1.53067	0.667448	0	1.324709	0.3811818	0.6188182	4.320852
1360	-52.1146	-47.0585	-5.05612	0.579079	0.420921	0.01680578	3.22986	1.41843	0.653599	0	0.9545505	0.4209213	0.5790787	3.600253
1370	-50.8751	-45.7006	-5.17459	0.326562	0.673438	0.01536417	3.40589	1.61155	0.681304	0	0.7061338	0.6734376	0.3265624	5.021943
1380	-52.2378	-47.1179	-5.11988	0.896472	0.103528	0.01385453	2.5265	1.52027	0.573066	0	0.7134832	0.1035282	0.8964718	4.748234
1390	-53.0669	-46.8735	-6.19337	0.576967	0.423033	0.02726797	2.92131	1.45813	0.681032	0	0.8043917	0.4230333	0.5769667	13.25743
1400	-52.6832	-45.5982	-7.08502	0.395598	0.604402	0.02887929	3.59085	1.71843	0.685232	0	0.4474361	0.6044023	0.3955977	23.50575
1410	-52.7649	-46.0767	-6.68826	0.36292	0.63708	0.02619909	3.17406	1.37488	0.500513	0	0.7622436	0.6370801	0.3629199	22.36562
1420	-52.4596	-45.8771	-6.58244	0.977514	0.0224856	0.02260663	3.60438	1.43245	0.50632	0	0.4639337	0.02248561	0.9775144	15.09275
1430	-52.7437	-47.0724	-5.67137	0.382717	0.617283	0.01959164	3.56377	1.3385	0.620526	0	1.155807	0.6172829	0.3827171	4.81473
1440	-52.9242	-47.9664	-4.95782	0.872649	0.127351	0.01272634	2.68251	1.36381	0.473812	0	0.9975667	0.1273506	0.8726494	3.067628
